osmid,ref,highway,width,oneway,reversed,length,geometry,bridge
864298812,3454,secondary,7,False,True,78.237,"LINESTRING (100.3557735 14.56542, 100.3553682 14.5660041)",
203210417,,residential,,False,True,234.62100000000004,"LINESTRING (100.3557735 14.56542, 100.3563966 14.5658974, 100.3572803 14.5664298, 100.3574802 14.5666191, 100.3575445 14.5666267)",
203210433,,residential,,False,False,40.03,"LINESTRING (100.354401 14.5662037, 100.354704 14.5664125)",
203210433,,residential,,False,True,296.851,"LINESTRING (100.354401 14.5662037, 100.3542012 14.5660197, 100.3530961 14.5657133, 100.3528869 14.5656043, 100.3524631 14.5651889, 100.3521045 14.5648626)",
203210417,,residential,,False,False,5.096,"LINESTRING (100.3575915 14.5666323, 100.3575445 14.5666267)",
620956118,,residential,,False,False,88.631,"LINESTRING (100.3575915 14.5666323, 100.3583725 14.5668852)",
203210433,,residential,,False,False,296.85099999999994,"LINESTRING (100.3521045 14.5648626, 100.3524631 14.5651889, 100.3528869 14.5656043, 100.3530961 14.5657133, 100.3542012 14.5660197, 100.354401 14.5662037)",
203210433,,residential,,False,True,33.715,"LINESTRING (100.354971 14.5665711, 100.354704 14.5664125)",
864298812,3454,secondary,7,False,False,76.173,"LINESTRING (100.354971 14.5665711, 100.3553682 14.5660041)",
864298812,3454,secondary,7,False,True,78.289,"LINESTRING (100.354971 14.5665711, 100.3546008 14.5670678, 100.3545457 14.5671423)",
620956118,,residential,,False,True,88.631,"LINESTRING (100.3583725 14.5668852, 100.3575915 14.5666323)",
864298812,3454,secondary,7,False,False,78.237,"LINESTRING (100.3553682 14.5660041, 100.3557735 14.56542)",
864298812,3454,secondary,7,False,True,76.173,"LINESTRING (100.3553682 14.5660041, 100.354971 14.5665711)",
620956145,,residential,,False,False,56.188,"LINESTRING (100.3553682 14.5660041, 100.3555704 14.5662055, 100.3556399 14.5662867, 100.3557177 14.5663789)",
620956161,,residential,,False,True,37.141,"LINESTRING (100.3557177 14.5663789, 100.355426 14.5665574)",
"[620956145, 1249253174, 1249253175, 1249253176, 620956251]",,residential,,False,"[False, True]",509.46099999999996,"LINESTRING (100.3557177 14.5663789, 100.3558235 14.5665121, 100.3558861 14.5666286, 100.3559352 14.5667488, 100.3560064 14.5669421, 100.3561304 14.5673116, 100.3562568 14.5676332, 100.3562742 14.5676808, 100.3562748 14.567723, 100.356264 14.5677773, 100.3562553 14.5677965, 100.3562416 14.5678132, 100.356156 14.5678799, 100.3561446 14.5678893, 100.3561401 14.5679024, 100.3561388 14.5679112, 100.3561406 14.567922, 100.3561511 14.567943, 100.3562703 14.5681449, 100.3561264 14.568157, 100.3559431 14.568209, 100.3558602 14.5682395, 100.3557575 14.5682508, 100.3556524 14.5682791, 100.3555193 14.5682633, 100.3554037 14.5682254, 100.3554487 14.5681849, 100.3554834 14.5681311, 100.3555132 14.5680556, 100.3555343 14.5679746, 100.3555631 14.5678181, 100.3555653 14.5677517, 100.355548 14.5677039, 100.3555191 14.5676519, 100.3554435 14.5675502, 100.3552066 14.5673444, 100.3551335 14.567308, 100.3550626 14.5672972, 100.3549496 14.5673122, 100.3548677 14.5673101, 100.3548123 14.5672972, 100.3546949 14.5672244, 100.3545457 14.5671423)",yes
620956145,,residential,,False,True,56.188,"LINESTRING (100.3557177 14.5663789, 100.3556399 14.5662867, 100.3555704 14.5662055, 100.3553682 14.5660041)",
620956161,,residential,,False,False,79.898,"LINESTRING (100.3557177 14.5663789, 100.3557901 14.5663681, 100.3558544 14.5663665, 100.3559228 14.5663701, 100.3560534 14.5663847, 100.3564485 14.5664702)",
620956161,,residential,,False,False,37.141,"LINESTRING (100.355426 14.5665574, 100.3557177 14.5663789)",
620956161,,residential,,False,True,79.898,"LINESTRING (100.3564485 14.5664702, 100.3560534 14.5663847, 100.3559228 14.5663701, 100.3558544 14.5663665, 100.3557901 14.5663681, 100.3557177 14.5663789)",
203210417,,residential,,False,True,5.096,"LINESTRING (100.3575445 14.5666267, 100.3575915 14.5666323)",
203210417,,residential,,False,False,234.62099999999998,"LINESTRING (100.3575445 14.5666267, 100.3574802 14.5666191, 100.3572803 14.5664298, 100.3563966 14.5658974, 100.3557735 14.56542)",
620956182,,residential,,False,False,123.43700000000001,"LINESTRING (100.3575445 14.5666267, 100.3577793 14.5671692, 100.357868 14.567414, 100.3579755 14.567655)",
620956182,,residential,,False,True,123.437,"LINESTRING (100.3579755 14.567655, 100.357868 14.567414, 100.3577793 14.5671692, 100.3575445 14.5666267)",
203210433,,residential,,False,False,33.715,"LINESTRING (100.354704 14.5664125, 100.354971 14.5665711)",
203210433,,residential,,False,True,40.03,"LINESTRING (100.354704 14.5664125, 100.354401 14.5662037)",
