osmid,name,highway,oneway,reversed,length,ref,width,geometry,lanes,bridge
81058414,ถนน นายจันหนวดเขี้ยว,unclassified,False,False,44.797,,,"LINESTRING (100.4017744 14.892761, 100.4013755 14.892644)",,
201274180,ถนนวิไลจิตต์,unclassified,False,False,78.53,,,"LINESTRING (100.4017744 14.892761, 100.4022413 14.8922177)",,
201274180,ถนนวิไลจิตต์,unclassified,False,True,50.135,,,"LINESTRING (100.4017744 14.892761, 100.40157 14.8931663)",,
81058419,,secondary,False,False,34.987,309,9,"LINESTRING (100.3975722 14.89191, 100.3977143 14.8916269)",,
81058419,,secondary,False,True,99.886,309,9,"LINESTRING (100.3975722 14.89191, 100.3971448 14.8927077)",,
122491766,Si Phrom Sophit Road,residential,False,True,37.537,,,"LINESTRING (100.3975722 14.89191, 100.3978864 14.8920575)",,
122491766,Si Phrom Sophit Road,residential,False,False,58.305,,,"LINESTRING (100.4002185 14.893087, 100.3997271 14.8928647)",,
756423086,,unclassified,False,False,55.251,,,"LINESTRING (100.4002185 14.893087, 100.400455 14.8926458)",,
756423086,,unclassified,False,True,40.659,,,"LINESTRING (100.4002185 14.893087, 100.4000445 14.8934117)",,
81058398,,residential,False,False,69.876,,,"LINESTRING (100.4002185 14.893087, 100.4002201 14.8930897, 100.4008086 14.8933496)",,
783323011,,primary,False,False,50.465,311,10,"LINESTRING (100.3947576 14.8976113, 100.3949592 14.8972014)",,
101842384,,primary_link,True,False,56.876999999999995,,,"LINESTRING (100.3947576 14.8976113, 100.3948868 14.8975071, 100.3949743 14.8974764, 100.3950558 14.897486, 100.3951115 14.8975033, 100.3952113 14.8975797)",1,
81058398,,residential,False,True,64.628,,,"LINESTRING (100.4013546 14.8935933, 100.4008086 14.8933496)",,
201274180,ถนนวิไลจิตต์,unclassified,False,False,52.822,,,"LINESTRING (100.4013546 14.8935933, 100.40157 14.8931663)",,
201274180,ถนนวิไลจิตต์,unclassified,False,True,38.275999999999996,,,"LINESTRING (100.4013546 14.8935933, 100.4012851 14.8937439, 100.4012289 14.8939148)",,
