osmid,name,highway,oneway,reversed,length,geometry,lanes,bridge,junction,tunnel
102926443,ถนนจันทโรทัย,unclassified,False,False,98.878,"LINESTRING (101.0697238 5.7756551, 101.0697316 5.7747659)",,,,
103110157,,tertiary,False,True,108.686,"LINESTRING (101.0697238 5.7756551, 101.0687599 5.775844)",,,,
103110157,,tertiary,False,False,211.655,"LINESTRING (101.0697238 5.7756551, 101.0703949 5.775541, 101.0716237 5.7756339)",,,,
1092271943,ถนนจันทโรทัย,residential,False,False,102.578,"LINESTRING (101.0697437 5.773387, 101.0697574 5.7724646)",,,,
1092271943,ถนนจันทโรทัย,residential,False,True,43.924,"LINESTRING (101.0697437 5.773387, 101.0697402 5.773782)",,,,
102926448,,tertiary,False,False,295.996,"LINESTRING (101.0697437 5.773387, 101.0691092 5.7734057, 101.0689342 5.7733333, 101.0687608 5.7732471, 101.0682564 5.7729918, 101.0680779 5.772997, 101.0672212 5.7733107)",4,,,
102926448,,tertiary,False,True,205.393,"LINESTRING (101.0697437 5.773387, 101.0714407 5.7733263, 101.0715987 5.7733142)",4,,,
217407878,,residential,False,False,55.569,"LINESTRING (101.0698056 5.7716406, 101.069841 5.7711421)",,,,
1092271943,ถนนจันทโรทัย,residential,False,True,91.78,"LINESTRING (101.0698056 5.7716406, 101.0697574 5.7724646)",,,,
103110152,ถนนสุขยางค์,secondary,False,False,130.75900000000001,"LINESTRING (101.0698056 5.7716406, 101.0688178 5.7715207, 101.068631 5.7715187)",,,,
1092271944,ถนนสุขยางค์,secondary,False,True,183.103,"LINESTRING (101.0698056 5.7716406, 101.0707365 5.771751, 101.0714507 5.7718202)",,,,
103110148,ถนนสุขยางค์,secondary,False,True,8.401,"LINESTRING (101.0716407 5.7739424, 101.071656 5.7740164)",4,,,
103110148,ถนนสุขยางค์,secondary,False,False,70.051,"LINESTRING (101.0716407 5.7739424, 101.0716232 5.7738152, 101.0715987 5.7733142)",4,,,
217407997,,residential,False,True,126.745,"LINESTRING (101.0716407 5.7739424, 101.0714851 5.7739709, 101.0707876 5.7740425, 101.0705026 5.774069)",,,,
103110157,,tertiary,False,False,104.196,"LINESTRING (101.0716237 5.7756339, 101.0725655 5.7756256)",,,,
217407853,,unclassified,False,False,46.317,"LINESTRING (101.0716237 5.7756339, 101.0716833 5.7752216)",,,,
103110157,,tertiary,False,True,211.655,"LINESTRING (101.0716237 5.7756339, 101.0703949 5.775541, 101.0697238 5.7756551)",,,,
217408067,,residential,False,False,62.538,"LINESTRING (101.067525 5.774279, 101.0675805 5.7748387)",,,,
"[103110144, 217408067, 217407907]",,residential,False,True,113.134,"LINESTRING (101.067525 5.774279, 101.0674864 5.7741176, 101.0674363 5.7739081, 101.067393 5.773727, 101.0672212 5.7733107)",,yes,,
546563808,,tertiary,False,False,9.461,"LINESTRING (101.074322 5.770094, 101.074312 5.7701785)",,,,
546563808,,tertiary,False,True,65.891,"LINESTRING (101.074322 5.770094, 101.074297 5.769832, 101.0743146 5.7696365, 101.0743655 5.7695134)",,,,
103110157,,tertiary,False,False,9.703,"LINESTRING (101.0725655 5.7756256, 101.0726407 5.7755807)",,,,
103110157,,tertiary,False,True,104.196,"LINESTRING (101.0725655 5.7756256, 101.0716237 5.7756339)",,,,
103110158,,secondary,True,False,13.398,"LINESTRING (101.0715304 5.7717442, 101.0715065 5.7717481, 101.0714848 5.7717589, 101.0714673 5.7717755, 101.0714556 5.7717966, 101.0714507 5.7718202)",,,roundabout,
103121615,,tertiary,False,True,58.245999999999995,"LINESTRING (101.0715304 5.7717442, 101.0715198 5.7714618, 101.0715093 5.7712208)",,,,
699687022,,residential,False,True,184.774,"LINESTRING (101.0715093 5.7712208, 101.069841 5.7711421)",,,,
976715128,,tertiary,False,False,45.599,"LINESTRING (101.0715093 5.7712208, 101.0715271 5.7708111)",,,,
103121615,,tertiary,False,False,58.245999999999995,"LINESTRING (101.0715093 5.7712208, 101.0715198 5.7714618, 101.0715304 5.7717442)",,,,
546563808,,tertiary,False,True,236.35699999999997,"LINESTRING (101.0715093 5.7712208, 101.0721506 5.7712422, 101.0725042 5.7712506, 101.073516 5.771297, 101.0736442 5.7712967)",,,,
103110148,ถนนสุขยางค์,secondary,False,False,8.401,"LINESTRING (101.071656 5.7740164, 101.0716407 5.7739424)",4,,,
"[217408101, 217408102, 103110159]",ถนนสุขยางค์,secondary,True,False,94.402,"LINESTRING (101.071656 5.7740164, 101.0717128 5.7742263, 101.0717478 5.7742837, 101.0718767 5.7744953, 101.0720419 5.7747664)",2,yes,,
"[217407976, 217407889, 217407853]",,unclassified,False,True,137.541,"LINESTRING (101.071656 5.7740164, 101.0715934 5.7740767, 101.0716304 5.7744091, 101.0716517 5.7746005, 101.071686 5.774908, 101.0716831 5.7750881, 101.071686 5.775203, 101.0716833 5.7752216)",,yes,,
217407981,,residential,False,True,54.998999999999995,"LINESTRING (101.075789 5.767891, 101.0756567 5.767707, 101.0756065 5.7674433)",,,,
546563808,,tertiary,False,False,81.145,"LINESTRING (101.075789 5.767891, 101.0753741 5.7682315, 101.075332 5.768266, 101.0752446 5.7683762)",,,,
103110158,,secondary,True,False,15.167000000000002,"LINESTRING (101.0716112 5.7718345, 101.0716108 5.7718118, 101.071604 5.7717901, 101.0715914 5.7717711, 101.0715739 5.7717564, 101.071553 5.7717472, 101.0715304 5.7717442)",,,roundabout,
103114449,ถนนรัตนกิจ,secondary,False,False,170.78199999999998,"LINESTRING (101.0716112 5.7718345, 101.0723438 5.7719044, 101.0729291 5.7719721, 101.0731385 5.7720342)",4,,,
103110157,,tertiary,False,False,65.548,"LINESTRING (101.068179 5.77596, 101.0683441 5.7759255, 101.0687599 5.775844)",,,,
217408067,,residential,False,True,151.77999999999997,"LINESTRING (101.068179 5.77596, 101.068041 5.775818, 101.06786 5.77572, 101.067642 5.775458, 101.0675805 5.7748387)",,,,
103110158,,secondary,True,False,15.196000000000002,"LINESTRING (101.0714507 5.7718202, 101.0714528 5.7718429, 101.0714612 5.7718641, 101.0714752 5.7718821, 101.0714938 5.7718954, 101.0715154 5.771903, 101.0715382 5.7719043)",,,roundabout,
1092271944,ถนนสุขยางค์,secondary,False,False,183.103,"LINESTRING (101.0714507 5.7718202, 101.0707365 5.771751, 101.0698056 5.7716406)",,,,
103110149,ถนนสุขยางค์,secondary,True,False,112.021,"LINESTRING (101.0726407 5.7755807, 101.0721178 5.774718)",2,,,
103110157,,tertiary,False,True,9.703,"LINESTRING (101.0726407 5.7755807, 101.0725655 5.7756256)",,,,
217408087,,residential,False,True,171.815,"LINESTRING (101.0726407 5.7755807, 101.0729438 5.7754599, 101.0732674 5.7754697, 101.0736891 5.7754136, 101.074163 5.7754705)",,,,
103121591,,tertiary,False,False,134.69,"LINESTRING (101.0745097 5.769303, 101.073535 5.7685772)",,,,
546563808,,tertiary,False,False,28.524,"LINESTRING (101.0745097 5.769303, 101.07439 5.769454, 101.0743655 5.7695134)",,,,
546563808,,tertiary,False,True,40.153,"LINESTRING (101.0745097 5.769303, 101.0745839 5.7692095, 101.0747345 5.7690195)",,,,
218053864,,residential,False,True,7.7,"LINESTRING (101.0715271 5.7708111, 101.0714575 5.7708119)",,,,
976715128,,tertiary,False,True,45.599,"LINESTRING (101.0715271 5.7708111, 101.0715093 5.7712208)",,,,
"[309926627, 385650373, 103121591]",อุโมงค์เบตงมงคลฤทธิ์,tertiary,False,"[False, True]",342.238,"LINESTRING (101.0715271 5.7708111, 101.0715523 5.770439, 101.0716177 5.7699867, 101.0717268 5.7695947, 101.0718789 5.7691707, 101.0722039 5.7686849, 101.0725598 5.7683502, 101.072637 5.7682921, 101.0728142 5.7681542)",2,,,yes
217407878,,residential,False,False,34.605,"LINESTRING (101.069841 5.7711421, 101.0698438 5.7708309)",,,,
217407878,,residential,False,True,55.569,"LINESTRING (101.069841 5.7711421, 101.0698056 5.7716406)",,,,
699687022,,residential,False,False,184.774,"LINESTRING (101.069841 5.7711421, 101.0715093 5.7712208)",,,,
103121591,,tertiary,False,True,134.69,"LINESTRING (101.073535 5.7685772, 101.0745097 5.769303)",,,,
699687023,,residential,False,False,33.308,"LINESTRING (101.073535 5.7685772, 101.0736831 5.7683164)",,,,
103121591,,tertiary,False,False,99.499,"LINESTRING (101.073535 5.7685772, 101.0730896 5.7685061, 101.0728142 5.7681542)",,,,
217407981,,residential,False,False,54.998999999999995,"LINESTRING (101.0756065 5.7674433, 101.0756567 5.767707, 101.075789 5.767891)",,,,
217408040,,residential,False,False,43.489,"LINESTRING (101.0743296 5.7674861, 101.0746107 5.7677595)",,,,
217407963,,residential,False,True,60.849999999999994,"LINESTRING (101.0752573 5.7676251, 101.0750926 5.7677694, 101.0748784 5.7680199)",,,,
217408035,,residential,False,True,46.37,"LINESTRING (101.0746107 5.7677595, 101.0743223 5.7680621)",,,,
217408040,,residential,False,False,41.419,"LINESTRING (101.0746107 5.7677595, 101.0748784 5.7680199)",,,,
217408040,,residential,False,True,43.489,"LINESTRING (101.0746107 5.7677595, 101.0743296 5.7674861)",,,,
217408040,,residential,False,False,56.666,"LINESTRING (101.0748784 5.7680199, 101.0752446 5.7683762)",,,,
217408040,,residential,False,True,41.419,"LINESTRING (101.0748784 5.7680199, 101.0746107 5.7677595)",,,,
217407963,,residential,False,False,60.849999999999994,"LINESTRING (101.0748784 5.7680199, 101.0750926 5.7677694, 101.0752573 5.7676251)",,,,
217408035,,residential,False,False,4.574,"LINESTRING (101.0742938 5.7680919, 101.0743223 5.7680621)",,,,
217408053,,residential,False,False,98.896,"LINESTRING (101.0680066 5.768111, 101.0686246 5.7680757, 101.0686444 5.7683485)",,,,
699687023,,residential,False,True,33.308,"LINESTRING (101.0736831 5.7683164, 101.073535 5.7685772)",,,,
217407860,,residential,False,True,140.417,"LINESTRING (101.0736831 5.7683164, 101.0745786 5.7689472, 101.0747345 5.7690195)",,,,
