osmid,lanes,highway,oneway,reversed,length,geometry
219710233,2,secondary,False,False,70.304,"LINESTRING (26.1512539 -24.3805067, 26.1515167 -24.3802216, 26.151689 -24.3800143)"
219959123,,tertiary,False,True,131.22,"LINESTRING (26.1512539 -24.3805067, 26.1507225 -24.380309, 26.1502692 -24.3801294, 26.1500667 -24.3800354)"
373888438,2,secondary,False,True,70.505,"LINESTRING (26.1512539 -24.3805067, 26.150929 -24.3808123, 26.1508566 -24.3808868, 26.1507855 -24.3809747)"
219299124,,residential,False,False,29.351,"LINESTRING (26.15334 -24.3818681, 26.1536103 -24.3819633)"
219959104,2,tertiary,False,False,9.389,"LINESTRING (26.15334 -24.3818681, 26.1532494 -24.381886)"
219299124,,residential,False,True,29.351,"LINESTRING (26.1536103 -24.3819633, 26.15334 -24.3818681)"
219299136,,residential,False,True,189.81300000000002,"LINESTRING (26.1536103 -24.3819633, 26.1529541 -24.3826128, 26.1526 -24.382901, 26.1522736 -24.3831563)"
219299136,,residential,False,False,50.056,"LINESTRING (26.1518447 -24.38338, 26.1522736 -24.3831563)"
"[219597923, 219169558]",2,tertiary,False,False,211.98,"LINESTRING (26.1518447 -24.38338, 26.1515741 -24.3836416, 26.1512089 -24.384003, 26.1508024 -24.3843116, 26.1505906 -24.384438, 26.1502585 -24.3846001)"
219597923,2,tertiary,False,True,133.337,"LINESTRING (26.1518447 -24.38338, 26.1523864 -24.3827956, 26.1526992 -24.3824678)"
219597917,2,secondary,False,False,13.809999999999999,"LINESTRING (26.151689 -24.3800143, 26.1516996 -24.3799393, 26.1517177 -24.3798936)"
219597925,,residential,False,True,180.265,"LINESTRING (26.151689 -24.3800143, 26.1517146 -24.380027, 26.1522236 -24.3802217, 26.152356 -24.3803066, 26.1524854 -24.3804398, 26.1525351 -24.3804998, 26.1527834 -24.3808001, 26.1528817 -24.3809344, 26.1529434 -24.3810777)"
219710233,2,secondary,False,True,70.304,"LINESTRING (26.151689 -24.3800143, 26.1515167 -24.3802216, 26.1512539 -24.3805067)"
219597925,,residential,False,True,12.132,"LINESTRING (26.1529434 -24.3810777, 26.1529427 -24.3811868)"
313915007,,residential,False,False,5.496,"LINESTRING (26.1529434 -24.3810777, 26.1529816 -24.3810426)"
219597925,,residential,False,False,180.265,"LINESTRING (26.1529434 -24.3810777, 26.1528817 -24.3809344, 26.1527834 -24.3808001, 26.1525351 -24.3804998, 26.1524854 -24.3804398, 26.152356 -24.3803066, 26.1522236 -24.3802217, 26.1517146 -24.380027, 26.151689 -24.3800143)"
219597925,,residential,False,False,33.678,"LINESTRING (26.1528921 -24.381485, 26.1529422 -24.3812643, 26.1529427 -24.3811868)"
219597925,,residential,False,True,57.474000000000004,"LINESTRING (26.1528921 -24.381485, 26.152984 -24.3815738, 26.1532494 -24.381886)"
313915004,,residential,False,False,39.782000000000004,"LINESTRING (26.1528921 -24.381485, 26.1527932 -24.3814133, 26.15271 -24.3813667, 26.1526591 -24.3813436, 26.1526161 -24.3813351, 26.1525508 -24.3813183)"
219959104,2,tertiary,False,True,9.389,"LINESTRING (26.1532494 -24.381886, 26.15334 -24.3818681)"
219597923,2,tertiary,False,False,86.65899999999999,"LINESTRING (26.1532494 -24.381886, 26.1531633 -24.3819263, 26.15308 -24.3819875, 26.1530252 -24.3820362, 26.1529796 -24.3820949, 26.152875 -24.3822268, 26.1526992 -24.3824678)"
219597925,,residential,False,False,57.474000000000004,"LINESTRING (26.1532494 -24.381886, 26.152984 -24.3815738, 26.1528921 -24.381485)"
219477766,,residential,False,True,31.677,"LINESTRING (26.1492077 -24.3852174, 26.1489642 -24.3850386)"
219477766,,residential,False,False,150.33999999999997,"LINESTRING (26.1492077 -24.3852174, 26.1495027 -24.3852879, 26.1497029 -24.3852916, 26.1497918 -24.3852267, 26.1499071 -24.3851339, 26.1500707 -24.3849971, 26.150178 -24.3848969, 26.1502209 -24.3847406, 26.1502585 -24.3846001)"
219597916,,residential,False,False,104.056,"LINESTRING (26.1492077 -24.3852174, 26.1492277 -24.385352, 26.1492365 -24.3855314, 26.1492419 -24.3857267, 26.1492404 -24.3858137, 26.1492457 -24.3859079, 26.1492685 -24.3860155, 26.1493125 -24.3861435)"
219597916,,residential,False,True,104.056,"LINESTRING (26.1493125 -24.3861435, 26.1492685 -24.3860155, 26.1492457 -24.3859079, 26.1492404 -24.3858137, 26.1492419 -24.3857267, 26.1492365 -24.3855314, 26.1492277 -24.385352, 26.1492077 -24.3852174)"
219597917,2,secondary,False,True,66.507,"LINESTRING (26.1519749 -24.378664, 26.1519492 -24.3787437, 26.1519154 -24.3788635, 26.1518772 -24.3790167, 26.1518302 -24.379247)"
219955632,,residential,False,False,27.552,"LINESTRING (26.1530032 -24.3790439, 26.1530914 -24.3790784, 26.1531319 -24.3790866, 26.15318 -24.3790845, 26.153266 -24.3790769)"
650658409,,residential,False,True,36.582,"LINESTRING (26.1530032 -24.3790439, 26.1530617 -24.3792245, 26.1530775 -24.3792667, 26.1531007 -24.3793195, 26.1531162 -24.3793561)"
219955632,,residential,False,False,58.85,"LINESTRING (26.153266 -24.3790769, 26.1538263 -24.3789367)"
219955632,,residential,False,True,27.552,"LINESTRING (26.153266 -24.3790769, 26.15318 -24.3790845, 26.1531319 -24.3790866, 26.1530914 -24.3790784, 26.1530032 -24.3790439)"
313915005,,residential,False,True,34.575,"LINESTRING (26.153266 -24.3790769, 26.1532231 -24.3791675, 26.153185 -24.3792318, 26.1531162 -24.3793561)"
219955632,,residential,False,True,58.85,"LINESTRING (26.1538263 -24.3789367, 26.153266 -24.3790769)"
313915016,,residential,False,False,99.91399999999999,"LINESTRING (26.1538263 -24.3789367, 26.1537985 -24.3791204, 26.1537503 -24.3793173, 26.1537225 -24.3794763, 26.153716 -24.3795352, 26.1537098 -24.3795994, 26.1537098 -24.37964, 26.1537196 -24.3797212, 26.1537452 -24.379823)"
219959123,,tertiary,False,True,35.202,"LINESTRING (26.1477801 -24.3786184, 26.1474699 -24.3784756)"
219959123,,tertiary,False,False,185.824,"LINESTRING (26.1477801 -24.3786184, 26.1479223 -24.3786746, 26.1487538 -24.3791242, 26.1493546 -24.3794735)"
399695929,,residential,False,False,176.283,"LINESTRING (26.1477801 -24.3786184, 26.1478528 -24.3788612, 26.1479556 -24.3790037, 26.1481321 -24.3791428, 26.1482778 -24.3792207, 26.148353 -24.3792585, 26.1484769 -24.3792913, 26.1485957 -24.3793089, 26.1486085 -24.379313, 26.1487457 -24.3793575, 26.1488423 -24.379399, 26.1489804 -24.3794625, 26.149081 -24.3795199)"
219169562,,secondary,False,False,9.969,"LINESTRING (26.1465493 -24.3854275, 26.1465526 -24.3853379)"
219169562,,secondary,False,True,50.363,"LINESTRING (26.1465493 -24.3854275, 26.1465128 -24.3858792)"
"[312561442, 399449090]",,residential,False,False,201.493,"LINESTRING (26.1465493 -24.3854275, 26.1464585 -24.3853898, 26.1463616 -24.3853323, 26.1462197 -24.3852084, 26.14609 -24.3850954, 26.1458281 -24.3849449, 26.145727 -24.3848938, 26.1456016 -24.3848415, 26.1455128 -24.3847934, 26.1454761 -24.3847504, 26.1454464 -24.3846944, 26.1454191 -24.3846288, 26.1454188 -24.3846032, 26.1454316 -24.3845783, 26.1454533 -24.3845558, 26.1455517 -24.3844937, 26.1458105 -24.3843293)"
312561446,,residential,False,True,206.118,"LINESTRING (26.1481782 -24.3797709, 26.1482938 -24.3798791, 26.1484292 -24.3799914, 26.1485901 -24.3800965, 26.1486746 -24.3801209, 26.1487793 -24.3801367, 26.1489147 -24.3801331, 26.1490676 -24.3801233, 26.1493761 -24.3800831, 26.1496443 -24.3800525, 26.149832 -24.3800452, 26.1500667 -24.3800354)"
219169556,,tertiary,False,False,117.58500000000001,"LINESTRING (26.146605 -24.3832754, 26.1465842 -24.3831498, 26.1465657 -24.3828881, 26.1465642 -24.3822199)"
219169556,,tertiary,False,True,20.076,"LINESTRING (26.146605 -24.3832754, 26.1466266 -24.3833998, 26.1466374 -24.3834535)"
312561469,,residential,False,False,272.303,"LINESTRING (26.146605 -24.3832754, 26.1464687 -24.3831267, 26.1462799 -24.3828936, 26.1461777 -24.3827505, 26.1458317 -24.382224, 26.1455622 -24.3818539, 26.1453931 -24.3815974, 26.1452416 -24.3813691, 26.1452456 -24.381198)"
219959123,,tertiary,False,False,131.22,"LINESTRING (26.1500667 -24.3800354, 26.1502692 -24.3801294, 26.1507225 -24.380309, 26.1512539 -24.3805067)"
219959123,,tertiary,False,True,95.477,"LINESTRING (26.1500667 -24.3800354, 26.1498521 -24.3798815, 26.1495531 -24.3796286, 26.1493546 -24.3794735)"
312561446,,residential,False,False,206.11800000000002,"LINESTRING (26.1500667 -24.3800354, 26.149832 -24.3800452, 26.1496443 -24.3800525, 26.1493761 -24.3800831, 26.1490676 -24.3801233, 26.1489147 -24.3801331, 26.1487793 -24.3801367, 26.1486746 -24.3801209, 26.1485901 -24.3800965, 26.1484292 -24.3799914, 26.1482938 -24.3798791, 26.1481782 -24.3797709)"
312561460,,residential,False,False,43.25000000000001,"LINESTRING (26.1507855 -24.3809747, 26.1506635 -24.3809222, 26.1505648 -24.3809089, 26.150465 -24.3809112, 26.1503737 -24.3809247)"
373888438,2,secondary,False,False,70.505,"LINESTRING (26.1507855 -24.3809747, 26.1508566 -24.3808868, 26.150929 -24.3808123, 26.1512539 -24.3805067)"
