osmid,oneway,highway,reversed,length,lanes,ref,maxspeed,geometry,name,junction
460077102,True,tertiary,False,10.742,,,,"LINESTRING (26.8343805 -23.108822, 26.8342795 -23.1087955)",,
78313572,True,trunk,False,521.2909999999999,2,A1,60,"LINESTRING (26.8343805 -23.108822, 26.834296 -23.1090679, 26.8341934 -23.1093275, 26.8339771 -23.1098574, 26.8339314 -23.1100414, 26.8339064 -23.1102234, 26.8339071 -23.1103843, 26.8339193 -23.1105263, 26.8339916 -23.1107436, 26.8340896 -23.1109228, 26.8343142 -23.1112953, 26.8344289 -23.1114895, 26.8345194 -23.1117147, 26.8345824 -23.1119429, 26.8345925 -23.1120792, 26.8345912 -23.1122469, 26.8345556 -23.1124067, 26.8345111 -23.1125547, 26.8342394 -23.1132524)",,
26240345,False,tertiary,False,6.645,,,,"LINESTRING (26.8335099 -23.1084835, 26.8334551 -23.1084514)",,
460077103,True,tertiary,False,86.01899999999999,,,,"LINESTRING (26.8335099 -23.1084835, 26.8336447 -23.1085039, 26.8337581 -23.1085464, 26.8339029 -23.1085976, 26.8343103 -23.1087148)",,
214842755,True,trunk,False,9.51,2,A1,60,"LINESTRING (26.8342795 -23.1087955, 26.8343103 -23.1087148)",,
460077102,True,tertiary,False,86.758,,,,"LINESTRING (26.8342795 -23.1087955, 26.8338543 -23.1086562, 26.8337091 -23.1086056, 26.8336186 -23.1085681, 26.8335099 -23.1084835)",,
1061181384,True,trunk,False,6.631,2,A1,60,"LINESTRING (26.83415 -23.113268, 26.8341701 -23.1132113)",,
460077104,True,secondary,False,44.113,2,B145,60,"LINESTRING (26.83415 -23.113268, 26.8338947 -23.1131006, 26.8338127 -23.1130228)",B145,
216696978,False,secondary,True,214.03699999999998,2,B145,60,"LINESTRING (26.8338127 -23.1130228, 26.8332689 -23.1126316, 26.8330188 -23.1124546, 26.8327794 -23.1122634, 26.8323886 -23.1118906, 26.8322477 -23.1117514)",B145,
460077105,True,secondary,False,42.17,2,B145,60,"LINESTRING (26.8338127 -23.1130228, 26.8338981 -23.1130685, 26.8340226 -23.1131262, 26.8341701 -23.1132113)",B145,
646851807,True,secondary,False,8.789,2,B145,60,"LINESTRING (26.8342238 -23.1133085, 26.83415 -23.113268)",B145,
1061181382,True,trunk,False,134.672,2,A1,60,"LINESTRING (26.8342238 -23.1133085, 26.8340132 -23.1139281, 26.8338154 -23.1144598)",,
215069037,False,unclassified,False,27.361,,,,"LINESTRING (26.8320584 -23.1115642, 26.8319158 -23.1117724)",,
216696978,False,secondary,False,28.427,2,B145,60,"LINESTRING (26.8320584 -23.1115642, 26.8322477 -23.1117514)",B145,
215069037,False,unclassified,True,79.78,,,,"LINESTRING (26.8320584 -23.1115642, 26.832466 -23.1109881, 26.8324824 -23.110962)",,
