osmid,oneway,name,highway,reversed,length,geometry,ref,lanes,tunnel,junction,maxspeed
563867089,True,Làlana Rabezavana,residential,False,13.281,"LINESTRING (47.526618 -18.906883, 47.5265561 -18.9067789)",,,,,
528688442,False,Làlana Rabezavana,residential,True,141.742,"LINESTRING (47.526618 -18.906883, 47.526623 -18.9068926, 47.5271574 -18.9080511)",,,,,
28930045,False,Araben'ny 26 Jona 1960,primary,True,196.543,"LINESTRING (47.5258682 -18.9084366, 47.5261629 -18.9087626, 47.5265333 -18.9091758, 47.5270897 -18.909774)",N 7,,,,
"[531720075, 414005971]",False,"[""Araben'ny Fahaleovantena"", ""Araben'ny 26 Jona 1960""]",primary,False,123.97999999999999,"LINESTRING (47.5258682 -18.9084366, 47.5254775 -18.908025, 47.5252899 -18.9078226, 47.5250953 -18.9075952)",N 7,2,,,
28915127,False,Làlana Ralaimongo,primary,False,33.754,"LINESTRING (47.5261604 -18.9122061, 47.5263626 -18.9119704)",N 7,3,,,
28930124,False,,residential,False,91.771,"LINESTRING (47.5261604 -18.9122061, 47.5254258 -18.9117609)",,,,,
48902598,True,,residential,False,20.82,"LINESTRING (47.5261604 -18.9122061, 47.5263361 -18.9122923)",,,,,
28915127,False,Làlana Ralaimongo,primary,True,295.403,"LINESTRING (47.5261604 -18.9122061, 47.5256022 -18.912854, 47.5247326 -18.9138812, 47.5243899 -18.9142681)",N 7,3,,,
28915127,False,Làlana Ralaimongo,primary,True,33.754,"LINESTRING (47.5263626 -18.9119704, 47.5261604 -18.9122061)",N 7,3,,,
"[28915149, 28915150, 28915127]",False,"['Làlana Ralaimongo', ""Tunnel d'Ambohidahy""]",primary,False,193.24200000000002,"LINESTRING (47.5263626 -18.9119704, 47.5265418 -18.9117542, 47.5271561 -18.9110287, 47.5273168 -18.9108007, 47.5274761 -18.9105894)",N 7,3,yes,,
301483911,True,,secondary,False,32.006,"LINESTRING (47.5275948 -18.9103415, 47.5278086 -18.9105463)",,2,,,
577818058,True,,primary,False,31.241999999999997,"LINESTRING (47.5275948 -18.9103415, 47.5275951 -18.9103921, 47.5275853 -18.9104354, 47.5275576 -18.9104873, 47.5274761 -18.9105894)",N 7,2,,,
28930045,False,Araben'ny 26 Jona 1960,primary,False,196.543,"LINESTRING (47.5270897 -18.909774, 47.5265333 -18.9091758, 47.5261629 -18.9087626, 47.5258682 -18.9084366)",N 7,,,,
"[1151215929, 301483807]",True,Araben'ny 26 Jona 1960,primary,False,56.69799999999999,"LINESTRING (47.5270897 -18.909774, 47.5272068 -18.9099164, 47.5273356 -18.9100559, 47.5274321 -18.9101676)",N 7,4,,,
28915927,False,,residential,True,72.958,"LINESTRING (47.5248978 -18.9074566, 47.5242668 -18.9077289)",,,,,
48978596,False,Làlana Rabefiraisana,residential,False,13.04,"LINESTRING (47.5248978 -18.9074566, 47.5250116 -18.9074101)",,,,,
531720068,True,Araben'ny Fahaleovantena,primary,False,25.868,"LINESTRING (47.5248978 -18.9074566, 47.5250953 -18.9075952)",N 7,2,,,
28915257,True,Araben'ny Fahaleovantena,primary,False,131.155,"LINESTRING (47.5249804 -18.9073416, 47.5249007 -18.90719, 47.524843 -18.9070949, 47.5247464 -18.9069972, 47.5242852 -18.9065089, 47.52421 -18.9064225)",N 7,2,,,
1266814871,False,,residential,False,154.447,"LINESTRING (47.5249804 -18.9073416, 47.5251154 -18.9072723, 47.5251301 -18.9072425, 47.5251422 -18.9071968, 47.525114 -18.9071505, 47.5243384 -18.9063173)",,,,,
"[761830984, 169781945]",True,,residential,False,155.757,"LINESTRING (47.528488 -18.9059073, 47.5284215 -18.9059728, 47.5283785 -18.9060312, 47.5283356 -18.9061073, 47.5282042 -18.9063991, 47.5281707 -18.906512, 47.5281452 -18.9066211, 47.5281371 -18.9066998, 47.5281264 -18.9069434, 47.5281291 -18.907083, 47.5281425 -18.9072263)",,,,,
1151215920,True,,tertiary,False,97.158,"LINESTRING (47.5285229 -18.9104043, 47.5277875 -18.9102691, 47.5276829 -18.9102526, 47.5276145 -18.9102538)",,,,,
"[562410570, 562410571, 591580606]",True,,tertiary,False,124.509,"LINESTRING (47.5290274 -18.9114646, 47.5289462 -18.911183, 47.5289057 -18.9109768, 47.5288805 -18.9109179, 47.5287343 -18.9106857, 47.5286163 -18.9105926, 47.5284895 -18.9105225)",,,,,
562466550,True,Làlana Sadiavahy,secondary,False,55.464999999999996,"LINESTRING (47.5290274 -18.9114646, 47.5287773 -18.9112777, 47.5287548 -18.9112645, 47.5285968 -18.9111789)",,2,,,
28929551,True,Làlana Rahamefy Samuel,residential,False,232.158,"LINESTRING (47.5280318 -18.9137351, 47.5281163 -18.913605, 47.5282059 -18.9132686, 47.5282422 -18.9131376, 47.5283481 -18.9128864, 47.5283682 -18.9127875, 47.5283668 -18.9126413, 47.5281683 -18.9117249)",,,,,
40163737,True,Làlana Andriandahifotsy,tertiary,False,367.3639999999999,"LINESTRING (47.5281425 -18.9072263, 47.5282437 -18.9080309, 47.5283569 -18.9084019, 47.5286315 -18.9087917, 47.5286917 -18.9091389, 47.5287026 -18.9091895, 47.5287088 -18.9096605, 47.5286807 -18.9097869, 47.5286311 -18.9099925, 47.5285229 -18.9104043)",,,,,
