osmid,highway,oneway,reversed,length,access,ref,geometry
251406823,tertiary,False,True,97.806,,,"LINESTRING (43.3593104 -21.7440306, 43.3589149 -21.7432314)"
1031343990,unclassified,False,False,113.051,yes,,"LINESTRING (43.3593104 -21.7440306, 43.3597017 -21.7449801)"
251406809,tertiary,False,True,165.975,,N 55,"LINESTRING (43.3593104 -21.7440306, 43.3603546 -21.7436012, 43.3607814 -21.7434297)"
251406812,unclassified,False,True,93.58099999999999,,,"LINESTRING (43.3593104 -21.7440306, 43.3592404 -21.7440553, 43.3584862 -21.7443798)"
1020373366,residential,False,True,403.805,,,"LINESTRING (43.3616127 -21.7481996, 43.3614511 -21.748349, 43.3613444 -21.7483883, 43.3609235 -21.7483978, 43.3605873 -21.7484725, 43.3603739 -21.7485716, 43.3602265 -21.7486633, 43.360187 -21.7487659, 43.360052 -21.7488844, 43.3598345 -21.748972, 43.3596315 -21.7490571, 43.3593039 -21.7489422, 43.3591915 -21.7488359, 43.3589677 -21.7487929, 43.3586286 -21.7487169, 43.3582824 -21.748577, 43.3581904 -21.74846)"
1031343990,unclassified,False,True,116.946,yes,,"LINESTRING (43.3616127 -21.7481996, 43.3610604 -21.7477778, 43.3608456 -21.7474455)"
251406817,residential,False,False,124.886,,,"LINESTRING (43.3634529 -21.7411886, 43.3639157 -21.7422262)"
1020073528,residential,False,True,184.709,,,"LINESTRING (43.3634529 -21.7411886, 43.3633503 -21.7412223, 43.3628481 -21.7413937, 43.3619724 -21.7417844, 43.3618138 -21.7418486)"
251406816,residential,False,False,121.376,,,"LINESTRING (43.3618138 -21.7418486, 43.3620702 -21.7423556, 43.3623125 -21.742837)"
1020073528,residential,False,False,184.709,,,"LINESTRING (43.3618138 -21.7418486, 43.3619724 -21.7417844, 43.3628481 -21.7413937, 43.3633503 -21.7412223, 43.3634529 -21.7411886)"
1020073528,residential,False,True,166.602,,,"LINESTRING (43.3618138 -21.7418486, 43.3612728 -21.7421193, 43.3603692 -21.742514)"
251406817,residential,False,True,124.886,,,"LINESTRING (43.3639157 -21.7422262, 43.3634529 -21.7411886)"
"[251406809, 455484663]",tertiary,False,False,87.74900000000001,,N 55,"LINESTRING (43.3639157 -21.7422262, 43.3633453 -21.7424655, 43.363142 -21.7425522)"
251406809,tertiary,False,False,86.472,,N 55,"LINESTRING (43.363142 -21.7425522, 43.3623567 -21.7428218)"
"[251406809, 455484663]",tertiary,False,True,87.74900000000001,,N 55,"LINESTRING (43.363142 -21.7425522, 43.3633453 -21.7424655, 43.3639157 -21.7422262)"
