osmid,highway,oneway,reversed,length,bridge,geometry,lanes,ref,maxspeed
52170440,residential,False,True,128.152,,"LINESTRING (46.8244796 -16.9503259, 46.8245149 -16.9491739)",,,
"[52170441, 52170442, 52170413]",residential,False,False,269.507,yes,"LINESTRING (46.8244796 -16.9503259, 46.8246429 -16.9503269, 46.8247388 -16.9503746, 46.824854 -16.9504263, 46.8250428 -16.9504858, 46.825211 -16.9505237, 46.825375 -16.9505268, 46.825524 -16.9505191, 46.8259092 -16.9504545, 46.8260878 -16.9504249, 46.8264965 -16.9503735, 46.8269535 -16.9502874)",,,
52170440,residential,False,False,364.29200000000003,,"LINESTRING (46.8244796 -16.9503259, 46.824448 -16.9511483, 46.8244677 -16.9512918, 46.8244855 -16.9513817, 46.8245096 -16.9514792, 46.8245298 -16.9516011, 46.8245365 -16.9517088, 46.8245271 -16.9517986, 46.824511 -16.9519526, 46.8243983 -16.9524606, 46.8242401 -16.9530302, 46.8241412 -16.9535535)",,,
52170440,residential,False,False,128.152,,"LINESTRING (46.8245149 -16.9491739, 46.8244796 -16.9503259)",,,
"[52170440, 52170438, 52170439]",residential,False,True,196.255,yes,"LINESTRING (46.8245149 -16.9491739, 46.8249879 -16.9492019, 46.8254437 -16.9492094, 46.8257562 -16.9491996, 46.8259224 -16.9491945, 46.8261582 -16.9491757, 46.8263552 -16.949144)",,,
1216872573,residential,False,False,83.886,,"LINESTRING (46.8245149 -16.9491739, 46.8244324 -16.9491665, 46.8240021 -16.9491418, 46.8237277 -16.9491545)",,,
52170416,primary,False,False,170.51000000000002,,"LINESTRING (46.8263552 -16.949144, 46.8263462 -16.9489895, 46.8263455 -16.9487665, 46.8263375 -16.9485691, 46.8263556 -16.9483832, 46.8263778 -16.94829, 46.8264252 -16.9481815, 46.8265186 -16.9480347, 46.8266008 -16.9479108, 46.8266701 -16.9478372, 46.8267859 -16.9477506)",2,N 4,80
52170416,primary,False,True,69.714,,"LINESTRING (46.8263552 -16.949144, 46.8263813 -16.9493083, 46.8264366 -16.9494449, 46.8265314 -16.9495769, 46.8266292 -16.9496994)",2,N 4,80
"[52170440, 52170438, 52170439]",residential,False,False,196.255,yes,"LINESTRING (46.8263552 -16.949144, 46.8261582 -16.9491757, 46.8259224 -16.9491945, 46.8257562 -16.9491996, 46.8254437 -16.9492094, 46.8249879 -16.9492019, 46.8245149 -16.9491739)",,,
52170416,primary,False,False,70.461,,"LINESTRING (46.8273386 -16.950803, 46.8269535 -16.9502874)",2,N 4,80
52170416,primary,False,True,132.304,,"LINESTRING (46.8273386 -16.950803, 46.8274704 -16.9509734, 46.8276107 -16.9511558, 46.8277196 -16.9512976, 46.8277815 -16.9514081, 46.8278031 -16.9515188, 46.827801 -16.9516241, 46.8277826 -16.9517468, 46.8277712 -16.9517929, 46.8277413 -16.9518466)",2,N 4,80
52170436,residential,False,True,78.087,,"LINESTRING (46.8273386 -16.950803, 46.8278011 -16.9505356, 46.8278907 -16.9504785, 46.8279597 -16.9504293)",2,,50
52170416,primary,False,True,70.461,,"LINESTRING (46.8269535 -16.9502874, 46.8273386 -16.950803)",2,N 4,80
52170416,primary,False,False,73.985,,"LINESTRING (46.8269535 -16.9502874, 46.8268552 -16.9501335, 46.8267909 -16.9500155, 46.8267243 -16.949881, 46.8266292 -16.9496994)",2,N 4,80
"[52170441, 52170442, 52170413]",residential,False,True,269.507,yes,"LINESTRING (46.8269535 -16.9502874, 46.8264965 -16.9503735, 46.8260878 -16.9504249, 46.8259092 -16.9504545, 46.825524 -16.9505191, 46.825375 -16.9505268, 46.825211 -16.9505237, 46.8250428 -16.9504858, 46.824854 -16.9504263, 46.8247388 -16.9503746, 46.8246429 -16.9503269, 46.8244796 -16.9503259)",,,
52170427,residential,False,False,174.084,,"LINESTRING (46.8274146 -16.949196, 46.8272339 -16.9487724, 46.8271208 -16.9485056, 46.8270604 -16.9483709, 46.8269987 -16.9482323, 46.8267859 -16.9477506)",2,,50
52170427,residential,False,True,148.899,,"LINESTRING (46.8274146 -16.949196, 46.8276942 -16.9498092, 46.8279597 -16.9504293)",2,,50
52170428,residential,False,False,100.57300000000001,,"LINESTRING (46.8274146 -16.949196, 46.8272187 -16.9493151, 46.8270618 -16.949419, 46.826866 -16.9495498, 46.8266292 -16.9496994)",2,,50
52170428,residential,False,True,53.006,,"LINESTRING (46.8274146 -16.949196, 46.8275405 -16.9491521, 46.8276612 -16.9491162, 46.8278088 -16.9490893, 46.8278953 -16.9490756)",2,,50
52170416,primary,False,False,69.714,,"LINESTRING (46.8266292 -16.9496994, 46.8265314 -16.9495769, 46.8264366 -16.9494449, 46.8263813 -16.9493083, 46.8263552 -16.949144)",2,N 4,80
