osmid,oneway,name,highway,width,reversed,length,bridge,geometry,lanes,ref,junction
82435098,False,Rue Ogé,tertiary,7,False,115.201,,"LINESTRING (-72.284224 18.5108453, -72.2831337 18.5107789)",,,
104719472,False,Rue Magny,residential,,False,89.921,,"LINESTRING (-72.284224 18.5108453, -72.2842879 18.5100389)",,,
"[82435098, 82435100, 96719210]",False,Rue Ogé,tertiary,7,True,119.08000000000001,yes,"LINESTRING (-72.284224 18.5108453, -72.2845222 18.510862, -72.2847351 18.5108738, -72.2849135 18.5108838, -72.2850906 18.5108941, -72.2851736 18.5109016, -72.2853507 18.5109169)",,,
104719472,False,Rue Magny,residential,,True,92.764,,"LINESTRING (-72.284224 18.5108453, -72.2841728 18.5115681, -72.2841382 18.5116729)",,,
48389185,True,Rue Ogé,tertiary,,False,121.11,,"LINESTRING (-72.2875667 18.5110397, -72.2887121 18.5111209)",2,,
107634098,True,Rue Lamarre,secondary,,False,19.453,,"LINESTRING (-72.2875667 18.5110397, -72.2875708 18.5108648)",,101B,
306706102,False,Rue Clerveaux,unclassified,,True,88.632,,"LINESTRING (-72.2897957 18.5111896, -72.2897696 18.5119863)",,,
"[48232861, 106982919]",True,"['Rue Pinchinat', 'Rue Clerveaux']",unclassified,,False,202.35699999999997,,"LINESTRING (-72.2897957 18.5111896, -72.2898021 18.5111208, -72.289844 18.5106682, -72.2898574 18.5104291, -72.2897582 18.5103451, -72.2894879 18.5103262, -72.2892473 18.5103093, -72.2887792 18.5102765)",2,,
288961364,False,Rue Ogé,unclassified,,True,114.512,,"LINESTRING (-72.2897957 18.5111896, -72.2891323 18.5111475, -72.2887121 18.5111209)",2,,
96750813,False,Rue Chavannes,residential,,False,114.078,,"LINESTRING (-72.2897696 18.5119863, -72.2886892 18.5119322)",,,
306706102,False,Rue Clerveaux,unclassified,,False,88.632,,"LINESTRING (-72.2897696 18.5119863, -72.2897957 18.5111896)",,,
306706102,False,Rue Clerveaux,unclassified,,True,93.064,,"LINESTRING (-72.2897696 18.5119863, -72.2897299 18.5128224)",,,
96750813,False,Rue Chavannes,residential,,True,68.464,,"LINESTRING (-72.2897696 18.5119863, -72.2903725 18.5120171, -72.290418 18.5120187)",,,
306706102,False,Rue Clerveaux,unclassified,,False,93.064,,"LINESTRING (-72.2897299 18.5128224, -72.2897696 18.5119863)",,,
30054504,False,Rue Clerveaux,unclassified,,True,91.51400000000001,,"LINESTRING (-72.2897299 18.5128224, -72.2897125 18.5132523, -72.2897035 18.5134054, -72.2897026 18.513427, -72.2896881 18.5136444)",,,
81544946,False,Rue Louverture,unclassified,,True,115.656,,"LINESTRING (-72.2897299 18.5128224, -72.2892004 18.512788, -72.2886356 18.5127512)",,,
30054504,False,Rue Clerveaux,unclassified,,False,91.51400000000001,,"LINESTRING (-72.2896881 18.5136444, -72.2897026 18.513427, -72.2897035 18.5134054, -72.2897125 18.5132523, -72.2897299 18.5128224)",,,
30054504,False,Rue Clerveaux,unclassified,,True,91.35900000000001,,"LINESTRING (-72.2896881 18.5136444, -72.2896819 18.5138211, -72.2896419 18.5144648)",,,
93218867,True,Rue Darguin,unclassified,,False,117.823,,"LINESTRING (-72.2896881 18.5136444, -72.2893819 18.5136308, -72.2885712 18.5136135)",,,
93218868,True,Rue Darguin,unclassified,,False,119.146,,"LINESTRING (-72.2885712 18.5136135, -72.2874447 18.5135294)",,,
106982941,True,Rue Faubert,secondary,,False,89.631,,"LINESTRING (-72.2885712 18.5136135, -72.2885134 18.5144177)",2,RD 108,
93218868,True,Rue Darguin,unclassified,,False,119.48,,"LINESTRING (-72.2874447 18.5135294, -72.286314 18.5134588)",,,
96750810,True,Rue Lamarre,secondary,,False,92.696,,"LINESTRING (-72.2874447 18.5135294, -72.2874731 18.5126962)",2,101B,
96750810,True,Rue Lamarre,secondary,,False,93.763,,"LINESTRING (-72.2874731 18.5126962, -72.2875148 18.5118539)",2,101B,
93217735,False,Rue Louverture,unclassified,,False,122.734,,"LINESTRING (-72.2874731 18.5126962, -72.2875287 18.5127011, -72.287899 18.5127164, -72.2881943 18.5127303, -72.2886356 18.5127512)",,,
96750810,True,Rue Lamarre,secondary,,False,90.707,,"LINESTRING (-72.2875148 18.5118539, -72.2875232 18.5116859, -72.2875338 18.5114726, -72.2875667 18.5110397)",2,101B,
106982921,False,Rue Chavannes,unclassified,,False,114.641,,"LINESTRING (-72.2875148 18.5118539, -72.287071 18.51183, -72.2868869 18.5118201, -72.2864293 18.5117954)",,,
