osmid,ref,name,highway,oneway,reversed,length,geometry,bridge,width,lanes
134135407,RN 3,Boulevard Jean-Jacques Dessalines,secondary,False,False,99.473,"LINESTRING (-72.1045105 18.8340515, -72.1047689 18.833191)",,,
512623717,RD 101,Rue Pétion,secondary,False,True,51.605,"LINESTRING (-72.1045105 18.8340515, -72.1049827 18.8341766)",,,
144880544,RN 3,Boulevard Jean-Jacques Dessalines,secondary,False,True,40.046,"LINESTRING (-72.1045105 18.8340515, -72.1044003 18.8343641, -72.1043888 18.8343927)",,,
48371493,,Rue Toussaint Louverture,residential,False,False,96.274,"LINESTRING (-72.1053988 18.8343199, -72.1056877 18.8334984)",,,
512623717,RD 101,Rue Pétion,secondary,False,False,46.6,"LINESTRING (-72.1053988 18.8343199, -72.1049827 18.8341766)",,,
512623718,RD 101,Rue Toussaint Louverture,secondary,False,True,43.61,"LINESTRING (-72.1053988 18.8343199, -72.1052875 18.8346388, -72.1052724 18.8346933)",,,
48371488,,Rue Toussaint Louverture,unclassified,False,False,55.999,"LINESTRING (-72.1052724 18.8346933, -72.1051168 18.8351749)",,,
"[238301120, 48371495, 49061941, 238301114, 238301118]",RD 101,"['Pont La Thème', 'Rue Chatulee']",secondary,False,"[False, True]",429.97299999999996,"LINESTRING (-72.1052724 18.8346933, -72.1059061 18.8348332, -72.1065437 18.8349522, -72.106636 18.8349861, -72.1067124 18.8350128, -72.1068088 18.8350543, -72.1073801 18.8352344, -72.1074075 18.8352453, -72.1076071 18.835313, -72.1078055 18.835384, -72.1091679 18.8358331)",yes,,
512623718,RD 101,Rue Toussaint Louverture,secondary,False,False,43.61,"LINESTRING (-72.1052724 18.8346933, -72.1052875 18.8346388, -72.1053988 18.8343199)",,,
48817683,,,unclassified,False,False,159.87599999999998,"LINESTRING (-72.1091679 18.8358331, -72.1090107 18.8366702, -72.1090214 18.836726, -72.1090536 18.8367616, -72.1093916 18.8369393, -72.1094077 18.83699, -72.1093895 18.8370528)",,,
"[238301120, 48371495, 49061941, 238301114, 238301118]",RD 101,"['Rue Chatulee', 'Pont La Thème']",secondary,False,"[False, True]",429.973,"LINESTRING (-72.1091679 18.8358331, -72.1078055 18.835384, -72.1076071 18.835313, -72.1074075 18.8352453, -72.1073801 18.8352344, -72.1068088 18.8350543, -72.1067124 18.8350128, -72.106636 18.8349861, -72.1065437 18.8349522, -72.1059061 18.8348332, -72.1052724 18.8346933)",yes,,
48371489,,Rue Benoît Batraville,unclassified,False,False,49.748,"LINESTRING (-72.1022206 18.833918, -72.1022066 18.8343652)",,,
48371496,,Rue Benoît Batraville,residential,False,False,164.06799999999998,"LINESTRING (-72.1022206 18.833918, -72.1022007 18.83346, -72.1022381 18.8324435)",,,
"[130642961, 130642958, 130642959]",RN 3,Rue Claire Heureuse,secondary,False,False,131.17100000000002,"LINESTRING (-72.1022206 18.833918, -72.102559 18.8339058, -72.1027477 18.8338985, -72.1029035 18.8338991, -72.1030772 18.8339209, -72.1032803 18.8339877, -72.103439 18.8340525)",yes,,
130642958,,,secondary,False,True,88.851,"LINESTRING (-72.1022206 18.833918, -72.1017305 18.8339177, -72.1013765 18.8339076)",,,
512623716,,Rue Gabard,residential,False,True,86.608,"LINESTRING (-72.1052242 18.8308803, -72.1059337 18.8312749)",,,
134135407,RN 3,Boulevard Jean-Jacques Dessalines,secondary,False,True,61.005,"LINESTRING (-72.1052242 18.8308803, -72.1052723 18.8310259, -72.1053064 18.8311952, -72.1053268 18.8314181)",,,
134135407,RN 3,Boulevard Jean-Jacques Dessalines,secondary,False,True,16.643,"LINESTRING (-72.1053268 18.8314181, -72.1053156 18.8315674)",,,
153880298,,Rue Prince,residential,False,True,81.372,"LINESTRING (-72.1053268 18.8314181, -72.1045862 18.8312079)",,,
134135407,RN 3,Boulevard Jean-Jacques Dessalines,secondary,False,False,61.005,"LINESTRING (-72.1053268 18.8314181, -72.1053064 18.8311952, -72.1052723 18.8310259, -72.1052242 18.8308803)",,,
48649389,,Rue Cenora,residential,False,True,51.121,"LINESTRING (-72.1053156 18.8315674, -72.1057779 18.8317085)",,,
134135407,RN 3,Boulevard Jean-Jacques Dessalines,secondary,False,False,16.643,"LINESTRING (-72.1053156 18.8315674, -72.1053268 18.8314181)",,,
