osmid,ref,highway,oneway,reversed,length,name,geometry,lanes
48450132,RD 72,secondary,False,False,38.341,,"LINESTRING (-74.1148966 18.6459178, -74.1149461 18.6455762)",
361986847,,residential,True,False,87.441,Rue Abbé Huet,"LINESTRING (-74.1148966 18.6459178, -74.1147871 18.6466973)",
30020386,,residential,False,True,91.022,Rue Docteur Hyppolite,"LINESTRING (-74.1148966 18.6459178, -74.1148417 18.6458624, -74.1140608 18.6457994)",
48450124,,unclassified,False,True,12.152,Avenue Simon Duvalier,"LINESTRING (-74.1146009 18.6483329, -74.1147149 18.6483163)",
49746881,,residential,False,True,65.333,Rue Abbé Huet,"LINESTRING (-74.1146009 18.6483329, -74.1146224 18.6488253, -74.114625 18.64892)",
361986845,,residential,False,False,87.078,Avenue Simon Duvalier,"LINESTRING (-74.1146009 18.6483329, -74.1140642 18.6482713, -74.1139697 18.6482605, -74.1137808 18.6482358)",
30020348,,tertiary,False,False,55.641999999999996,,"LINESTRING (-74.1137939 18.6410969, -74.1140349 18.6410332, -74.1141181 18.6409907, -74.1141717 18.6409576, -74.1142227 18.6409157, -74.1142559 18.6408779)",
111287665,,tertiary,False,False,114.90100000000001,,"LINESTRING (-74.1137939 18.6410969, -74.113824 18.64121, -74.113927 18.641545, -74.1140293 18.6417282, -74.1141205 18.6418292, -74.1142676 18.6420091)",
48450128,RD 72,secondary,False,True,63.186,Rue Hotrensius Merlet,"LINESTRING (-74.1127187 18.6448045, -74.1133148 18.6448668)",
48450134,,residential,False,True,101.56400000000001,,"LINESTRING (-74.1127187 18.6448045, -74.112621 18.6450858, -74.1124489 18.645244, -74.1124122 18.6456325)",
48706107,RD 702,secondary,False,False,72.383,Route Départementale 702,"LINESTRING (-74.1127187 18.6448045, -74.112734 18.644721, -74.1127437 18.6445214, -74.1127454 18.644486, -74.1127397 18.6441928, -74.1127389 18.6441551)",2
49746366,,residential,False,False,30.535,,"LINESTRING (-74.1171742 18.6443846, -74.1172565 18.6446479)",
30020312,,tertiary,False,True,76.587,Rue Émile Roumer,"LINESTRING (-74.1171742 18.6443846, -74.1170669 18.6443299, -74.1169944 18.6442372, -74.116926 18.6441139, -74.1168201 18.6439818, -74.1167426 18.6439084, -74.1167061 18.6438738)",
48450124,,unclassified,False,False,76.429,Avenue Simon Duvalier,"LINESTRING (-74.1160909 18.6484686, -74.1159231 18.6484553, -74.1157251 18.6484383, -74.1155686 18.6484246, -74.1153684 18.648407)",
48450139,,unclassified,False,True,95.697,,"LINESTRING (-74.1160909 18.6484686, -74.11611 18.648333, -74.116208 18.647764, -74.116227 18.647728, -74.1162832 18.6477046, -74.1163304 18.6476849)",
48450140,RD 72,secondary,False,False,18.226,,"LINESTRING (-74.1163304 18.6476849, -74.1162013 18.6475758)",
661203082,RC 700B,secondary,False,True,65.099,Rue Source Dommage,"LINESTRING (-74.1163304 18.6476849, -74.1167675 18.6480987)",
48450139,,unclassified,False,False,95.697,,"LINESTRING (-74.1163304 18.6476849, -74.1162832 18.6477046, -74.116227 18.647728, -74.116208 18.647764, -74.11611 18.648333, -74.1160909 18.6484686)",
30020386,,residential,False,False,87.902,Rue Docteur Hyppolite,"LINESTRING (-74.1132298 18.645729, -74.1140608 18.6457994)",
30020386,,residential,False,True,86.807,Rue Docteur Hyppolite,"LINESTRING (-74.1132298 18.645729, -74.1124122 18.6456325)",
48371442,,residential,False,False,96.308,Rue Monseigneur Beauger,"LINESTRING (-74.1132298 18.645729, -74.1132417 18.6455309, -74.1133148 18.6448668)",
48371442,,residential,False,True,88.856,Rue Monseigneur Beauger,"LINESTRING (-74.1132298 18.645729, -74.113219 18.6458535, -74.1131478 18.6465243)",
