osmid,highway,oneway,reversed,length,geometry,ref,name,width
48415669,tertiary,False,False,119.348,"LINESTRING (-74.4215739 18.562064, -74.4219327 18.5621474, -74.422565 18.5622113, -74.4226919 18.5622101)",,,
48415669,tertiary,False,True,126.82499999999999,"LINESTRING (-74.4215739 18.562064, -74.421341 18.5620018, -74.4209931 18.5619553, -74.4208188 18.561925, -74.42039 18.5618705)",,,
48415678,residential,False,False,107.84100000000001,"LINESTRING (-74.4215739 18.562064, -74.4216044 18.5615764, -74.4216627 18.5610982)",,,
48415678,residential,False,True,146.756,"LINESTRING (-74.4215739 18.562064, -74.4215503 18.5623837, -74.4215145 18.5626922, -74.421478 18.5629966, -74.4214348 18.563377)",,,
30020351,secondary,False,False,92.65799999999999,"LINESTRING (-74.4193178 18.5607687, -74.4191808 18.5606557, -74.4190231 18.5605367, -74.4186948 18.5603608, -74.418586 18.5603157)",RD 702,Rue Frère Poitier,
30020351,secondary,False,True,128.16899999999998,"LINESTRING (-74.4193178 18.5607687, -74.4199164 18.5609037, -74.4205099 18.5609909)",RD 702,Rue Frère Poitier,
463346466,tertiary,False,False,108.225,"LINESTRING (-74.4193178 18.5607687, -74.4192832 18.5613132, -74.4192538 18.5617401)",,,
"[463346466, 721739732]","['residential', 'tertiary']",False,True,320.92099999999994,"LINESTRING (-74.4193178 18.5607687, -74.4193876 18.5605077, -74.4194012 18.5600032, -74.4195362 18.5594162, -74.4195462 18.5591992, -74.4195494 18.5591319, -74.4195562 18.5589912, -74.4195372 18.5589002, -74.4195002 18.5588372, -74.4193721 18.5587194, -74.4190716 18.5586354, -74.4189109 18.5585285, -74.4186584 18.5584062)",,,
200670812,unclassified,False,False,123.999,"LINESTRING (-74.4235092 18.5612293, -74.4230461 18.5622544)",220,,
30020351,secondary,False,False,76.474,"LINESTRING (-74.4235092 18.5612293, -74.4234728 18.5612566, -74.4234286 18.5612674, -74.42334 18.5612674, -74.4231597 18.5612483, -74.4228019 18.561188)",RD 702,Rue Frère Poitier,
48415669,tertiary,False,False,35.702,"LINESTRING (-74.4179796 18.561486, -74.4183031 18.5615811)",,,
48415669,tertiary,False,True,57.010999999999996,"LINESTRING (-74.4179796 18.561486, -74.4177711 18.5614394, -74.4174618 18.5613399)",,,
454040755,residential,False,False,205.518,"LINESTRING (-74.4179796 18.561486, -74.4178839 18.5617601, -74.4178101 18.5619584, -74.4177564 18.5621961, -74.4176559 18.5623526, -74.4175258 18.5625852, -74.417515 18.5626754, -74.4175351 18.5627606, -74.4175928 18.5628166, -74.4179548 18.5630285)",,,
30020351,secondary,False,False,273.629,"LINESTRING (-74.418586 18.5603157, -74.4183612 18.5602019, -74.4181543 18.5601216, -74.4178806 18.5600245, -74.4176854 18.5599605, -74.4166729 18.5596367, -74.4161461 18.5594867)",RD 702,Rue Frère Poitier,
30020351,secondary,False,True,92.658,"LINESTRING (-74.418586 18.5603157, -74.4186948 18.5603608, -74.4190231 18.5605367, -74.4191808 18.5606557, -74.4193178 18.5607687)",RD 702,Rue Frère Poitier,
454035976,residential,False,True,164.985,"LINESTRING (-74.418586 18.5603157, -74.4186846 18.5600259, -74.4186855 18.5599931, -74.4186652 18.5599739, -74.4185385 18.5599515, -74.4185224 18.559941, -74.4185106 18.5599123, -74.4185424 18.5595789, -74.4185617 18.5589662)",,,
402080640,residential,False,True,63.248,"LINESTRING (-74.4186584 18.5584062, -74.4186568 18.5583292, -74.4186592 18.5582202, -74.4186592 18.5580932, -74.4186837 18.5578385)",,,
454035976,residential,False,False,63.419,"LINESTRING (-74.4186584 18.5584062, -74.4185973 18.5585919, -74.4185617 18.5589662)",,,
"[463346466, 721739732]","['residential', 'tertiary']",False,False,320.921,"LINESTRING (-74.4186584 18.5584062, -74.4189109 18.5585285, -74.4190716 18.5586354, -74.4193721 18.5587194, -74.4195002 18.5588372, -74.4195372 18.5589002, -74.4195562 18.5589912, -74.4195494 18.5591319, -74.4195462 18.5591992, -74.4195362 18.5594162, -74.4194012 18.5600032, -74.4193876 18.5605077, -74.4193178 18.5607687)",,,
30020382,unclassified,False,False,40.302,"LINESTRING (-74.4187924 18.562547, -74.4189901 18.5625873, -74.4191567 18.5626522)",,,
402080640,residential,False,False,63.248,"LINESTRING (-74.4186837 18.5578385, -74.4186592 18.5580932, -74.4186592 18.5582202, -74.4186568 18.5583292, -74.4186584 18.5584062)",,,
"[402080640, 721739731]",residential,False,True,317.081,"LINESTRING (-74.4186837 18.5578385, -74.4182591 18.55781, -74.4171878 18.5577108, -74.4170596 18.5577087, -74.4170513 18.5578079, -74.4170541 18.5581278, -74.4170203 18.558469, -74.4169489 18.5590087)",,,
721739730,residential,False,False,75.32300000000001,"LINESTRING (-74.4186837 18.5578385, -74.4187032 18.5576969, -74.4187032 18.5576264, -74.4186813 18.5575832, -74.4186255 18.5575431, -74.4182842 18.5574102)",,,
48415669,tertiary,False,True,37.66,"LINESTRING (-74.4230461 18.5622544, -74.4226919 18.5622101)",,,
200670812,unclassified,False,False,153.563,"LINESTRING (-74.4230461 18.5622544, -74.4224573 18.5635176)",220,,
