osmid,highway,oneway,reversed,length,geometry,name,bridge
48505477,unclassified,False,True,179.33900000000003,"LINESTRING (-72.6333156 18.515575, -72.6338304 18.5155384, -72.6341728 18.515536, -72.6343942 18.5155286, -72.6345847 18.5154969, -72.6347159 18.5154579, -72.6348086 18.5154139, -72.6349592 18.5153102)",,
403147523,residential,False,True,60.728,"LINESTRING (-72.6333156 18.515575, -72.6331663 18.5153163, -72.6330248 18.5151039)",Rue la liberte,
48359283,tertiary,False,False,96.964,"LINESTRING (-72.6308577 18.5078991, -72.6315112 18.5085126)",Rue La Croix,
48359283,tertiary,False,True,64.939,"LINESTRING (-72.6308577 18.5078991, -72.6304707 18.5074448)",Rue La Croix,
67861746,residential,False,False,111.524,"LINESTRING (-72.6308577 18.5078991, -72.630102 18.5086008)",Rue Père Thévenot,
67861746,residential,False,True,139.334,"LINESTRING (-72.6308577 18.5078991, -72.631801 18.5070216)",Rue Père Thévenot,
30029290,unclassified,False,False,136.825,"LINESTRING (-72.6343024 18.5094489, -72.6333979 18.5103312)",Rue l'Hôpital,
30029290,unclassified,False,True,106.106,"LINESTRING (-72.6343024 18.5094489, -72.6349825 18.5087456)",Rue l'Hôpital,
48360290,unclassified,False,True,104.209,"LINESTRING (-72.6343024 18.5094489, -72.6336387 18.5087545)",Rue Lavandye,
48360290,unclassified,False,False,132.374,"LINESTRING (-72.6343024 18.5094489, -72.6348931 18.5100002, -72.6351649 18.510312)",Rue Lavandye,
48359452,residential,False,True,126.137,"LINESTRING (-72.6316236 18.5136473, -72.6324672 18.512843)",Rue Saint Yves,
403147523,residential,False,False,109.846,"LINESTRING (-72.6316236 18.5136473, -72.6322923 18.5144048)",Rue la liberte,
403147523,residential,False,True,133.454,"LINESTRING (-72.6316236 18.5136473, -72.6311959 18.5132019, -72.630789 18.5127453)",Rue la liberte,
48359452,residential,False,False,133.881,"LINESTRING (-72.6351649 18.510312, -72.6342425 18.5111394)",Rue Saint Yves,
48360290,unclassified,False,False,108.731,"LINESTRING (-72.6351649 18.510312, -72.6357816 18.5110957)",Rue Lavandye,
48359452,residential,False,True,103.44200000000001,"LINESTRING (-72.6351649 18.510312, -72.6354564 18.5099824, -72.6357953 18.5096919, -72.6358475 18.5096469)",Rue Saint Yves,
48360290,unclassified,False,True,132.374,"LINESTRING (-72.6351649 18.510312, -72.6348931 18.5100002, -72.6343024 18.5094489)",Rue Lavandye,
67861816,unclassified,False,True,118.995,"LINESTRING (-72.630789 18.5127453, -72.6316146 18.5120157)",Rue l'Hôpital,
48505236,residential,False,True,89.94,"LINESTRING (-72.630789 18.5127453, -72.6306193 18.5125599, -72.6304502 18.5123874, -72.6302684 18.5122075, -72.630211 18.5121507)",Rue la liberte,
"[49649202, 48508548, 49649204]",unclassified,False,False,109.352,"LINESTRING (-72.630789 18.5127453, -72.6305804 18.5128542, -72.6304947 18.5128944, -72.6303893 18.512951, -72.6302256 18.5130221, -72.6299029 18.5132497)",,yes
403147523,residential,False,False,133.454,"LINESTRING (-72.630789 18.5127453, -72.6311959 18.5132019, -72.6316236 18.5136473)",Rue la liberte,
48359286,residential,False,False,94.561,"LINESTRING (-72.6316146 18.5120157, -72.6309654 18.511429)",Rue Saint Laurent,
48359286,residential,False,True,128.625,"LINESTRING (-72.6316146 18.5120157, -72.6324672 18.512843)",Rue Saint Laurent,
67861816,unclassified,False,False,118.995,"LINESTRING (-72.6316146 18.5120157, -72.630789 18.5127453)",Rue l'Hôpital,
"[67861816, 30029290]",unclassified,False,True,141.709,"LINESTRING (-72.6316146 18.5120157, -72.6323386 18.5113578, -72.632585 18.511134)",Rue l'Hôpital,
403174007,tertiary,False,False,62.137,"LINESTRING (-72.6354917 18.5155496, -72.6349592 18.5153102)",Route ça_ira,
48360291,tertiary,False,False,50.969,"LINESTRING (-72.6354917 18.5155496, -72.6356629 18.5152663, -72.635741 18.5151572)",Route Pandou,
67861809,unclassified,False,False,179.70200000000003,"LINESTRING (-72.6367126 18.5072141, -72.6365699 18.5072381, -72.6364335 18.5072894, -72.6362327 18.5074114, -72.6360551 18.5075481, -72.6358312 18.5077654, -72.635687 18.5079167, -72.6355145 18.5081486, -72.6354456 18.5082307)",Rue L'hopital prolonge,
48360290,unclassified,False,False,95.077,"LINESTRING (-72.631801 18.5070216, -72.6324161 18.5076468)",Rue Lavandye,
67861746,residential,False,False,139.334,"LINESTRING (-72.631801 18.5070216, -72.6308577 18.5078991)",Rue Père Thévenot,
