osmid,highway,oneway,reversed,length,lanes,name,geometry,maxspeed,bridge
196917614,residential,False,False,79.698,,,"LINESTRING (-88.5331973 16.511604, -88.5328139 16.5122193)",,
196917614,residential,False,True,71.987,,,"LINESTRING (-88.5331973 16.511604, -88.5335411 16.5110468)",,
196917635,residential,False,False,100.605,2,7th Street,"LINESTRING (-88.5331973 16.511604, -88.5324102 16.5111049)",,
196917635,residential,False,True,180.486,2,7th Street,"LINESTRING (-88.5331973 16.511604, -88.5346084 16.5125008)",,
196917625,residential,False,False,72.682,,,"LINESTRING (-88.5301458 16.5105825, -88.529817 16.5111551)",,
196917625,residential,False,True,72.238,,,"LINESTRING (-88.5301458 16.5105825, -88.5305014 16.5100295)",,
196917628,residential,False,True,148.752,2,8th Street,"LINESTRING (-88.5301458 16.5105825, -88.5313406 16.5112734)",,
196917628,residential,False,False,238.495,2,8th Street,"LINESTRING (-88.5301458 16.5105825, -88.5290567 16.5099686, -88.5282194 16.5094921)",,
196917632,residential,False,False,73.316,,,"LINESTRING (-88.5327198 16.5081616, -88.53236 16.5087235)",,
815950446,tertiary,False,True,42.767,,3rd Street,"LINESTRING (-88.5327198 16.5081616, -88.533066 16.5083559)",,
815950446,tertiary,False,False,223.08299999999997,,3rd Street,"LINESTRING (-88.5327198 16.5081616, -88.5320155 16.5077035, -88.5309614 16.5070748)",,
196917639,residential,False,False,100.706,2,North Frontage Road,"LINESTRING (-88.5346267 16.5076895, -88.5338335 16.5071977)",,
957374426,residential,False,False,37.008,,,"LINESTRING (-88.5346267 16.5076895, -88.5348137 16.5074091)",,
"[196917614, 196917639]",residential,False,"[False, True]",179.382,2,North Frontage Road,"LINESTRING (-88.5346267 16.5076895, -88.5354008 16.5082286, -88.5354147 16.5082566, -88.5354003 16.508291, -88.5350285 16.5088078)",,
"[955561329, 957374426]",residential,False,True,80.407,,,"LINESTRING (-88.5346267 16.5076895, -88.5344881 16.507906, -88.5342221 16.5082997)",,
196917626,residential,False,True,101.665,,2nd Street,"LINESTRING (-88.5289093 16.5050538, -88.5297099 16.5055505)",,
196917631,residential,False,False,71.299,,,"LINESTRING (-88.5289093 16.5050538, -88.52855 16.5055946)",,
778999732,residential,False,True,70.596,,,"LINESTRING (-88.533066 16.5083559, -88.5334312 16.5078263)",,
815950446,tertiary,False,False,42.767,,3rd Street,"LINESTRING (-88.533066 16.5083559, -88.5327198 16.5081616)",,
815950446,tertiary,False,True,100.848,,3rd Street,"LINESTRING (-88.533066 16.5083559, -88.5335009 16.508624, -88.5338616 16.5088465)",,
196917626,residential,False,False,101.665,,2nd Street,"LINESTRING (-88.5297099 16.5055505, -88.5289093 16.5050538)",,
196917626,residential,False,True,101.332,,2nd Street,"LINESTRING (-88.5297099 16.5055505, -88.5305132 16.5060376)",,
815950448,residential,False,False,73.292,,,"LINESTRING (-88.5297099 16.5055505, -88.5300718 16.5049901)",,
