osmid,ref,highway,oneway,reversed,length,geometry,lanes,junction,name,bridge,maxspeed,tunnel
"[94779772, 444768725]",R1204,secondary,False,False,194.56699999999998,"LINESTRING (22.189713 41.738074, 22.1895957 41.737883, 22.1892157 41.7372662, 22.1890503 41.7370916, 22.1888647 41.736907, 22.1885121 41.7366277, 22.1884961 41.7366179, 22.1884813 41.7366049)",,,,,,
94779772,R1204,secondary,False,True,108.277,"LINESTRING (22.189713 41.738074, 22.1896511 41.7384499, 22.1895628 41.738903, 22.189531 41.7390381)",,,,,,
1146995019,,secondary,True,False,4.481,"LINESTRING (22.188195 41.7364024, 22.1881585 41.7363727)",1,circular,,,,
85361216,,tertiary,True,False,36.745000000000005,"LINESTRING (22.19538 41.737367, 22.195563 41.7374842, 22.1956127 41.7375146, 22.195719 41.7375796)",,,Генерал Михајло Апостолски,,,
"[677993223, 677993226, 609802645, 913428214, 913428215]",,tertiary,False,False,41.089,"LINESTRING (22.19538 41.737367, 22.1953246 41.7374188, 22.1953165 41.7374257, 22.1951343 41.7376008, 22.1951305 41.7376043, 22.1950745 41.7376578)",,,Влашки Мост,yes,,
85361216,,tertiary,True,False,84.541,"LINESTRING (22.195719 41.7375796, 22.1961628 41.7378538, 22.1962474 41.7379072, 22.1965329 41.7380335)",,,Генерал Михајло Апостолски,,,
182796878,,residential,False,False,76.62799999999999,"LINESTRING (22.195719 41.7375796, 22.1958556 41.7374132, 22.1959595 41.7372934, 22.1961111 41.7370586, 22.1961638 41.7369769)",,,Љубен Иванов,,,
42783664,,tertiary,True,False,111.999,"LINESTRING (22.1969822 41.7381393, 22.197182 41.7381506, 22.1973563 41.7381652, 22.1975256 41.73817, 22.1977144 41.7381297, 22.1978991 41.7380714, 22.1982508 41.7379175)",,,Генерал Михајло Апостолски,,,
"[913429840, 913429841, 609802642, 609802643, 85321589]",,tertiary,False,True,41.261,"LINESTRING (22.1969822 41.7381393, 22.1969653 41.7382072, 22.1969634 41.7382142, 22.1969231 41.7384114, 22.1969219 41.7384168, 22.1968999 41.7385052)",,,Судски Мост,yes,,
85436235,,residential,False,True,84.75,"LINESTRING (22.1982508 41.7379175, 22.1982295 41.7378785, 22.1978275 41.7372239)",,,Страшо Пинџур,,,
"[443255403, 85321581]",,residential,True,False,109.668,"LINESTRING (22.1917194 41.736677, 22.1917104 41.7367142, 22.1916094 41.7371296, 22.1915964 41.7371831, 22.1922081 41.7373029)",,,Кузман Јосфовски Питу,,30,
444741996,,tertiary,True,False,214.92,"LINESTRING (22.1917194 41.736677, 22.191678 41.736664, 22.1915778 41.7366286, 22.1911244 41.7364683, 22.1911026 41.7364612, 22.1908584 41.736384, 22.190741 41.7363488, 22.190614 41.7363116, 22.1904547 41.7362961, 22.1901392 41.7363249, 22.189904 41.736348, 22.189245 41.7364144)",,,Кеј Маршал Тито,,,
"[85278089, 445958414, 445958415, 913427774, 913427775]",,residential,True,False,42.95399999999999,"LINESTRING (22.1939342 41.7371202, 22.1939488 41.7370658, 22.1939522 41.7370529, 22.1939875 41.7369275, 22.1940143 41.7368277, 22.1940216 41.7368041, 22.1940389 41.7367419)",,,"['Камен Мост', 'Kamen Most']",yes,,
445521660,,tertiary,True,False,130.143,"LINESTRING (22.1939342 41.7371202, 22.193851 41.7371054, 22.1937531 41.737088, 22.1933198 41.7370111, 22.1932415 41.7369972, 22.1928281 41.7369428, 22.1927394 41.7369296, 22.1926074 41.7369099, 22.1924013 41.7368742)",,,Кеј Маршал Тито,,,
261412494,,tertiary,False,True,21.142,"LINESTRING (22.1968999 41.7385052, 22.1971537 41.7385221)",,,Кеј Маршал Тито,,,
445154273,,tertiary,False,True,26.914,"LINESTRING (22.1968999 41.7385052, 22.197155 41.7386547)",,,,,,
"[913429840, 913429841, 609802642, 609802643, 85321589]",,tertiary,False,False,41.260999999999996,"LINESTRING (22.1968999 41.7385052, 22.1969219 41.7384168, 22.1969231 41.7384114, 22.1969634 41.7382142, 22.1969653 41.7382072, 22.1969822 41.7381393)",,,Судски Мост,yes,,
255800206,,residential,True,False,63.668,"LINESTRING (22.1968999 41.7385052, 22.1968931 41.7386036, 22.1968691 41.7388135, 22.196756 41.739063)",,,Vanco Prke,,,
"[444782350, 370926199]",,tertiary,True,False,95.66599999999998,"LINESTRING (22.1968999 41.7385052, 22.1965896 41.7384732, 22.1965293 41.7384631, 22.1965076 41.7384594, 22.1960859 41.7382815, 22.1959236 41.7381856, 22.1958709 41.7381582)",,,Кеј Маршал Тито,,,
85361181,,residential,False,False,73.485,"LINESTRING (22.1985105 41.7383461, 22.1992392 41.7379705)",,,,,,
261412494,,tertiary,False,False,115.912,"LINESTRING (22.1985105 41.7383461, 22.1983198 41.7383804, 22.1980036 41.7384668, 22.1978199 41.7385133, 22.1977038 41.7385214, 22.1974737 41.7385434, 22.1973535 41.7385401, 22.1971537 41.7385221)",,,Кеј Маршал Тито,,,
444782322,,tertiary,False,True,67.07,"LINESTRING (22.1985105 41.7383461, 22.1987864 41.7384191, 22.1992724 41.7385476)",,,Христијан Тодоровски Карпош,,,
444782322,,tertiary,False,False,67.07,"LINESTRING (22.1992724 41.7385476, 22.1987864 41.7384191, 22.1985105 41.7383461)",,,Христијан Тодоровски Карпош,,,
444782327,,residential,False,False,86.42399999999999,"LINESTRING (22.1992724 41.7385476, 22.1992665 41.738586, 22.1992036 41.7387013, 22.1991227 41.7388014, 22.1990784 41.7388238, 22.1990295 41.7388323, 22.1987227 41.738848, 22.1986906 41.7388665, 22.1986769 41.7388936, 22.1986441 41.7390224)",,,,,,
