osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,bridge,junction
185913876,R1204,Вељко Влаховиќ,secondary,False,True,14.63,"LINESTRING (21.9462606 41.8641246, 21.9461858 41.8642438)",,,,
839736621,,Вељко Влаховиќ,tertiary,False,True,46.525,"LINESTRING (21.9462606 41.8641246, 21.9458936 41.8638078)",,,,
185913876,R1204,Вељко Влаховиќ,secondary,False,False,45.05,"LINESTRING (21.9462606 41.8641246, 21.9464713 41.8640414, 21.9467265 41.8639163)",,,,
185913876,R1204,Вељко Влаховиќ,secondary,False,False,31.706000000000003,"LINESTRING (21.9450811 41.8653577, 21.945229 41.8652931, 21.9453721 41.8651772)",,,,
392780243,R1204,,secondary,False,True,16.257,"LINESTRING (21.9450811 41.8653577, 21.944975 41.8654002, 21.9449086 41.8654275)",40,,,
807570179,,Ванчо Ангелов,residential,False,True,49.655,"LINESTRING (21.9450811 41.8653577, 21.9451768 41.865386, 21.9452687 41.8653992, 21.9454413 41.8654178, 21.9455913 41.8654535, 21.9456562 41.8654753)",40,,,
186622675,R1204,Велко Влаховиќ,secondary,True,False,28.8,"LINESTRING (21.9442971 41.865695, 21.9444653 41.8654683)",,,,
185913873,R1204,Велко Влаховиќ,secondary,False,True,100.684,"LINESTRING (21.9442971 41.865695, 21.9440884 41.8658807, 21.9438921 41.8660753, 21.9435718 41.8664209)",50,2,,
839756002,,,residential,False,True,56.28,"LINESTRING (21.9442971 41.865695, 21.9442216 41.8656887, 21.944162 41.8656924, 21.9441069 41.8657007, 21.9437665 41.865785, 21.9437095 41.8657856, 21.9436459 41.8657606)",,,,
703984821,,Септемвриска,tertiary,False,True,39.048,"LINESTRING (21.9420505 41.8630193, 21.9419012 41.8626862)",,,,
167301544,,Маршал Тито,tertiary,False,True,86.821,"LINESTRING (21.9420505 41.8630193, 21.9424358 41.8628874, 21.942819 41.8627859, 21.9428969 41.8627773, 21.9429759 41.8627861, 21.9430314 41.862801)",,,,
847137798,,Маршал Тито,tertiary,False,False,91.859,"LINESTRING (21.9420505 41.8630193, 21.9416816 41.8635929, 21.9415822 41.863768)",,,,
263938999,,,residential,False,False,42.771,"LINESTRING (21.9415846 41.8638472, 21.9414457 41.8638916, 21.9413776 41.8639011, 21.9413094 41.8638963, 21.9410988 41.8638321)",,,,
"[839736619, 839736620, 847137798]",,Маршал Тито,tertiary,False,False,19.484,"LINESTRING (21.9415846 41.8638472, 21.94162 41.8638975, 21.9416705 41.8639692, 21.9416953 41.8640018)",,,yes,
847137798,,Маршал Тито,tertiary,False,True,8.995000000000001,"LINESTRING (21.9415846 41.8638472, 21.9415735 41.8638217, 21.9415822 41.863768)",,,,
167301462,,Плоштад Илинден,tertiary,True,False,24.054,"LINESTRING (21.9419848 41.8644432, 21.9421306 41.8646303)",,,,
839736619,,Маршал Тито,tertiary,False,True,54.623999999999995,"LINESTRING (21.9419848 41.8644432, 21.9419668 41.8644159, 21.9416953 41.8640018)",,,,
263838227,R1204,Велко Влаховиќ,secondary,True,False,8.518,"LINESTRING (21.9446836 41.8655103, 21.9446361 41.8655378, 21.9445946 41.8655453)",,,,roundabout
839756001,,Септемвриска,tertiary,False,True,30.774,"LINESTRING (21.9375295 41.8604841, 21.9371775 41.8603954)",,,,
167301424,,Крсте Мисирков,tertiary,False,False,113.44099999999999,"LINESTRING (21.9375295 41.8604841, 21.9374536 41.8607348, 21.9373975 41.8609729, 21.9373613 41.8611727, 21.9373379 41.8613602, 21.9373294 41.8614916)",,,,
