osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,geometry,name,bridge,access,width
194657226,2,A2,primary,80,False,False,36.751,"LINESTRING (22.3329181 42.2013368, 22.3325796 42.2011215)",,,,
38698099,1,,primary_link,40,True,False,23.131,"LINESTRING (22.3329181 42.2013368, 22.3327559 42.2013175, 22.3326428 42.2013383)",,,,
194657226,2,A2,primary,80,False,True,97.95100000000001,"LINESTRING (22.3329181 42.2013368, 22.333163 42.2015189, 22.3333673 42.2016735, 22.3335643 42.2018398, 22.3336696 42.2019439, 22.3337044 42.2019938)",,,,
39235611,,,tertiary,,False,True,169.745,"LINESTRING (22.3348781 42.2040277, 22.334944 42.203935, 22.3349994 42.2038471, 22.3351143 42.203603, 22.3352545 42.203282, 22.3354024 42.2029522, 22.3354924 42.202748, 22.3355647 42.2025903)",Sveti Joakim Osogovski,,,
"[39235610, 40428908, 974420022]",2,,tertiary,50,False,False,228.138,"LINESTRING (22.3348781 42.2040277, 22.3348854 42.2040743, 22.3348832 42.2042217, 22.3348913 42.2042953, 22.3349074 42.2043708, 22.3349409 42.2044949, 22.3349677 42.2045535, 22.335016 42.2046161, 22.3351293 42.2047277, 22.3352788 42.2048496, 22.3354384 42.2050026, 22.3356275 42.2051844, 22.3357844 42.2053354, 22.3359373 42.2054933, 22.3360178 42.2055728, 22.3360953 42.2056406, 22.3362189 42.2057547)","['Свети Јоаким Осоговски', 'Solarski']",yes,yes,
974420022,2,,tertiary,50,False,True,94.3,"LINESTRING (22.3348781 42.2040277, 22.3347475 42.2038697, 22.3346966 42.2037908, 22.3346667 42.2037234, 22.3346557 42.2036552, 22.3346565 42.2035498, 22.334672 42.2033444, 22.3346767 42.2032734, 22.3346831 42.2032201)",Свети Јоаким Осоговски,,,
38698096,,,residential,40,False,False,46.364,"LINESTRING (22.3311426 42.2025346, 22.331115 42.2025897, 22.3310671 42.2026552, 22.3309465 42.2027794, 22.330895 42.2028408, 22.3308627 42.2028941)",Академик Димитар Арсов,,,
38698096,,,residential,40,False,True,56.765,"LINESTRING (22.3311426 42.2025346, 22.3312755 42.2025237, 22.3314848 42.2025474, 22.3318252 42.2025826)",Академик Димитар Арсов,,,
144060266,,,residential,,False,False,104.22500000000001,"LINESTRING (22.3311426 42.2025346, 22.3307935 42.2025006, 22.3306434 42.2025006, 22.3305647 42.2025101, 22.3304736 42.202548, 22.3304039 42.2025952, 22.3303196 42.2027101, 22.3302251 42.2029272)",,,,
38698096,,,residential,40,False,False,70.077,"LINESTRING (22.3308627 42.2028941, 22.3312377 42.2029979, 22.331507 42.2030834, 22.3315759 42.2031101, 22.3316299 42.2031535)",Академик Димитар Арсов,,,
38698096,,,residential,40,False,True,46.364000000000004,"LINESTRING (22.3308627 42.2028941, 22.330895 42.2028408, 22.3309465 42.2027794, 22.3310671 42.2026552, 22.331115 42.2025897, 22.3311426 42.2025346)",Академик Димитар Арсов,,,
