osmid,highway,oneway,reversed,length,ref,name,geometry,bridge,maxspeed
42928240,residential,False,True,36.702,,,"LINESTRING (22.0906446 41.4849697, 22.0910687 41.4848802)",,
180826131,secondary,False,False,49.691,R1103,Маршал Тито,"LINESTRING (22.0906446 41.4849697, 22.0907197 41.4851185, 22.0908347 41.4853931)",,
180826131,secondary,False,True,143.788,R1103,Маршал Тито,"LINESTRING (22.0906446 41.4849697, 22.090503 41.4848035, 22.0902793 41.4846499, 22.089318 41.4841642)",,
33778314,tertiary,False,False,10.87,,Индустриска,"LINESTRING (22.0872013 41.4875039, 22.087109 41.4874348)",,
33778439,residential,False,True,130.17200000000003,,Душан Јуруков,"LINESTRING (22.0872013 41.4875039, 22.0873699 41.4873781, 22.0876703 41.487071, 22.0878465 41.4869045, 22.0880478 41.4867575, 22.0882679 41.4866659)",,
33778314,tertiary,False,True,10.87,,Индустриска,"LINESTRING (22.087109 41.4874348, 22.0872013 41.4875039)",,
33778314,tertiary,False,False,163.38,,Индустриска,"LINESTRING (22.087109 41.4874348, 22.0862844 41.4868204, 22.0857184 41.4863986)",,
180813415,residential,False,False,137.73000000000002,,Гоце Делчев,"LINESTRING (22.087109 41.4874348, 22.0872072 41.4873545, 22.0873776 41.4869787, 22.0874682 41.4864684, 22.0875099 41.4862526)",,
"[42928248, 42928250, 33778354]",residential,False,True,76.539,,Даме Груев,"LINESTRING (22.0928779 41.4870918, 22.0927415 41.4871355, 22.0926051 41.4871978, 22.0920927 41.4874468)",yes,
300490583,residential,False,True,59.664,,Партизанска,"LINESTRING (22.0928779 41.4870918, 22.0930818 41.4872244, 22.0932139 41.4873102, 22.0934335 41.4874297)",,
"[300475330, 300490602, 42928110]",residential,False,False,299.334,,Партизанска,"LINESTRING (22.0928779 41.4870918, 22.0927319 41.4870121, 22.0923799 41.4868256, 22.0920118 41.4865764, 22.0916437 41.4861893, 22.0913889 41.4857704, 22.0910774 41.4850333, 22.0910687 41.4848802)",,
33778369,residential,False,False,48.068,,Никола Петров,"LINESTRING (22.0920927 41.4874468, 22.0915965 41.4876675)",,
"[42928248, 33778354, 42928250]",residential,False,False,76.539,,Даме Груев,"LINESTRING (22.0920927 41.4874468, 22.0926051 41.4871978, 22.0927415 41.4871355, 22.0928779 41.4870918)",yes,
180826131,secondary,False,True,150.49800000000002,R1103,Маршал Тито,"LINESTRING (22.0920927 41.4874468, 22.0917278 41.4870109, 22.0915297 41.4867497, 22.0912564 41.4862516)",,
300490603,residential,False,True,98.215,,Даме Груев,"LINESTRING (22.0937424 41.4862794, 22.0930228 41.4869791)",,
"[33778685, 33778367]",residential,False,False,72.771,,Даме Груев,"LINESTRING (22.0937424 41.4862794, 22.0937688 41.4861046, 22.0937504 41.4858797, 22.0937482 41.4856265)",,
33778439,residential,False,False,57.872,,Душан Јуруков,"LINESTRING (22.0908347 41.4853931, 22.0906015 41.4855162, 22.0904348 41.4855922, 22.0902539 41.4856783)",,
180826131,secondary,False,False,101.719,R1103,Маршал Тито,"LINESTRING (22.0908347 41.4853931, 22.0911264 41.4859841, 22.0912564 41.4862516)",,
