osmid,oneway,name,highway,reversed,length,geometry,maxspeed,lanes,bridge,junction
192126055,True,Александар Македонски,tertiary,False,40.353,"LINESTRING (20.9630448 41.5127093, 20.9630841 41.5125515, 20.9631361 41.5123529)",,,,
706792396,True,Маршал Тито,tertiary,False,15.020999999999999,"LINESTRING (20.9630448 41.5127093, 20.9630363 41.5127828, 20.963028 41.5128438)",40,,,
703505681,True,Булевар Ослободување,tertiary,False,156.349,"LINESTRING (20.963028 41.5128438, 20.9629533 41.5128437, 20.9629042 41.5128437, 20.962874 41.5128411, 20.9628532 41.5128356, 20.9628304 41.5128271, 20.9627942 41.5128115, 20.9627707 41.5128113, 20.9613319 41.5127982, 20.9611601 41.5127956)",50,2,,
983395231,False,Александар Македонски,tertiary,True,37.909,"LINESTRING (20.9618046 41.5099688, 20.9620279 41.5102659)",,,,
226911466,False,,residential,False,148.66,"LINESTRING (20.9618046 41.5099688, 20.9620026 41.509904, 20.9622361 41.50985, 20.9625953 41.5097784, 20.9629915 41.5097064, 20.9632852 41.5096427, 20.963524 41.5096581)",,,,
"[832047280, 832047281, 983395231]",False,Александар Македонски,tertiary,False,22.052000000000003,"LINESTRING (20.9618046 41.5099688, 20.9617921 41.5099463, 20.9617625 41.5098297, 20.9617482 41.5097868, 20.9617446 41.5097761)",,,yes,
198626419,False,Александар Македонски,residential,True,105.13799999999999,"LINESTRING (20.9617446 41.5097761, 20.9616825 41.5089986, 20.961659 41.5088329)",,,,
226973436,False,Борис Кидрич,tertiary,True,94.35,"LINESTRING (20.9617446 41.5097761, 20.9614444 41.5097688, 20.9612489 41.5097302, 20.9610611 41.5096755, 20.9606613 41.5095589)",,,,
"[832047280, 832047281, 983395231]",False,Александар Македонски,tertiary,True,22.052,"LINESTRING (20.9617446 41.5097761, 20.9617482 41.5097868, 20.9617625 41.5098297, 20.9617921 41.5099463, 20.9618046 41.5099688)",,,yes,
703505680,True,Булевар Ослободување,tertiary,False,6.697,"LINESTRING (20.9587096 41.5127921, 20.9586782 41.512799, 20.9586305 41.5127984)",50,2,,roundabout
424819946,True,,tertiary,False,4.957,"LINESTRING (20.9549049 41.5126387, 20.9549171 41.5126269, 20.9549314 41.5126166, 20.9549474 41.5126079)",,,,roundabout
1050516750,True,11 Септември,tertiary,False,23.946,"LINESTRING (20.9549474 41.5126079, 20.9550087 41.5123975)",,,,
424819946,True,,tertiary,False,12.866,"LINESTRING (20.9549474 41.5126079, 20.9549954 41.5125939, 20.9550469 41.5125939, 20.955095 41.5126077)",,,,roundabout
305248795,True,Рудничка,tertiary,False,10.116,"LINESTRING (20.9587532 41.512688, 20.9587576 41.5126956, 20.9587636 41.512719, 20.9587618 41.5127385, 20.9587595 41.5127469, 20.9587425 41.5127749)",,,,roundabout
703505682,True,Булевар Ослободување,tertiary,False,200.484,"LINESTRING (20.9587532 41.512688, 20.958969 41.5126902, 20.9600606 41.5127012, 20.9609605 41.5127102, 20.9611608 41.5127081)",,2,,
198626402,False,11 Септември,tertiary,False,26.624,"LINESTRING (20.9544468 41.5073238, 20.9543961 41.5071597, 20.9543743 41.5070906)",30,2,,
1164920494,True,,tertiary,False,12.240000000000002,"LINESTRING (20.9544468 41.5073238, 20.9544932 41.5073355, 20.954528 41.5073613, 20.9545441 41.507396)",,,,
991655291,False,4. Јули,residential,True,112.988,"LINESTRING (20.9550245 41.5110332, 20.9538096 41.5105806)",,,,
99182644,False,11 Септември,tertiary,False,100.257,"LINESTRING (20.9550245 41.5110332, 20.9550614 41.5105986, 20.9550645 41.5103526, 20.9550388 41.5101333)",40,,,
99182644,False,11 Септември,tertiary,True,89.53500000000001,"LINESTRING (20.9550245 41.5110332, 20.9550209 41.5117707, 20.955021 41.5118384)",40,,,
828210472,False,,residential,True,99.621,"LINESTRING (20.9550245 41.5110332, 20.9546765 41.5114549, 20.9545908 41.5116035, 20.9545613 41.51173, 20.9546979 41.5117702)",,,,
1164926493,False,4ти Јули,residential,True,137.589,"LINESTRING (20.9550245 41.5110332, 20.9558175 41.5113045, 20.9561213 41.5113376, 20.9564443 41.5112907, 20.9565809 41.5112553)",,,,
260932807,False,Elisije Popovski - Marko,residential,True,74.576,"LINESTRING (20.9530784 41.509051, 20.9539734 41.5090756)",,,,
167520440,False,4. Јули,residential,False,139.619,"LINESTRING (20.9530784 41.509051, 20.953024 41.5102329, 20.9530344 41.5103055)",,,,
167520448,False,4ти Јули,residential,True,249.832,"LINESTRING (20.9530784 41.509051, 20.9531169 41.5083954, 20.9531907 41.5077036, 20.9531833 41.5076065, 20.9532024 41.5075269, 20.9532692 41.5074782, 20.9533223 41.5074523, 20.9533601 41.5074221, 20.953384 41.507388, 20.9533787 41.5073079, 20.9533801 41.5071736, 20.953333 41.5068689)",,,,
260932807,False,Elisije Popovski - Marko,residential,False,74.576,"LINESTRING (20.9539734 41.5090756, 20.9530784 41.509051)",,,,
828210476,False,,residential,False,69.599,"LINESTRING (20.9539734 41.5090756, 20.9548084 41.5091036)",,,,
260932807,False,Elisije Popovski - Marko,residential,True,104.321,"LINESTRING (20.9539734 41.5090756, 20.9539628 41.5089245, 20.9539456 41.5087301, 20.9538886 41.5081396)",,,,
991655292,False,Елисије Поповски-Марко,residential,False,169.961,"LINESTRING (20.9539734 41.5090756, 20.9539849 41.5095936, 20.9539643 41.5097474, 20.9538927 41.5099238, 20.953813 41.5101716, 20.9538304 41.5103315, 20.9538575 41.5104677, 20.9538096 41.5105806)",,,,
