osmid,name,highway,oneway,reversed,length,geometry,width,lanes,access,maxspeed,junction
4840060,Pragya Marg,residential,False,True,217.686,"LINESTRING (85.3200685 27.709934, 85.3200482 27.7097323, 85.3199602 27.7089032, 85.3199302 27.7086564, 85.319925 27.7084169, 85.3199155 27.7079823)",,,,,
4840073,तीनधारा मार्ग,secondary,True,False,30.656,"LINESTRING (85.3200685 27.709934, 85.320176 27.7099313, 85.3203787 27.709912)",7,,,,
4840124,बाघबजार सडक,secondary,False,False,4.706,"LINESTRING (85.3228701 27.7056472, 85.3228286 27.7056262)",9,2,yes,,
169336486,पुतली सडक,primary,True,False,69.788,"LINESTRING (85.3228701 27.7056472, 85.3228242 27.7050209)",6,2,,,
4840054,,primary,False,True,185.126,"LINESTRING (85.3220779 27.7096378, 85.3219638 27.708932, 85.3219087 27.708531, 85.3218606 27.7081802, 85.3218359 27.7080673, 85.3218188 27.7079892)",11,,,,
171215514,तिन धारा सडक,primary,False,False,72.608,"LINESTRING (85.3220779 27.7096378, 85.3221684 27.7101133, 85.3221649 27.7101576, 85.3221578 27.7101955, 85.3221256 27.7102787)",11,2,,,
171215507,दरबार मार्ग,primary,True,False,213.435,"LINESTRING (85.3167795 27.708002, 85.3166472 27.7075765, 85.3164356 27.7067357, 85.3162171 27.7061501)",9,2,,,
28579443,दरबार मार्ग,primary,True,False,111.252,"LINESTRING (85.3170477 27.7089737, 85.317025 27.7089132, 85.3167795 27.708002)",9,2,,,
"[120031048, 232661480]","['पशुपति सडक-3', 'पशुपति मार्ग']",secondary,False,"[False, True]",54.300000000000004,"LINESTRING (85.3221256 27.7102787, 85.3222867 27.7103235, 85.3224663 27.7103132, 85.3226667 27.7102859)",14,4,,,
171215514,तिन धारा सडक,primary,False,True,72.608,"LINESTRING (85.3221256 27.7102787, 85.3221578 27.7101955, 85.3221649 27.7101576, 85.3221684 27.7101133, 85.3220779 27.7096378)",11,2,,,
172385216,हत्तिसार सडक,primary,False,False,30.053000000000004,"LINESTRING (85.3221256 27.7102787, 85.3220798 27.710354, 85.3220075 27.7104616, 85.3219708 27.7105115)",11,,,,
172385216,हत्तिसार सडक,primary,False,True,180.009,"LINESTRING (85.3221487 27.7121019, 85.3222102 27.711565, 85.3222089 27.711535, 85.3222062 27.7115038, 85.3222001 27.7114703, 85.3221914 27.7114338, 85.3220349 27.7108471, 85.3219874 27.7106776, 85.3219686 27.71061, 85.3219617 27.7105563, 85.3219708 27.7105115)",11,,,,
"[169442482, 440711607]",Lalu Pate Marg,residential,False,"[False, True]",99.15799999999999,"LINESTRING (85.3221487 27.7121019, 85.3216488 27.7120885, 85.3215858 27.7121249, 85.3214384 27.7121316, 85.3214043 27.7118817)",,,,,
"[257759242, 220025931]",बागबजार सडक,secondary,False,True,141.027,"LINESTRING (85.3162171 27.7061501, 85.3165306 27.706077, 85.3166995 27.7060483, 85.31682 27.7060174, 85.3171668 27.7059534, 85.317618 27.7058911)",9,2,yes,,
257759242,बागबजार सडक,secondary,False,True,51.389,"LINESTRING (85.3215684 27.7056326, 85.3220902 27.7056199)",9,2,,,
257759242,बागबजार सडक,secondary,False,False,77.881,"LINESTRING (85.3215684 27.7056326, 85.3211134 27.70565, 85.3207781 27.7056641)",9,2,,,
28579337,दरबार मार्ग,primary,True,False,151.434,"LINESTRING (85.3176101 27.7113876, 85.317575 27.711138, 85.3174461 27.7103911, 85.317415 27.7102198, 85.3174083 27.7101538, 85.3174264 27.7100399)",9,4,,,
71436274,Paryatak Marg,residential,False,False,87.808,"LINESTRING (85.3176101 27.7113876, 85.3176621 27.7113817, 85.3180553 27.7113342, 85.3184026 27.711263, 85.3184107 27.711187)",,,,,
71436274,Paryatak Marg,residential,False,False,25.039,"LINESTRING (85.3188057 27.7113658, 85.3188644 27.7115849)",,,,,
71436274,Paryatak Marg,residential,False,True,27.735,"LINESTRING (85.3188057 27.7113658, 85.3187031 27.7111335)",,,,,
71436275,Parya Tak Marga,residential,False,False,64.182,"LINESTRING (85.3188057 27.7113658, 85.3193962 27.7112483, 85.3194418 27.7112392)",,,,,
71436275,Parya Tak Marga,residential,False,True,64.182,"LINESTRING (85.3194418 27.7112392, 85.3193962 27.7112483, 85.3188057 27.7113658)",,,,,
85690969,Kul Ratna Marg,residential,False,False,216.64300000000003,"LINESTRING (85.318267 27.7099162, 85.3182759 27.7098317, 85.3182632 27.7097284, 85.318248 27.7096304, 85.3182306 27.7095186, 85.3182169 27.7093568, 85.3180839 27.7079763)",,,,,
111967848,Bina Marg,residential,False,True,142.55700000000002,"LINESTRING (85.318267 27.7099162, 85.3182894 27.7101134, 85.3187031 27.7111335)",,,,,
325666723,तीनधारा सडक,secondary,True,False,151.173,"LINESTRING (85.318267 27.7099162, 85.3183858 27.7099201, 85.3189193 27.7099886, 85.3190657 27.7100087, 85.3192911 27.7100358, 85.3193682 27.7100393, 85.3194403 27.7100347, 85.319538 27.7100193, 85.3197874 27.7099799)",7,,,,
4840073,तीनधारा मार्ग,secondary,True,False,39.85,"LINESTRING (85.3216939 27.7097512, 85.3220779 27.7096378)",7,,,,
85704892,Siddhik Marga,residential,False,True,63.413,"LINESTRING (85.3216939 27.7097512, 85.3218566 27.710303)",,,,,
111984925,जमल सडक,primary,True,False,96.99700000000001,"LINESTRING (85.3167188 27.7092633, 85.3169743 27.7093774, 85.3170378 27.7094109, 85.3170963 27.7094666, 85.3171306 27.7095177, 85.3171685 27.7095973, 85.3171817 27.7096559, 85.317201 27.7098424, 85.3172059 27.7099269)",7,2,,,
169442474,Jamal Sadak,primary_link,True,False,56.144,"LINESTRING (85.3167188 27.7092633, 85.3167915 27.7092659, 85.3168653 27.7092612, 85.3169297 27.7092472, 85.3169802 27.7092181, 85.3170171 27.7091836, 85.3170407 27.7091433, 85.3170481 27.7090929, 85.3170477 27.7089737)",7,2,,,
567661914,कमलादी मार्ग,secondary,True,False,14.038,"LINESTRING (85.3180839 27.7079763, 85.3179413 27.7079757)",7,2,,,
85690969,Kul Ratna Marg,residential,False,True,216.64300000000003,"LINESTRING (85.3180839 27.7079763, 85.3182169 27.7093568, 85.3182306 27.7095186, 85.318248 27.7096304, 85.3182632 27.7097284, 85.3182759 27.7098317, 85.318267 27.7099162)",,,,,
4840073,तीनधारा मार्ग,secondary,True,False,26.612000000000002,"LINESTRING (85.3214298 27.7098023, 85.3216842 27.7097531, 85.3216939 27.7097512)",7,,,,
85691133,Shrim Nidhi Marg,residential,False,False,204.62600000000003,"LINESTRING (85.3214298 27.7098023, 85.3213391 27.7087591, 85.3212793 27.7083446, 85.3212704 27.7079686)",,,,,
111845389,Bank Marg,living_street,False,False,78.23,"LINESTRING (85.3177397 27.7069732, 85.3176855 27.7062713)",,2,permissive,20,
257759242,बागबजार सडक,secondary,False,True,86.625,"LINESTRING (85.317618 27.7058911, 85.3184951 27.7058287)",9,2,,,
111845389,Bank Marg,living_street,False,True,45.181999999999995,"LINESTRING (85.317618 27.7058911, 85.3176429 27.7062561, 85.3176855 27.7062713)",,2,permissive,20,
"[257759242, 220025931]",बागबजार सडक,secondary,False,False,141.027,"LINESTRING (85.317618 27.7058911, 85.3171668 27.7059534, 85.31682 27.7060174, 85.3166995 27.7060483, 85.3165306 27.706077, 85.3162171 27.7061501)",9,2,yes,,
85691133,Shrim Nidhi Marg,residential,False,True,204.626,"LINESTRING (85.3212704 27.7079686, 85.3212793 27.7083446, 85.3213391 27.7087591, 85.3214298 27.7098023)",,,,,
232516697,कमलादी मार्ग,secondary,True,False,133.394,"LINESTRING (85.3212704 27.7079686, 85.3205947 27.7079716, 85.320278 27.7079766, 85.3199155 27.7079823)",7,2,,,
71436274,Paryatak Marg,residential,False,False,27.735,"LINESTRING (85.3187031 27.7111335, 85.3188057 27.7113658)",,,,,
71436274,Paryatak Marg,residential,False,True,29.393,"LINESTRING (85.3187031 27.7111335, 85.3184107 27.711187)",,,,,
111967848,Bina Marg,residential,False,False,142.55700000000002,"LINESTRING (85.3187031 27.7111335, 85.3182894 27.7101134, 85.318267 27.7099162)",,,,,
325666723,तीनधारा सडक,secondary,True,False,28.139,"LINESTRING (85.3197874 27.7099799, 85.3200685 27.709934)",7,,,,
111967844,Athak Marg,residential,False,True,101.76,"LINESTRING (85.3197874 27.7099799, 85.3198477 27.7102769, 85.3199569 27.7108143, 85.3199704 27.7108806)",,,,,
257759242,बागबजार सडक,secondary,False,True,73.083,"LINESTRING (85.3191422 27.7057713, 85.3198812 27.7057088)",9,2,,,
