osmid,name,highway,oneway,reversed,length,lanes,geometry,ref,bridge
209976828,Dailekh Road,residential,False,True,89.358,,"LINESTRING (81.6285631 28.5941573, 81.6280691 28.5934808)",,
209981894,,tertiary,False,False,96.73499999999999,2,"LINESTRING (81.6285631 28.5941573, 81.6279762 28.5944325, 81.6276885 28.5945661)",,
209981894,,tertiary,False,True,108.743,2,"LINESTRING (81.6285631 28.5941573, 81.6289958 28.5939228, 81.6295329 28.5936777)",,
209986069,,residential,False,False,188.62300000000002,,"LINESTRING (81.6285631 28.5941573, 81.6286521 28.5942323, 81.6295634 28.595604)",,
209982749,,residential,False,False,52.9,,"LINESTRING (81.6269208 28.5970373, 81.6271692 28.5974601)",,
209986050,,residential,False,False,93.309,,"LINESTRING (81.6269208 28.5970373, 81.6277363 28.5965997)",,
209982749,,residential,False,True,188.19099999999997,,"LINESTRING (81.6269208 28.5970373, 81.6265457 28.5965688, 81.6261971 28.5960643, 81.6260308 28.5958123, 81.6259163 28.5955961)",,
672180823,,residential,False,True,198.53,,"LINESTRING (81.6269208 28.5970373, 81.6260764 28.5974491, 81.6251706 28.5979452)",,
209986050,,residential,False,True,67.414,,"LINESTRING (81.6295634 28.595604, 81.6289979 28.5959519)",,
209986050,,residential,False,False,119.62100000000001,,"LINESTRING (81.6295634 28.595604, 81.6298233 28.5954567, 81.6300432 28.5952707, 81.630349 28.595087, 81.6305434 28.5949634)",,
209986069,,residential,False,False,138.784,,"LINESTRING (81.6295634 28.595604, 81.6300084 28.5961774, 81.6301881 28.5963847, 81.6305153 28.5964459)",,
209986069,,residential,False,True,188.62300000000002,,"LINESTRING (81.6295634 28.595604, 81.6286521 28.5942323, 81.6285631 28.5941573)",,
209976828,Dailekh Road,residential,False,False,13.443,,"LINESTRING (81.6266839 28.5914126, 81.6267569 28.5915151)",,
209976828,Dailekh Road,residential,False,True,30.505,,"LINESTRING (81.6266839 28.5914126, 81.626521 28.5911785)",,
209983531,,residential,False,False,129.74,2,"LINESTRING (81.6266839 28.5914126, 81.6279723 28.591127)",,
209981894,,tertiary,False,True,46.024,2,"LINESTRING (81.6259163 28.5955961, 81.6262926 28.5953468)",,
672180827,,residential,False,True,98.733,2,"LINESTRING (81.6259163 28.5955961, 81.6254422 28.5948118)",,
209981894,,tertiary,False,False,252.615,2,"LINESTRING (81.6259163 28.5955961, 81.6247688 28.5962021, 81.6242156 28.5965305, 81.623716 28.5967902)",,
209982749,,residential,False,False,188.191,,"LINESTRING (81.6259163 28.5955961, 81.6260308 28.5958123, 81.6261971 28.5960643, 81.6265457 28.5965688, 81.6269208 28.5970373)",,
