osmid,oneway,highway,reversed,length,name,lanes,maxspeed,geometry,junction,tunnel,bridge
732304115,True,tertiary,False,17.825,,,,"LINESTRING (-9.2364759 32.2958324, -9.2362893 32.2958038)",,,
1107455451,False,tertiary,False,18.071,Rue Al Medina Al Mounawara,,,"LINESTRING (-9.2364759 32.2958324, -9.2364831 32.29567)",,,
1107455452,False,tertiary,True,7.438,Rue Al Medina Al Mounawara,,,"LINESTRING (-9.2364759 32.2958324, -9.2364545 32.2958968)",,,
8445875,True,tertiary,False,63.834999999999994,شارع مولاي يوسف,2,60,"LINESTRING (-9.2352909 32.2986467, -9.2352211 32.2986791, -9.2351205 32.2987147, -9.2346387 32.2987923)",,,
390268867,True,tertiary,False,16.847,,1,,"LINESTRING (-9.2352909 32.2986467, -9.2352907 32.298655, -9.2353072 32.298697, -9.2353392 32.2987316, -9.2353956 32.2987591)",roundabout,,
120022402,False,residential,True,191.533,,,,"LINESTRING (-9.2414358 32.3015153, -9.241299 32.301487, -9.2411891 32.3014428, -9.2411032 32.3013895, -9.2408578 32.3012489, -9.240717 32.3011571, -9.2406355 32.3011252, -9.2405762 32.3011129, -9.240531 32.301108, -9.2404819 32.3011079, -9.2404321 32.3011198, -9.2403871 32.3011378, -9.2403388 32.3011628, -9.2402731 32.3012025, -9.2401604 32.3012852, -9.2400049 32.3013748, -9.2398171 32.3014598, -9.2396776 32.3015252)",,,
732299102,False,tertiary,False,50.190000000000005,,2,,"LINESTRING (-9.2414358 32.3015153, -9.2413929 32.3012501, -9.2413969 32.3011526, -9.2414002 32.3010665)",,,
732299102,False,tertiary,True,245.77100000000002,,2,,"LINESTRING (-9.2414358 32.3015153, -9.2416209 32.3026001, -9.2417885 32.3037053)",,,
28989332,False,tertiary,False,3.63,,2,,"LINESTRING (-9.2418691 32.3006227, -9.2419055 32.3006118)",,,
732299100,True,tertiary,False,32.944,,1,,"LINESTRING (-9.2418691 32.3006227, -9.2417449 32.3006288, -9.2416647 32.3006516, -9.2416106 32.3006845, -9.2415566 32.3007283)",,,
28989332,False,tertiary,True,7.199,,2,,"LINESTRING (-9.2431437 32.3006334, -9.2430733 32.3006079)",,,
390263826,True,tertiary,False,11.359,,2,,"LINESTRING (-9.2431437 32.3006334, -9.2432216 32.3007115)",,,
182823398,True,tertiary,False,8.579,,,,"LINESTRING (-9.2434223 32.3005842, -9.2433798 32.3005701, -9.2433342 32.3005688)",roundabout,,
182823400,True,tertiary,False,40.213,,2,,"LINESTRING (-9.2434223 32.3005842, -9.2434602 32.3004917, -9.2434736 32.3004413, -9.243479 32.3003511, -9.2434756 32.3002911, -9.2434542 32.3002321)",,,
119153462,False,residential,False,10.347,,,,"LINESTRING (-9.2377711 32.3036069, -9.237846 32.3035387)",,,
119153462,False,residential,True,12.639,,,,"LINESTRING (-9.2377711 32.3036069, -9.2376758 32.3036871)",,,
119153465,False,residential,True,32.327,,,,"LINESTRING (-9.2377711 32.3036069, -9.2380224 32.3038054)",,,
119153801,False,residential,True,30.554,,,,"LINESTRING (-9.2344961 32.3031124, -9.2347323 32.3033012)",,,
120675736,False,residential,False,83.60900000000001,,,,"LINESTRING (-9.2344961 32.3031124, -9.2345941 32.3031016, -9.2347037 32.3031043, -9.2348844 32.3031147, -9.2350983 32.3031264, -9.2353827 32.3031489)",,,
120675737,True,residential,False,23.884,,,,"LINESTRING (-9.2351182 32.3033063, -9.2349194 32.3034401)",,,
119153464,False,residential,True,48.561,,,,"LINESTRING (-9.2351182 32.3033063, -9.2351756 32.3034639, -9.2352517 32.303728)",,,
