osmid,highway,maxspeed,oneway,reversed,length,name,ref,geometry,lanes,junction,bridge
147056541,tertiary,60,False,False,39.658,,,"LINESTRING (-2.7345457 34.94539, -2.7349801 34.9453697)",,,
147056563,unclassified,,False,False,44.689,,,"LINESTRING (-2.7345457 34.94539, -2.734547 34.9457919)",,,
403882481,tertiary,60,False,True,54.704,Boulevard Sidi Othmane,,"LINESTRING (-2.7345457 34.94539, -2.7345362 34.9448981)",,,
1093587624,residential,,False,True,144.046,,,"LINESTRING (-2.7345457 34.94539, -2.7329806 34.9452103)",,,
99516603,tertiary,,True,False,15.289,,RP6204,"LINESTRING (-2.7389129 34.9392189, -2.7388177 34.9393321)",,,
99516603,tertiary,,True,False,26.878999999999998,,RP6204,"LINESTRING (-2.7390008 34.9389957, -2.7390075 34.939038, -2.7390028 34.9390749, -2.7389733 34.9391309, -2.7389129 34.9392189)",,,
315794926,trunk,60,False,True,18.652,,RN2;RP6204,"LINESTRING (-2.7390008 34.9389957, -2.7390557 34.9390252, -2.7391252 34.9390586, -2.7391386 34.9390655, -2.7391758 34.9390825)",4,,
403882488,trunk,60,False,False,16.052,,RN2,"LINESTRING (-2.7390008 34.9389957, -2.7389706 34.9389781, -2.7388553 34.9389144)",4,,
144260142,tertiary,60,False,False,61.822,,RP6204,"LINESTRING (-2.7345242 34.9406558, -2.7339542 34.9403545)",2,,
585754229,tertiary,60,False,True,31.138,,RP6204,"LINESTRING (-2.7345242 34.9406558, -2.7345798 34.9403795)",2,,
144276566,residential,,False,False,49.184,Rue Tarik Ibn Ziad,,"LINESTRING (-2.7345242 34.9406558, -2.7343727 34.9408561, -2.7342609 34.9410038, -2.7342398 34.9410317)",,,
403882481,tertiary,60,False,False,62.358000000000004,Boulevard Sidi Othmane,,"LINESTRING (-2.7345242 34.9406558, -2.7345228 34.9409614, -2.7345234 34.9412166)",,,
585754229,tertiary,60,False,False,5.387,,RP6204,"LINESTRING (-2.7388177 34.9393321, -2.7387587 34.9393349)",2,,
99516616,tertiary,,True,False,49.263999999999996,,RP6204,"LINESTRING (-2.7388177 34.9393321, -2.7389123 34.9393255, -2.7389921 34.9393074, -2.7391282 34.9392607, -2.7392013 34.9392354, -2.7393246 34.9391887)",,,
99516614,trunk_link,,True,False,34.814,,,"LINESTRING (-2.7388553 34.9389144, -2.7388968 34.9389908, -2.7389089 34.939032, -2.7389136 34.9390738, -2.7389129 34.9391304, -2.7389129 34.9392189)",,,
403882488,trunk,60,False,False,50.988,,RN2,"LINESTRING (-2.7388553 34.9389144, -2.7387627 34.9388709, -2.7383671 34.9386906)",4,,
403882488,trunk,60,False,True,16.052,,RN2,"LINESTRING (-2.7388553 34.9389144, -2.7389706 34.9389781, -2.7390008 34.9389957)",4,,
403882481,tertiary,60,False,False,42.766,Boulevard Sidi Othmane,,"LINESTRING (-2.7345234 34.9412166, -2.7345215 34.9416012)",,,
138421926,residential,,False,True,58.866,,,"LINESTRING (-2.7345234 34.9412166, -2.7348943 34.9412164, -2.7351692 34.9412175)",,,
403882481,tertiary,60,False,True,62.358000000000004,Boulevard Sidi Othmane,,"LINESTRING (-2.7345234 34.9412166, -2.7345228 34.9409614, -2.7345242 34.9406558)",,,
315794926,trunk,60,False,False,18.652,,RN2;RP6204,"LINESTRING (-2.7391758 34.9390825, -2.7391386 34.9390655, -2.7391252 34.9390586, -2.7390557 34.9390252, -2.7390008 34.9389957)",4,,
403882493,trunk,60,True,False,18.39,,RN2;RP6204,"LINESTRING (-2.7391758 34.9390825, -2.739218 34.9391348, -2.7393246 34.9391887)",2,,
144260142,tertiary,60,False,True,20.504,,RP6204,"LINESTRING (-2.7315509 34.9390716, -2.7317364 34.9391759)",2,,
144260142,tertiary,60,False,False,68.833,,RP6204,"LINESTRING (-2.7315509 34.9390716, -2.7311513 34.938988, -2.7308165 34.9389279)",2,,
144275885,residential,,False,False,58.331,,,"LINESTRING (-2.7315509 34.9390716, -2.7314061 34.9389341, -2.7313457 34.9388726, -2.7312975 34.9388099, -2.7312465 34.9387352, -2.7311902 34.9386417)",,,
138421929,residential,,False,False,6.194,,,"LINESTRING (-2.7359417 34.9415693, -2.7360088 34.9415605)",,,
147056532,residential,,False,True,47.256,,,"LINESTRING (-2.7359417 34.9415693, -2.7359518 34.9419942)",,,
138421929,residential,,False,True,70.584,,,"LINESTRING (-2.7359417 34.9415693, -2.7355555 34.9415847, -2.7351679 34.9415924)",,,
403882481,tertiary,60,False,True,42.766,Boulevard Sidi Othmane,,"LINESTRING (-2.7345215 34.9416012, -2.7345234 34.9412166)",,,
138421929,residential,,False,False,58.931,,,"LINESTRING (-2.7345215 34.9416012, -2.7347964 34.9416001, -2.7351679 34.9415924)",,,
403882481,tertiary,60,False,False,45.760999999999996,Boulevard Sidi Othmane,,"LINESTRING (-2.7345215 34.9416012, -2.7345295 34.9417386, -2.7345416 34.9420124)",,,
144280982,residential,,False,True,22.955,,,"LINESTRING (-2.7298746 34.9447629, -2.7299725 34.9445727)",,,
1093587624,residential,,False,False,34.813,,,"LINESTRING (-2.7298746 34.9447629, -2.7302506 34.9448179)",,,
1093587624,residential,,False,True,32.024,,,"LINESTRING (-2.7298746 34.9447629, -2.7295275 34.9447183)",,,
144280982,residential,,False,False,38.138,,,"LINESTRING (-2.7298746 34.9447629, -2.7298437 34.9448607, -2.7298155 34.9450014, -2.7297773 34.9450957)",,,
144280983,residential,,False,True,55.355,,,"LINESTRING (-2.7314504 34.9450124, -2.7316101 34.9445321)",,,
1093587624,residential,,False,False,133.274,,,"LINESTRING (-2.7314504 34.9450124, -2.7328947 34.9451993)",,,
1093587624,residential,,False,True,61.563,,,"LINESTRING (-2.7314504 34.9450124, -2.7307878 34.944905)",,,
144280983,residential,,False,False,49.682,,,"LINESTRING (-2.7314504 34.9450124, -2.7314651 34.9451224, -2.7315201 34.9454555)",,,
147056541,tertiary,60,False,False,31.916,,,"LINESTRING (-2.7353905 34.9453224, -2.7357271 34.9452433)",,,
147056541,tertiary,60,False,True,26.021,,,"LINESTRING (-2.7353905 34.9453224, -2.7351075 34.9453532)",,,
586133878,residential,,False,True,63.089,,,"LINESTRING (-2.7353905 34.9453224, -2.7353798 34.9458897)",,,
315794914,residential,,False,False,65.045,,,"LINESTRING (-2.7387587 34.9393349, -2.7387838 34.9399195)",,,
585754229,tertiary,60,False,False,101.526,,RP6204,"LINESTRING (-2.7387587 34.9393349, -2.7376451 34.939352)",2,,
585754229,tertiary,60,False,True,5.387,,RP6204,"LINESTRING (-2.7387587 34.9393349, -2.7388177 34.9393321)",2,,
144275885,residential,,False,False,30.581,,,"LINESTRING (-2.7311902 34.9386417, -2.7311499 34.9385428, -2.7311005 34.93842, -2.7310841 34.9383808)",,,
144275885,residential,,False,True,58.330999999999996,,,"LINESTRING (-2.7311902 34.9386417, -2.7312465 34.9387352, -2.7312975 34.9388099, -2.7313457 34.9388726, -2.7314061 34.9389341, -2.7315509 34.9390716)",,,
727551298,residential,,False,True,58.315,,,"LINESTRING (-2.7311902 34.9386417, -2.7312317 34.9386269, -2.7312975 34.9385895, -2.7313471 34.9385582, -2.7314074 34.9385087, -2.7315027 34.9384196, -2.731571 34.9383592, -2.7316582 34.9382899)",,,
144275885,residential,,False,False,7.001,,,"LINESTRING (-2.7309836 34.9381404, -2.7309515 34.9380832)",,,
144275885,residential,,False,True,28.259,,,"LINESTRING (-2.7309836 34.9381404, -2.7310346 34.9382657, -2.7310841 34.9383808)",,,
