osmid,highway,oneway,reversed,length,ref,geometry,name,lanes,maxspeed,junction
239806879,unclassified,False,True,9.179,,"LINESTRING (-9.7346926 29.6963113, -9.7346379 29.6962438)",,,,
91965388,primary,True,False,71.136,RR104,"LINESTRING (-9.7346926 29.6963113, -9.7351072 29.6961392, -9.7353492 29.6960222)",,,,
172507894,tertiary,False,True,22.016,,"LINESTRING (-9.7283541 29.6974947, -9.7282625 29.6973134)",Avenue Sidi Abderrahmane,,,
172507917,residential,False,True,23.321,,"LINESTRING (-9.7283541 29.6974947, -9.7281303 29.697416)",Camino Qasba,,,
172507894,tertiary,False,False,200.691,,"LINESTRING (-9.7283541 29.6974947, -9.7292644 29.6989318, -9.7292937 29.6990944)",Avenue Sidi Abderrahmane,,,
600576256,residential,False,False,43.734,,"LINESTRING (-9.7347694 29.7027457, -9.7352221 29.7027542)",,,,
600576256,residential,False,True,59.636,,"LINESTRING (-9.7347694 29.7027457, -9.7341521 29.7027342)",,,,
90590578,primary,True,False,62.723,RR104,"LINESTRING (-9.73018 29.6942918, -9.7306625 29.6946693)",Avenue Hassan II شارع الحسن الثاني,2,60,
90850545,residential,False,False,10.653,,"LINESTRING (-9.73018 29.6942918, -9.730247 29.6942157)",Boulevard Omar Ben Khattab,,,
407462353,primary,True,False,1.603,RR104,"LINESTRING (-9.7331075 29.6969262, -9.733102 29.6969398)",,2,,roundabout
90590578,primary,True,False,93.892,RR104,"LINESTRING (-9.7316108 29.6955192, -9.7322936 29.6961202)",Avenue Hassan II شارع الحسن الثاني,2,60,
730253856,residential,True,False,12.442,,"LINESTRING (-9.7316108 29.6955192, -9.7317065 29.6954443)",شارع 20 غشت,,,
90590578,primary,True,False,31.586,RR104,"LINESTRING (-9.7322936 29.6961202, -9.7325093 29.6963337)",Avenue Hassan II شارع الحسن الثاني,2,60,
90850539,residential,False,False,9.568,,"LINESTRING (-9.7322936 29.6961202, -9.732371 29.6960665)",,,,
90850518,residential,False,False,99.628,,"LINESTRING (-9.7359464 29.6967435, -9.7364232 29.697538)",,,,
