osmid,oneway,lanes,ref,highway,maxspeed,junction,reversed,length,geometry,name,bridge
43368657,True,1,RN2,trunk,40,roundabout,False,19.759,"LINESTRING (-3.8481455 35.1429576, -3.8481283 35.1429998, -3.8481265 35.1430442, -3.8481402 35.1430871, -3.8481682 35.1431252)",,
95236564,False,,,unclassified,,,False,71.358,"LINESTRING (-3.8481455 35.1429576, -3.8481076 35.1427846, -3.8480875 35.1426672, -3.8480486 35.1424983, -3.8480137 35.1424216, -3.8479614 35.1423382)",,
43368657,True,1,RN2,trunk,40,roundabout,False,18.434,"LINESTRING (-3.8481682 35.1431252, -3.8482053 35.1431534, -3.8482502 35.1431726, -3.8482998 35.1431813, -3.8483504 35.143179)",,
"[172463524, 586365213]",True,2,RN2,trunk,60,,False,671.0509999999999,"LINESTRING (-3.8481682 35.1431252, -3.8481321 35.1433388, -3.8481122 35.143648, -3.8481022 35.1440002, -3.8480949 35.1442864, -3.8480734 35.1446483, -3.8480479 35.1448857, -3.8480104 35.1450365, -3.8479601 35.1451654, -3.8479051 35.145292, -3.8477482 35.1455629, -3.8471662 35.1465295, -3.8468604 35.1470296, -3.8467115 35.1472303, -3.846549 35.147404, -3.8459745 35.1480182, -3.8454662 35.1485614)",,
242878943,False,,,residential,,,True,53.196,"LINESTRING (-3.8474169 35.1500934, -3.847284 35.1505593)",,
586415418,False,,,residential,,,False,48.042,"LINESTRING (-3.8474169 35.1500934, -3.8472875 35.1496745)",,
"[586415418, 95225983]",False,,,residential,,,True,81.362,"LINESTRING (-3.8474169 35.1500934, -3.8475383 35.1503352, -3.8475658 35.150356, -3.8476087 35.15037, -3.8476469 35.1503728, -3.8477261 35.1503714, -3.8480992 35.1503503)",,
95226193,False,,,residential,,,False,42.723,"LINESTRING (-3.8484684 35.1507733, -3.8480107 35.1506863)",,
95226176,False,,,residential,,,False,19.905,"LINESTRING (-3.8484684 35.1507733, -3.8484965 35.1507097, -3.8485368 35.1506033)",,
95236426,False,,,residential,,,False,27.045,"LINESTRING (-3.8488448 35.1490691, -3.8491376 35.149112)",,
