osmid,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry
298852192,unclassified,False,True,23.218,,,,"LINESTRING (-2.2194624 34.6032953, -2.2193991 34.6030931)"
298852229,tertiary,False,False,20.355,2,RP6013,60,"LINESTRING (-2.2194624 34.6032953, -2.2194171 34.6032569, -2.2193432 34.603245, -2.2192612 34.6032476)"
298852229,tertiary,False,True,87.616,2,RP6013,60,"LINESTRING (-2.2194624 34.6032953, -2.2194892 34.6033534, -2.2196881 34.6040605)"
298852229,tertiary,False,False,35.303,2,RP6013,60,"LINESTRING (-2.2192612 34.6032476, -2.2188838 34.6033132)"
298852229,tertiary,False,True,20.355,2,RP6013,60,"LINESTRING (-2.2192612 34.6032476, -2.2193432 34.603245, -2.2194171 34.6032569, -2.2194624 34.6032953)"
305981226,unclassified,False,True,22.092,,,,"LINESTRING (-2.2192612 34.6032476, -2.2193186 34.6032101, -2.2193669 34.6031682, -2.219391 34.6031306, -2.2193991 34.6030931)"
298852229,tertiary,False,False,132.777,2,RP6013,60,"LINESTRING (-2.2212144 34.6091541, -2.2208798 34.6079922)"
305979613,residential,False,True,131.294,,,,"LINESTRING (-2.2212144 34.6091541, -2.22261 34.6088806)"
298852142,residential,False,False,136.27,,,,"LINESTRING (-2.2229261 34.6075519, -2.2232868 34.6087409)"
305980103,residential,False,False,193.572,,,,"LINESTRING (-2.2229261 34.6075519, -2.2208798 34.6079922)"
298852229,tertiary,False,False,20.124,2,RP6013,60,"LINESTRING (-2.2208798 34.6079922, -2.2208206 34.6078179)"
298852229,tertiary,False,True,132.777,2,RP6013,60,"LINESTRING (-2.2208798 34.6079922, -2.2212144 34.6091541)"
305980103,residential,False,True,193.572,,,,"LINESTRING (-2.2208798 34.6079922, -2.2229261 34.6075519)"
298852159,residential,False,True,46.521,,,,"LINESTRING (-2.2204466 34.6067138, -2.2199383 34.606716)"
298852229,tertiary,False,False,120.935,2,RP6013,60,"LINESTRING (-2.2204466 34.6067138, -2.2201369 34.6056565)"
