osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,bridge,geometry,junction
"[315888864, 315888904, 59577479]",True,2,RP3011,tertiary,60,False,331.768,yes,"LINESTRING (-7.6501826 33.456822, -7.6501677 33.4570306, -7.6501543 33.4570854, -7.6501268 33.4571514, -7.6500799 33.457218, -7.6500463 33.4572577, -7.6499987 33.4572986, -7.6498327 33.4573753, -7.6491664 33.4577074, -7.6487736 33.4579224, -7.6482654 33.4582177, -7.6479274 33.4584426, -7.6475613 33.4586865)",
690078338,True,2,RP3009,tertiary,60,False,59.144,,"LINESTRING (-7.6501826 33.456822, -7.6501892 33.4568762, -7.6501999 33.4569713, -7.6502147 33.4570552, -7.6502388 33.4571358, -7.6502757 33.4572018, -7.6502995 33.4572485, -7.6503347 33.457307, -7.6503489 33.457329)",
178215603,False,,,residential,,True,87.05,,"LINESTRING (-7.6479812 33.4536077, -7.6476015 33.4528918)",
178215607,False,,,residential,,True,37.63,,"LINESTRING (-7.6479812 33.4536077, -7.648323 33.4534255)",
178215603,False,,,residential,,False,92.55099999999999,,"LINESTRING (-7.6479812 33.4536077, -7.648067 33.4537241, -7.6481259 33.4537847, -7.648205 33.4538518, -7.6483123 33.4539189, -7.6484263 33.4539726, -7.648555 33.4540286, -7.6487455 33.4541159)",
178215607,False,,,residential,,False,17.259999999999998,,"LINESTRING (-7.6479812 33.4536077, -7.6478536 33.4536705, -7.6478203 33.4536856)",
108731888,False,2,,residential,,False,38.962,,"LINESTRING (-7.6487455 33.4541159, -7.648783 33.4539861, -7.6488031 33.4538719, -7.6488179 33.4537712)",
108731888,False,2,,residential,,True,36.468999999999994,,"LINESTRING (-7.6487455 33.4541159, -7.6487187 33.4541852, -7.6486878 33.4542557, -7.6486176 33.454426)",
178215603,False,,,residential,,True,92.55100000000002,,"LINESTRING (-7.6487455 33.4541159, -7.648555 33.4540286, -7.6484263 33.4539726, -7.6483123 33.4539189, -7.648205 33.4538518, -7.6481259 33.4537847, -7.648067 33.4537241, -7.6479812 33.4536077)",
178215602,False,,,unclassified,,True,42.262,,"LINESTRING (-7.6491304 33.4522698, -7.6489614 33.4523569, -7.6487415 33.4524677)",
