osmid,lanes,highway,oneway,reversed,length,geometry,ref,name,maxspeed,junction,width
104176914,2,residential,False,True,47.422,"LINESTRING (-8.4957583 33.2436918, -8.4958434 33.2437709, -8.4959494 33.2438769, -8.4960888 33.2440165)",,,,,
172950138,2,primary,False,False,197.38400000000001,"LINESTRING (-8.4957583 33.2436918, -8.4961934 33.2434064, -8.4974206 33.2425881)",RN1,Avenue Annakhil,60,,
172950138,2,primary,False,True,55.876,"LINESTRING (-8.4957583 33.2436918, -8.4954786 33.2438831, -8.4952924 33.2440091)",RN1,Avenue Annakhil,60,,
104177710,2,residential,False,False,44.726,"LINESTRING (-8.4974206 33.2425881, -8.4976988 33.2429162)",,Rue Al Amal,,,
172950138,2,primary,False,False,40.943,"LINESTRING (-8.4974206 33.2425881, -8.4977612 33.2423548)",RN1,Avenue Annakhil,60,,
172950138,2,primary,False,True,197.38400000000001,"LINESTRING (-8.4974206 33.2425881, -8.4961934 33.2434064, -8.4957583 33.2436918)",RN1,Avenue Annakhil,60,,
83124448,2,tertiary,False,True,10.774,"LINESTRING (-8.496463 33.2418619, -8.4965327 33.2417845)",,,,,
83124448,2,tertiary,False,False,170.308,"LINESTRING (-8.496463 33.2418619, -8.496155 33.2421235, -8.4961205 33.2421515, -8.4959239 33.2423111, -8.4957435 33.2424552, -8.4951581 33.2429364)",,,,,
546621485,1,secondary,True,False,134.709,"LINESTRING (-8.496463 33.2418619, -8.4967138 33.2418877, -8.4969954 33.2419224, -8.4975091 33.2419751, -8.4976552 33.2419864, -8.4977639 33.2420054, -8.4978028 33.2420175, -8.49784 33.242036, -8.4978806 33.2420619)",,Avenue Massira Al Khadra,60,,
83124448,2,tertiary,False,False,10.774,"LINESTRING (-8.4965327 33.2417845, -8.496463 33.2418619)",,,,,
45973947,1,secondary,True,False,84.091,"LINESTRING (-8.4965327 33.2417845, -8.4964214 33.2417446, -8.4962632 33.2416813, -8.4961391 33.2416269, -8.4958709 33.2414968, -8.4957401 33.2414233)",,Avenue Massira Al Khadra,60,,
585781465,2,primary,True,False,23.861,"LINESTRING (-8.4970437 33.2397307, -8.4971443 33.2399281)",RN1,Avenue Bir Anzaren,60,,
726162703,,residential,True,False,7.518,"LINESTRING (-8.4971443 33.2399281, -8.4972181 33.2399005)",,,,,
585781465,2,primary,True,False,54.759,"LINESTRING (-8.4971443 33.2399281, -8.4972596 33.2401771, -8.4973548 33.240388)",RN1,Avenue Bir Anzaren,60,,
172950138,2,primary,False,True,40.943,"LINESTRING (-8.4977612 33.2423548, -8.4974206 33.2425881)",RN1,Avenue Annakhil,60,,
409324709,2,primary,True,False,25.289,"LINESTRING (-8.4977612 33.2423548, -8.4978403 33.2423201, -8.4979147 33.2422864, -8.4980057 33.242256)",RN1,Avenue Annakhil,40,,
545137494,2,trunk,True,False,10.136999999999999,"LINESTRING (-8.494721 33.2445776, -8.4947284 33.2445731, -8.4947374 33.2445644, -8.494744 33.2445519, -8.4947482 33.2445407, -8.494749 33.2445301, -8.4947471 33.2445197, -8.4947432 33.2445064, -8.4947385 33.2444953)",RN1,,,roundabout,
"[1097316227, 546622349]",2,residential,False,"[False, True]",99.807,"LINESTRING (-8.494721 33.2445776, -8.4948161 33.2446452, -8.4948872 33.2447063, -8.4949663 33.2447792, -8.4950139 33.2448297, -8.4954136 33.2452604)",,Avenue Mohammed VI شارع محمد السادس,,,
90180025,2,trunk,True,False,41.980000000000004,"LINESTRING (-8.4940108 33.2441674, -8.4937811 33.2440874, -8.4935878 33.2440367)",RN1,,80,,
90180037,1,tertiary,True,False,37.778,"LINESTRING (-8.4940108 33.2441674, -8.4939913 33.2441172, -8.4939796 33.2440934, -8.4939722 33.2440715, -8.4939669 33.2440418, -8.4939662 33.2440129, -8.4939712 33.2439851, -8.4939836 33.2439557, -8.4939987 33.2439279, -8.4940185 33.2438996, -8.494048 33.2438483)",,,,,
83124448,2,tertiary,False,True,100.702,"LINESTRING (-8.494048 33.2438483, -8.4944198 33.2435415, -8.4948224 33.2432153)",,,,,
597470587,1,tertiary,True,False,48.565000000000005,"LINESTRING (-8.494048 33.2438483, -8.4939571 33.2439058, -8.4939038 33.2439411, -8.4938375 33.2439767, -8.4937912 33.2439955, -8.4937375 33.2440115, -8.4936893 33.2440233, -8.4936557 33.2440286, -8.4935878 33.2440367)",,,,,
104177754,,residential,False,False,46.699,"LINESTRING (-8.5019951 33.2458234, -8.5015672 33.2456036)",,Rue de Melillia,,,
104177754,,residential,False,True,20.428,"LINESTRING (-8.5019951 33.2458234, -8.5021961 33.2458975)",,Rue de Melillia,,,
104177643,,residential,False,True,132.142,"LINESTRING (-8.5019951 33.2458234, -8.5019154 33.2459428, -8.5018878 33.2460164, -8.5019083 33.2460728, -8.5019571 33.2461181, -8.5020545 33.2461838, -8.5020589 33.2461865, -8.5021962 33.2462715, -8.502266 33.2463147, -8.5023236 33.246361, -8.5023558 33.2464003, -8.5023679 33.2464437, -8.5023693 33.2465278, -8.5023708 33.2466712, -8.5023755 33.2468145)",,Rue Bossuet,,,
104177710,2,residential,False,True,44.726,"LINESTRING (-8.4976988 33.2429162, -8.4974206 33.2425881)",,Rue Al Amal,,,
104177322,2,residential,False,True,76.684,"LINESTRING (-8.4976988 33.2429162, -8.4978095 33.2428837, -8.4979959 33.2428304, -8.4982473 33.2427631, -8.4984827 33.2427025)",,,,,
104177710,2,residential,False,False,47.418000000000006,"LINESTRING (-8.4976988 33.2429162, -8.4977129 33.242965, -8.4977203 33.243002, -8.4977303 33.2430497, -8.4977612 33.2431461, -8.4978336 33.2433267)",,Rue Al Amal,,,
104176708,2,residential,False,False,31.42,"LINESTRING (-8.4972328 33.2462743, -8.4972784 33.2461868, -8.4973662 33.2460147)",,Rue El Mouhidi,,,
104176708,2,residential,False,True,69.459,"LINESTRING (-8.4972328 33.2462743, -8.4970477 33.2466153, -8.4969914 33.2467117, -8.4969538 33.2467701, -8.496915 33.2468138, -8.4968935 33.2468267)",,Rue El Mouhidi,,,
104177711,2,residential,False,True,71.99600000000001,"LINESTRING (-8.4972328 33.2462743, -8.4975687 33.2465272, -8.4977049 33.2466338, -8.4978095 33.2467061)",,Rue Al Adarissa زنقة الأدارسة,,,
104176708,2,residential,False,False,69.459,"LINESTRING (-8.4968935 33.2468267, -8.496915 33.2468138, -8.4969538 33.2467701, -8.4969914 33.2467117, -8.4970477 33.2466153, -8.4972328 33.2462743)",,Rue El Mouhidi,,,
1097316227,2,residential,False,False,114.98400000000001,"LINESTRING (-8.4968935 33.2468267, -8.4966747 33.2466012, -8.4965736 33.246497, -8.4961324 33.2460119)",,Avenue Mohammed VI شارع محمد السادس,,,
1097316227,2,residential,False,True,42.147,"LINESTRING (-8.4968935 33.2468267, -8.4969451 33.2468867, -8.4971467 33.2471014, -8.4971704 33.2471267)",,Avenue Mohammed VI شارع محمد السادس,,,
