osmid,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry,name,junction,bridge
167932604,residential,False,False,33.785,,,,"LINESTRING (-3.0078235 35.1533025, -3.0074898 35.1534362)",,,
"[586433723, 311226037]",secondary,False,False,186.67800000000003,2,RR610,60,"LINESTRING (-3.0078235 35.1533025, -3.0078714 35.1533468, -3.007913 35.153389, -3.0079508 35.1534332, -3.0080211 35.1535225, -3.0082255 35.1538156, -3.0082905 35.1539033, -3.0083173 35.1539362, -3.0083462 35.1539587, -3.0083757 35.1539773, -3.0084307 35.1540047, -3.0085004 35.1540266, -3.0085453 35.1540371, -3.0086063 35.1540431, -3.008666 35.1540431, -3.008725 35.1540371, -3.0088169 35.1540047, -3.0088926 35.153958, -3.008976 35.1538798, -3.0092068 35.1536464)",,,
311226041,secondary,False,True,34.791,2,RR610,40,"LINESTRING (-3.0078235 35.1533025, -3.007675 35.1532043, -3.0075263 35.1531054)",,,
167935731,tertiary,False,False,58.521,2,,,"LINESTRING (-2.9994674 35.1544641, -2.9995324 35.1549877)",,,
167935731,tertiary,False,True,54.44,2,,,"LINESTRING (-2.9994674 35.1544641, -2.999357 35.1539829)",,,
585778742,residential,False,True,185.234,,,,"LINESTRING (-2.9994674 35.1544641, -3.000378 35.1541045, -3.0008501 35.1539115, -3.001298 35.1537328)",Boulevard Acharif Mohamed,,
167935731,tertiary,False,True,58.521,2,,,"LINESTRING (-2.9995324 35.1549877, -2.9994674 35.1544641)",,,
586433724,secondary,False,False,54.902,4,RR610,60,"LINESTRING (-2.9995324 35.1549877, -2.999741 35.154963, -3.0001286 35.1549093)",Boulevard Mohammed V شارع محمد الخامس,,
586433724,secondary,False,True,36.108000000000004,4,RR610,60,"LINESTRING (-2.9995324 35.1549877, -2.9993246 35.1550151, -2.9991388 35.1550299)",Boulevard Mohammed V شارع محمد الخامس,,
167932588,residential,False,False,41.017,,,,"LINESTRING (-3.0065803 35.158587, -3.0070299 35.1585561)",,,
585778736,residential,False,False,26.136,,,,"LINESTRING (-3.0065803 35.158587, -3.006559 35.1588214)",,,
167932588,residential,False,True,90.48700000000001,,,,"LINESTRING (-3.0065803 35.158587, -3.0064157 35.158589, -3.0062453 35.1585956, -3.0061474 35.1586055, -3.0060308 35.1586208, -3.0058993 35.1586471, -3.0057666 35.1586724, -3.005604 35.1587177)",,,
602238865,secondary,False,False,20.761,4,RR610,60,"LINESTRING (-3.0021524 35.1545715, -3.0023542 35.1544841)",Boulevard Mohammed V شارع محمد الخامس,,
586433712,residential,True,False,97.69700000000002,,,40,"LINESTRING (-3.0021524 35.1545715, -3.0024735 35.1550305, -3.0025209 35.1550783, -3.0025903 35.1551333, -3.0027615 35.1552391, -3.0027985 35.1552542)",Arrakhaa,,
586433724,secondary,False,True,43.821,4,RR610,60,"LINESTRING (-3.0021524 35.1545715, -3.0019257 35.1546407, -3.0018088 35.1546745, -3.0016963 35.1546977)",Boulevard Mohammed V شارع محمد الخامس,,
167932592,living_street,False,False,70.015,,,,"LINESTRING (-3.0045155 35.1540158, -3.0052048 35.153735)",,,
167932592,living_street,False,True,46.91,,,,"LINESTRING (-3.0045155 35.1540158, -3.0040537 35.154204)",,,
311224824,residential,False,False,39.214,,,,"LINESTRING (-3.0045155 35.1540158, -3.0043275 35.1536984)",,,
311224824,residential,False,True,30.157,,,,"LINESTRING (-3.0045155 35.1540158, -3.0046603 35.1542598)",,,
167932600,residential,False,False,3.4,,,,"LINESTRING (-3.0070654 35.1592019, -3.0070748 35.1591723)",,,
585778735,residential,False,True,53.513000000000005,,,,"LINESTRING (-3.0070654 35.1592019, -3.0070513 35.1592206, -3.0070366 35.1592293, -3.0070055 35.1592395, -3.0067859 35.1592854, -3.0066454 35.1593148, -3.0065938 35.1593256, -3.0065616 35.1593324, -3.0065113 35.1593429)",,,
726936622,residential,False,True,34.961,,,,"LINESTRING (-3.0070654 35.1592019, -3.007113 35.1591959, -3.0071754 35.1591849, -3.0072445 35.1591784, -3.0073048 35.1591811, -3.0073544 35.1591888, -3.0074 35.1592003, -3.0074403 35.1592156)",,,
167932599,residential,False,False,34.978,,,,"LINESTRING (-3.0054944 35.1566799, -3.0058762 35.156641)",,,
586433710,residential,False,True,23.599,,,,"LINESTRING (-3.0054944 35.1566799, -3.0054507 35.1564707)",,,
586433710,residential,False,False,140.188,,,,"LINESTRING (-3.0054944 35.1566799, -3.0054742 35.1573391, -3.0054668 35.1579404)",,,
167932587,residential,True,False,31.374,,,,"LINESTRING (-3.0065002 35.1538265, -3.0063457 35.1535742)",,,
167932604,residential,False,False,72.015,,,,"LINESTRING (-3.0065002 35.1538265, -3.0057877 35.1541095)",,,
167932604,residential,False,True,99.89,,,,"LINESTRING (-3.0065002 35.1538265, -3.0069687 35.1536404, -3.0072734 35.1535219, -3.0074898 35.1534362)",,,
167932603,residential,False,True,12.619,,,,"LINESTRING (-3.0045408 35.1561385, -3.0045187 35.1561533, -3.0044885 35.1561615, -3.0044577 35.1561686, -3.0044121 35.1561757)",,,
167932611,residential,False,False,13.643,,,,"LINESTRING (-3.0045408 35.1561385, -3.0045415 35.1561165, -3.0045401 35.156102, -3.0045324 35.1560803, -3.0045247 35.1560642, -3.0045072 35.1560202)",,,
"[167932611, 585778733]",residential,False,True,208.347,,,,"LINESTRING (-3.0045408 35.1561385, -3.0045656 35.1561555, -3.0045924 35.1561768, -3.0046186 35.1562097, -3.0046387 35.1562591, -3.0046628 35.1563621, -3.004695 35.156542, -3.0047031 35.1566626, -3.0047125 35.1567492, -3.0047192 35.1568698, -3.0047178 35.1570354, -3.0047098 35.1571417, -3.0047017 35.157213, -3.0046964 35.1573687, -3.0047058 35.1575057, -3.0047312 35.1576921, -3.0047983 35.1579728)",,,
"[311225228, 311225229]",secondary,False,False,64.208,"['2', '4']",RR610,60,"LINESTRING (-3.0060121 35.1530277, -3.0062923 35.1529181, -3.0065011 35.152833, -3.0066485 35.1527774)",Boulevard Mohammed V شارع محمد الخامس,,
311225229,secondary,False,True,86.878,4,RR610,60,"LINESTRING (-3.0060121 35.1530277, -3.005717 35.1531516, -3.0051573 35.1533769)",Boulevard Mohammed V شارع محمد الخامس,,
"[600445088, 588924362]","['residential', 'living_street']",False,"[False, True]",85.14399999999999,,,,"LINESTRING (-3.0060121 35.1530277, -3.0058316 35.1527397, -3.0055993 35.1523976, -3.0056241 35.152351)",Boulevard Tahir,,
1244017057,residential,False,False,28.341,,,,"LINESTRING (-3.001298 35.1537328, -3.0015687 35.1536064)",,,
585778732,residential,False,True,113.542,,,,"LINESTRING (-3.001298 35.1537328, -3.0014442 35.153997, -3.0015381 35.1542098, -3.0016346 35.1545299, -3.0016963 35.1546977)",,,
585778742,residential,False,False,185.23399999999998,,,,"LINESTRING (-3.001298 35.1537328, -3.0008501 35.1539115, -3.000378 35.1541045, -2.9994674 35.1544641)",Boulevard Acharif Mohamed,,
167932588,residential,False,False,47.053,,,,"LINESTRING (-3.0070299 35.1585561, -3.0075447 35.1585999)",,,
167932588,residential,False,True,41.017,,,,"LINESTRING (-3.0070299 35.1585561, -3.0065803 35.158587)",,,
167932600,residential,False,False,55.165,,,,"LINESTRING (-3.0070299 35.1585561, -3.0069999 35.1580606)",,,
167932600,residential,False,True,22.959,,,,"LINESTRING (-3.0070299 35.1585561, -3.007047 35.1587621)",,,
586433687,residential,False,False,7.089,,,,"LINESTRING (-2.9995539 35.1588741, -2.9995693 35.1589366)",,,
585778744,residential,False,False,213.70900000000003,,,,"LINESTRING (-2.9995539 35.1588741, -3.0002131 35.1586033, -3.0003606 35.1585331, -3.0004531 35.1584904, -3.0005296 35.1584476, -3.0007321 35.1583533, -3.0008554 35.1583061, -3.000956 35.1582776, -3.0010459 35.1582634, -3.0012658 35.1582579, -3.0017218 35.1582458)",,,
167932587,residential,True,False,37.657,,,,"LINESTRING (-3.0061966 35.1533309, -3.0060121 35.1530277)",,,
167932592,living_street,False,False,48.68,,,,"LINESTRING (-3.0061966 35.1533309, -3.006676 35.1531359)",,,
167932592,living_street,False,True,70.872,,,,"LINESTRING (-3.0061966 35.1533309, -3.0054989 35.1536152)",,,
311224825,residential,False,True,28.544,,,,"LINESTRING (-2.9996029 35.1528611, -2.9996605 35.1529751, -2.9997329 35.1530946)",,,
167935731,tertiary,False,False,28.265,2,,,"LINESTRING (-2.9991927 35.1533268, -2.9992426 35.1535777)",,,
588936727,residential,False,False,55.488,,,,"LINESTRING (-2.9991927 35.1533268, -2.9995506 35.1531757, -2.9997329 35.1530946)",,,
311224825,residential,False,True,28.578,,,,"LINESTRING (-2.9997329 35.1530946, -2.9998717 35.1533252)",,,
311224825,residential,False,False,28.544,,,,"LINESTRING (-2.9997329 35.1530946, -2.9996605 35.1529751, -2.9996029 35.1528611)",,,
588936727,residential,False,False,139.531,,,,"LINESTRING (-2.9997329 35.1530946, -3.0002305 35.1528863, -3.0005966 35.1527284, -3.0008447 35.1526352, -3.001113 35.1525479)",,,
588936727,residential,False,True,55.488,,,,"LINESTRING (-2.9997329 35.1530946, -2.9995506 35.1531757, -2.9991927 35.1533268)",,,
585778750,residential,False,False,38.406,,,,"LINESTRING (-2.9991388 35.1550299, -2.9992191 35.155369)",,,
586433724,secondary,False,False,36.108000000000004,4,RR610,60,"LINESTRING (-2.9991388 35.1550299, -2.9993246 35.1550151, -2.9995324 35.1549877)",Boulevard Mohammed V شارع محمد الخامس,,
585778735,residential,False,False,53.513,,,,"LINESTRING (-3.0065113 35.1593429, -3.0065616 35.1593324, -3.0065938 35.1593256, -3.0066454 35.1593148, -3.0067859 35.1592854, -3.0070055 35.1592395, -3.0070366 35.1592293, -3.0070513 35.1592206, -3.0070654 35.1592019)",,,
585778736,residential,False,True,58.149,,,,"LINESTRING (-3.0065113 35.1593429, -3.0065138 35.1593191, -3.0065152 35.1593033, -3.0065169 35.1592842, -3.0065268 35.1591761, -3.0065488 35.1589332, -3.006556 35.1588542, -3.006559 35.1588214)",,,
311225225,residential,False,True,60.88,,,,"LINESTRING (-3.0054668 35.1579404, -3.0047983 35.1579728)",,,
311225225,residential,False,False,139.732,,,,"LINESTRING (-3.0054668 35.1579404, -3.0061582 35.1578807, -3.0069957 35.1578112)",,,
"[585778738, 586433710]",residential,False,False,90.395,,,,"LINESTRING (-3.0054668 35.1579404, -3.0054349 35.158043, -3.0054214 35.1581589, -3.0054174 35.1582258, -3.0054228 35.1583221, -3.0054352 35.1583957, -3.0054622 35.1584971, -3.005604 35.1587177)",,,
586433710,residential,False,True,140.188,,,,"LINESTRING (-3.0054668 35.1579404, -3.0054742 35.1573391, -3.0054944 35.1566799)",,,
167935731,tertiary,False,False,54.44,2,,,"LINESTRING (-2.999357 35.1539829, -2.9994674 35.1544641)",,,
167935731,tertiary,False,True,6.056,2,,,"LINESTRING (-2.999357 35.1539829, -2.9993433 35.1539296)",,,
311224836,residential,False,False,75.46,,,,"LINESTRING (-2.999357 35.1539829, -3.0001006 35.1536814)",,,
311224825,residential,False,False,44.742,,,,"LINESTRING (-3.0001006 35.1536814, -2.9998717 35.1533252)",,,
311224836,residential,False,True,75.46,,,,"LINESTRING (-3.0001006 35.1536814, -2.999357 35.1539829)",,,
585779173,residential,False,False,83.39,,,,"LINESTRING (-3.0001006 35.1536814, -3.0009205 35.1533452)",,,
167932607,residential,False,True,54.41,,,,"LINESTRING (-3.0042769 35.155387, -3.0047619 35.1556737)",,,
311224822,residential,True,False,30.229,,,,"LINESTRING (-3.0042769 35.155387, -3.0041396 35.1551394)",,,
586433711,residential,False,True,15.184,,,,"LINESTRING (-3.0042769 35.155387, -3.0043142 35.1555201)",,,
311224824,residential,False,True,39.214,,,,"LINESTRING (-3.0043275 35.1536984, -3.0045155 35.1540158)",,,
311225229,secondary,False,False,83.48599999999999,4,RR610,60,"LINESTRING (-3.0043275 35.1536984, -3.0045059 35.1536277, -3.0047138 35.1535453, -3.0051573 35.1533769)",Boulevard Mohammed V شارع محمد الخامس,,
311225229,secondary,False,True,84.06299999999999,4,RR610,60,"LINESTRING (-3.0043275 35.1536984, -3.0035874 35.1539931, -3.0034962 35.1540294)",Boulevard Mohammed V شارع محمد الخامس,,
585778730,residential,True,False,77.891,,,,"LINESTRING (-3.0033728 35.1520908, -3.0037466 35.1527211)",,,
311224841,residential,False,False,53.134,,,,"LINESTRING (-3.0033728 35.1520908, -3.0035618 35.1519279, -3.0036721 35.151821, -3.0037663 35.1517377)",,,
311224841,residential,False,True,74.151,,,,"LINESTRING (-3.0033728 35.1520908, -3.0030502 35.1522004, -3.002959 35.1522322, -3.0028728 35.1522643, -3.0027846 35.152309, -3.0026421 35.1523827)",,,
586433705,residential,False,False,46.175,,,,"LINESTRING (-3.0017984 35.1570586, -3.0018438 35.156645)",,,
586433705,residential,False,True,38.818,,,,"LINESTRING (-3.0017984 35.1570586, -3.0017755 35.1574072)",,,
"[586433704, 586433702, 586433703]",residential,False,False,150.27500000000003,,,,"LINESTRING (-3.0017984 35.1570586, -3.0014563 35.1570891, -3.0012739 35.1571077, -3.0011076 35.1571209, -3.0009373 35.1571253, -3.0008179 35.1571253, -3.0007643 35.1571214, -3.0007461 35.1571149, -3.0007247 35.1570957, -3.0007119 35.1570798, -3.0006697 35.1570326, -3.0006469 35.1570069, -3.0006261 35.1569893, -3.0006107 35.1569816, -3.0005798 35.1569778, -3.000547 35.1569827, -3.0004907 35.1569986, -3.0003619 35.1570321, -3.0002479 35.1570672)",,,
167932607,residential,False,False,54.41,,,,"LINESTRING (-3.0047619 35.1556737, -3.0042769 35.155387)",,,
311224819,residential,False,True,35.713,,,,"LINESTRING (-3.0047619 35.1556737, -3.0051498 35.1557244)",,,
585778734,residential,False,False,87.387,,,,"LINESTRING (-3.0047619 35.1556737, -3.0049431 35.1549019)",,,
"[167932596, 586433710]",residential,False,False,110.98800000000001,,,,"LINESTRING (-3.0047619 35.1556737, -3.0049297 35.1558413, -3.0051148 35.1560222, -3.00521 35.1561012, -3.0052891 35.156167, -3.0053508 35.1562196, -3.0053884 35.1562569, -3.0054125 35.1563051, -3.0054447 35.1564038, -3.0054507 35.1564707)",,,
167932602,residential,False,False,70.37,,,,"LINESTRING (-3.0046603 35.1542598, -3.0053533 35.1539779)",,,
167932602,residential,False,True,47.228,,,,"LINESTRING (-3.0046603 35.1542598, -3.0041952 35.154449)",,,
311224824,residential,False,False,30.157,,,,"LINESTRING (-3.0046603 35.1542598, -3.0045155 35.1540158)",,,
311224824,residential,False,True,29.763,,,,"LINESTRING (-3.0046603 35.1542598, -3.0048035 35.1545005)",,,
167932603,residential,False,True,40.437,,,,"LINESTRING (-3.0034933 35.1563398, -3.0030669 35.1564433)",,,
167932603,residential,False,False,85.724,,,,"LINESTRING (-3.0034933 35.1563398, -3.0037335 35.156281, -3.0039641 35.1562273, -3.0044121 35.1561757)",,,
728043754,residential,False,False,93.67600000000002,,,,"LINESTRING (-3.0034933 35.1563398, -3.0034357 35.1559904, -3.003425 35.1559263, -3.0034255 35.1559111, -3.0034351 35.1559009, -3.003452 35.1558908, -3.0034775 35.1558776, -3.00351 35.1558664, -3.003883 35.1557498)",,,
311225225,residential,False,False,60.88,,,,"LINESTRING (-3.0047983 35.1579728, -3.0054668 35.1579404)",,,
"[167932611, 585778733]",residential,False,False,208.347,,,,"LINESTRING (-3.0047983 35.1579728, -3.0047312 35.1576921, -3.0047058 35.1575057, -3.0046964 35.1573687, -3.0047017 35.157213, -3.0047098 35.1571417, -3.0047178 35.1570354, -3.0047192 35.1568698, -3.0047125 35.1567492, -3.0047031 35.1566626, -3.004695 35.156542, -3.0046628 35.1563621, -3.0046387 35.1562591, -3.0046186 35.1562097, -3.0045924 35.1561768, -3.0045656 35.1561555, -3.0045408 35.1561385)",,,
"[585778739, 585778733]",residential,False,True,158.83599999999996,,,,"LINESTRING (-3.0047983 35.1579728, -3.004809 35.1581033, -3.0048224 35.1582206, -3.0048224 35.1583303, -3.0048117 35.1584553, -3.0048037 35.1585846, -3.0047795 35.1588368, -3.00475 35.1591351, -3.0047473 35.1593258, -3.0047464 35.1593982)",,,
585778743,residential,False,True,281.89,,,,"LINESTRING (-3.0047983 35.1579728, -3.0035377 35.158043, -3.0031125 35.1580638, -3.0028483 35.1581088, -3.0026539 35.1581526, -3.0023173 35.1582009, -3.0017218 35.1582458)",,,
586433705,residential,False,True,46.175,,,,"LINESTRING (-3.0018438 35.156645, -3.0017984 35.1570586)",,,
167932586,residential,False,False,35.967,,,,"LINESTRING (-3.0018438 35.156645, -3.0018438 35.1565102, -3.0018693 35.1563227)",,,
586433686,residential,False,False,64.406,,,,"LINESTRING (-3.0018438 35.156645, -3.0019994 35.1566363, -3.002108 35.1566264, -3.0022354 35.156611, -3.0025426 35.1565562)",,,
585779175,residential,False,False,34.251,,,,"LINESTRING (-3.0018156 35.1535068, -3.0015314 35.1533046)",,,
1244017057,residential,False,True,25.03,,,,"LINESTRING (-3.0018156 35.1535068, -3.0015687 35.1536064)",,,
167932589,residential,False,False,60.147,,,,"LINESTRING (-3.0018156 35.1535068, -3.0023827 35.1532848, -3.0024123 35.1532732)",,,
585778750,residential,False,True,52.052,,,,"LINESTRING (-2.9994278 35.1564937, -2.9994513 35.1564389, -2.9994728 35.1563523, -2.9994728 35.1562481, -2.9994419 35.1560321)",,,
586433698,residential,False,False,31.988000000000003,,,,"LINESTRING (-2.9994278 35.1564937, -2.9994868 35.1566955, -2.9994982 35.1567404, -2.999517 35.1567711)",,,
311225229,secondary,False,False,84.06299999999999,4,RR610,60,"LINESTRING (-3.0034962 35.1540294, -3.0035874 35.1539931, -3.0043275 35.1536984)",Boulevard Mohammed V شارع محمد الخامس,,
"[602238864, 602238865]",secondary,False,True,115.49199999999999,4,RR610,60,"LINESTRING (-3.0034962 35.1540294, -3.0034311 35.1540553, -3.0029322 35.154254, -3.0028394 35.1542909, -3.0024675 35.1544345, -3.0023542 35.1544841)",Boulevard Mohammed V شارع محمد الخامس,,
167932600,residential,False,True,27.735,,,,"LINESTRING (-3.0069957 35.1578112, -3.0069999 35.1580606)",,,
