osmid,lanes,highway,oneway,reversed,length,geometry,junction,maxspeed,name
421306077,2,tertiary,False,False,16.702,"LINESTRING (-9.5504522 30.3521859, -9.550626 30.3521941)",,,
421306077,2,tertiary,False,True,109.979,"LINESTRING (-9.5504522 30.3521859, -9.5493075 30.352136)",,,
94123997,2,residential,False,True,86.786,"LINESTRING (-9.5504522 30.3521859, -9.5503255 30.3524506, -9.5500932 30.3529022)",,,
92003286,1,residential,True,False,17.971,"LINESTRING (-9.545984 30.3561422, -9.5459259 30.3561225, -9.5458634 30.3561227, -9.5458055 30.3561427)",roundabout,,
94124053,1,residential,True,False,31.16,"LINESTRING (-9.545984 30.3561422, -9.5459545 30.3560766, -9.545931 30.3560097, -9.5459139 30.3559413, -9.5459034 30.3558719)",,,
421306077,2,tertiary,False,True,13.493,"LINESTRING (-9.5444609 30.3526515, -9.5443214 30.3526362)",,,
94124080,2,residential,False,False,131.444,"LINESTRING (-9.5444609 30.3526515, -9.5443149 30.3535403, -9.5442899 30.3538239)",,,
421306077,2,tertiary,False,False,22.891,"LINESTRING (-9.5444609 30.3526515, -9.5445806 30.3526495, -9.5446991 30.3526418)",,,
92003286,1,residential,True,False,17.099,"LINESTRING (-9.546059 30.3562894, -9.5460583 30.3562356, -9.5460465 30.356204, -9.5460265 30.3561755, -9.5459995 30.3561515)",roundabout,,
404985894,1,residential,True,False,28.461000000000002,"LINESTRING (-9.546059 30.3562894, -9.5461124 30.3562449, -9.5461676 30.3562021, -9.5462245 30.356161, -9.5462834 30.3561224)",,,
92003284,2,residential,False,True,49.387,"LINESTRING (-9.542768 30.3560804, -9.5428066 30.3556375)",,,
92003288,2,residential,False,True,30.781,"LINESTRING (-9.542768 30.3560804, -9.542448 30.3560609)",,40,
92003288,2,residential,False,False,154.68200000000002,"LINESTRING (-9.542768 30.3560804, -9.5441473 30.3561645, -9.5443761 30.3561784)",,40,
92003286,1,residential,True,False,1.811,"LINESTRING (-9.5459995 30.3561515, -9.545984 30.3561422)",roundabout,,
92003286,1,residential,True,False,2.278,"LINESTRING (-9.5460529 30.3563092, -9.546059 30.3562894)",roundabout,,
