osmid,oneway,lanes,highway,maxspeed,reversed,length,name,geometry,junction
34995688,False,2,residential,60,True,54.374,,"LINESTRING (-2.0989761 34.9541987, -2.0984321 34.9539979)",
306301169,False,2,tertiary,60,False,48.423,Boulevard Saïdia,"LINESTRING (-2.0989761 34.9541987, -2.0994647 34.9543698)",
585763059,False,2,unclassified,60,True,38.741,,"LINESTRING (-2.0989761 34.9541987, -2.0987879 34.9545111)",
249737282,False,2,tertiary,60,True,124.443,Boulevard Mohamed V شارع محمد الخامس,"LINESTRING (-2.0989761 34.9541987, -2.0992133 34.9537088, -2.0994877 34.9531611)",
306301175,False,2,tertiary,60,False,4.491,,"LINESTRING (-2.1025232 34.9554727, -2.1025621 34.9554975)",
306301376,False,2,residential,,False,62.737,Avenue Hassan 2 شارع الحسن الثاني,"LINESTRING (-2.1025232 34.9554727, -2.1024746 34.9549099)",
306301377,False,2,residential,,True,14.737,Avenue Hassan 2 شارع الحسن الثاني,"LINESTRING (-2.1025232 34.9554727, -2.1024661 34.9555967)",
306301169,False,2,tertiary,60,True,49.419000000000004,Boulevard Saïdia,"LINESTRING (-2.1025232 34.9554727, -2.1023986 34.9554189, -2.1020351 34.9552793)",
145368099,False,2,residential,,False,16.346,,"LINESTRING (-2.0989332 34.9579228, -2.098854 34.9580547)",
145368099,False,2,residential,,True,37.859,,"LINESTRING (-2.0989332 34.9579228, -2.0991079 34.9576139)",
145368103,False,,residential,,False,55.182,,"LINESTRING (-2.0989332 34.9579228, -2.0994897 34.9581184)",
249737308,False,2,residential,,True,44.785,Rue Mohamed Abdou,"LINESTRING (-2.1014115 34.9550463, -2.101236 34.9554225)",
306301169,False,2,tertiary,60,False,62.459,Boulevard Saïdia,"LINESTRING (-2.1014115 34.9550463, -2.1020351 34.9552793)",
306301169,False,2,tertiary,60,True,38.835,Boulevard Saïdia,"LINESTRING (-2.1014115 34.9550463, -2.1010186 34.9549111)",
145368112,False,2,residential,,True,124.74600000000001,Rue Sidi Mohamed,"LINESTRING (-2.1014115 34.9550463, -2.1014343 34.9549144, -2.1015 34.9546121, -2.1015443 34.954456, -2.1015859 34.9543263, -2.1016867 34.953948)",
145368103,False,,residential,,True,34.957,,"LINESTRING (-2.101044 34.9586835, -2.1006922 34.9585582)",
306301377,False,2,residential,,True,42.564,Avenue Hassan 2 شارع الحسن الثاني,"LINESTRING (-2.101044 34.9586835, -2.100879 34.9590416)",
306301377,False,2,residential,,False,23.272,Avenue Hassan 2 شارع الحسن الثاني,"LINESTRING (-2.101044 34.9586835, -2.1010933 34.9585766, -2.1011342 34.9584877)",
145368107,False,2,residential,,True,121.907,Rue Fès,"LINESTRING (-2.0999189 34.9545297, -2.1004587 34.9535266)",
306301169,False,2,tertiary,60,False,56.035,Boulevard Saïdia,"LINESTRING (-2.0999189 34.9545297, -2.1004823 34.9547315)",
306301169,False,2,tertiary,60,True,45.051,Boulevard Saïdia,"LINESTRING (-2.0999189 34.9545297, -2.0994647 34.9543698)",
145368107,False,2,residential,,False,79.938,Rue Fès,"LINESTRING (-2.0999189 34.9545297, -2.0996436 34.9551541, -2.0996165 34.9552044)",
145368107,False,2,residential,,False,81.562,Rue Fès,"LINESTRING (-2.101306 34.9519043, -2.1009549 34.952579)",
145368114,False,2,residential,,True,52.248,,"LINESTRING (-2.101306 34.9519043, -2.1018393 34.9520767)",
145368107,False,2,residential,,True,74.03,Rue Fès,"LINESTRING (-2.101306 34.9519043, -2.1014905 34.9515219, -2.1016207 34.9512908)",
145368114,False,2,residential,,False,44.952,,"LINESTRING (-2.101306 34.9519043, -2.1010614 34.9518079, -2.1008621 34.9517281)",
