osmid,oneway,highway,reversed,length,ref,junction,name,geometry
203799011,True,primary,False,9.774,,,,"LINESTRING (39.0126687 35.945343, 39.0127761 35.9453301)"
203799030,True,primary,False,107.441,6,,,"LINESTRING (39.0130612 35.9463457, 39.0127046 35.9454236)"
203983463,True,primary,False,8.219,,roundabout,,"LINESTRING (39.0130612 35.9463457, 39.0131511 35.9463328)"
203921663,False,tertiary,False,97.101,,,Nazlet Moasat Street,"LINESTRING (39.0083429 35.9456186, 39.0073476 35.9459552)"
203921663,False,tertiary,True,19.74,,,Nazlet Moasat Street,"LINESTRING (39.0083429 35.9456186, 39.0085576 35.9455825)"
203877508,False,tertiary,True,32.28,,,,"LINESTRING (39.007198 35.9460124, 39.0068449 35.946063)"
203921663,False,tertiary,True,14.893,,,Nazlet Moasat Street,"LINESTRING (39.007198 35.9460124, 39.0073476 35.9459552)"
203983663,False,residential,True,65.252,,,,"LINESTRING (39.007198 35.9460124, 39.007563 35.9465194)"
203921663,False,tertiary,False,123.836,,,Nazlet Moasat Street,"LINESTRING (39.007198 35.9460124, 39.0067694 35.9462099, 39.0062599 35.9465319, 39.0061002 35.9466727)"
203983469,True,tertiary,False,26.242,,,شارع الوادى,"LINESTRING (39.013215 35.9470389, 39.0132235 35.9472748)"
205675068,False,residential,False,48.99,,,,"LINESTRING (39.013215 35.9470389, 39.0137504 35.9469599)"
203877508,False,tertiary,False,11.078,,,,"LINESTRING (39.0033941 35.9482721, 39.0035154 35.9482889)"
203877363,True,secondary,False,238.55900000000003,,,Noor Street,"LINESTRING (39.0033941 35.9482721, 39.0034993 35.9479267, 39.0038945 35.9465983, 39.004017 35.9461868)"
203798995,True,primary,False,9.566,6,,,"LINESTRING (39.0127761 35.9453301, 39.0128094 35.9454118)"
203983471,True,primary,False,9.525,,,,"LINESTRING (39.0128094 35.9454118, 39.0127046 35.9454236)"
203798995,True,primary,False,107.025,6,,,"LINESTRING (39.0128094 35.9454118, 39.0128338 35.945472, 39.0131328 35.9462424, 39.0131511 35.9463328)"
203921663,False,tertiary,False,7.361,,,Nazlet Moasat Street,"LINESTRING (39.0086259 35.9456189, 39.0085576 35.9455825)"
203921663,False,tertiary,True,12.068,,,Nazlet Moasat Street,"LINESTRING (39.0086259 35.9456189, 39.0087573 35.9456404)"
561847205,True,primary,False,20.192,,,Nazlet Moasat Street,"LINESTRING (39.0086259 35.9456189, 39.0086934 35.9455779, 39.0088261 35.945542)"
203921663,False,tertiary,False,12.068,,,Nazlet Moasat Street,"LINESTRING (39.0087573 35.9456404, 39.0086259 35.9456189)"
561847206,True,primary,False,127.27600000000001,,,Adnan Malki St.,"LINESTRING (39.0087573 35.9456404, 39.0087336 35.9457332, 39.0087283 35.9460947, 39.0087202 35.946783)"
203983463,True,primary,False,12.391,,roundabout,,"LINESTRING (39.0131511 35.9463328, 39.0132173 35.9463479, 39.0132716 35.9463822)"
203983676,False,secondary,False,8.224,,,Faysal Street,"LINESTRING (39.0087202 35.946783, 39.008629 35.9467874)"
203983676,False,secondary,True,58.332,,,Faysal Street,"LINESTRING (39.0087202 35.946783, 39.0093679 35.9467672)"
561847206,True,primary,False,178.495,,,Adnan Malki St.,"LINESTRING (39.0087202 35.946783, 39.0087242 35.9472065, 39.0087269 35.9478014, 39.0087189 35.9483882)"
