osmid,highway,oneway,reversed,length,junction,geometry,name,lanes
106409431,residential,False,False,83.409,,"LINESTRING (36.7134933 34.7325381, 36.7130627 34.7331995)",,
105735754,secondary,True,False,13.277999999999999,roundabout,"LINESTRING (36.7134933 34.7325381, 36.7134636 34.7324836, 36.7134577 34.7324241)",,
105735701,secondary,True,False,182.594,,"LINESTRING (36.7134577 34.7324241, 36.7132539 34.7323555, 36.7130534 34.7322843, 36.7122101 34.7319625, 36.711639 34.7317445)",شارع شكري القوتلي,
105735754,secondary,True,False,13.666,roundabout,"LINESTRING (36.7134577 34.7324241, 36.7134773 34.7323648, 36.7135206 34.7323147)",,
105735754,secondary,True,False,6.501,roundabout,"LINESTRING (36.7135206 34.7323147, 36.7135479 34.732296, 36.7135786 34.7322812)",,
105735754,secondary,True,False,29.371000000000002,roundabout,"LINESTRING (36.7136384 34.7322661, 36.7137187 34.7322686, 36.7137922 34.7322952, 36.7138486 34.7323423, 36.7138799 34.7324031)",,
150287205,secondary,True,False,26.380000000000003,,"LINESTRING (36.7136384 34.7322661, 36.7136937 34.732212, 36.7137691 34.7321676, 36.7138667 34.732126)",شارع ‫الحميدية‬‎,
105735737,secondary,True,False,8.697,,"LINESTRING (36.7137314 34.7326084, 36.7137385 34.7326864)",فارس الخوري‬‎,
105735754,secondary,True,False,14.652000000000001,roundabout,"LINESTRING (36.7137314 34.7326084, 36.7136516 34.7326149, 36.7135745 34.7325969)",,
105735754,secondary,True,False,9.971,roundabout,"LINESTRING (36.7135745 34.7325969, 36.7135293 34.7325718, 36.7134933 34.7325381)",,
105735672,secondary,True,False,35.097,,"LINESTRING (36.713598 34.7361554, 36.7136415 34.7358418)",فارس الخوري‬‎,
143004154,residential,False,True,75.429,,"LINESTRING (36.713598 34.7361554, 36.7133706 34.7368075)",,
105740288,secondary,True,False,4.343,roundabout,"LINESTRING (36.7163656 34.7376846, 36.7164128 34.7376892)",,
149905264,residential,False,False,52.441,,"LINESTRING (36.7163656 34.7376846, 36.7164259 34.7372156)",,
150694980,residential,True,False,69.102,,"LINESTRING (36.7211805 34.7376446, 36.7209321 34.7374992, 36.7208156 34.7373876, 36.7209477 34.7371919)",,
105740229,secondary,True,False,56.212,,"LINESTRING (36.717487 34.73716, 36.7169713 34.7374356)",‫السلمية‬‎,
150239881,residential,False,False,46.232,,"LINESTRING (36.717487 34.73716, 36.7178373 34.73746)",,
105740267,secondary,False,True,6.992,,"LINESTRING (36.7209477 34.7371919, 36.7208848 34.7371561)",‫ِشارع ديربعلبة‬‎,
1173189895,residential,True,False,46.694,,"LINESTRING (36.7209477 34.7371919, 36.7210327 34.7371783, 36.7213924 34.7373634)",,
149905274,secondary,False,False,40.182,,"LINESTRING (36.7187923 34.7361767, 36.7183979 34.7360169)",‫ِشارع ديربعلبة‬‎,
105740229,secondary,True,False,56.553,,"LINESTRING (36.7187923 34.7361767, 36.7187016 34.7363045, 36.7183686 34.7365394)",‫السلمية‬‎,
