osmid,oneway,highway,reversed,length,geometry,junction,name,lanes,maxspeed,bridge
124112922,True,secondary,False,400.302,"LINESTRING (36.7499345 35.1382396, 36.7502127 35.1380651, 36.7504365 35.1378665, 36.7506763 35.1375274, 36.7508593 35.1372149, 36.7509609 35.1368625, 36.7511154 35.1362707, 36.7513431 35.1353165, 36.7513785 35.1351702, 36.7513772 35.1350657, 36.7513676 35.134954)",,,,,
124112924,True,secondary,False,41.001999999999995,"LINESTRING (36.7499345 35.1382396, 36.7500243 35.1382331, 36.750111 35.1382535, 36.7501828 35.1382981, 36.7502301 35.1383609, 36.7502466 35.1384334)",roundabout,,,,
1251350002,True,secondary,False,35.291,"LINESTRING (36.7547305 35.1312895, 36.7545011 35.1313103, 36.7543455 35.131329)",,شارع الأطلال,,,
59493321,True,secondary,False,33.183,"LINESTRING (36.7543455 35.131329, 36.7539813 35.1313473)",,‫الدباغة‬‎,,,
370416464,True,secondary,False,101.94399999999999,"LINESTRING (36.7543455 35.131329, 36.7540956 35.1315311, 36.7535722 35.1319925)",,‫أبي الفداء‬‎,,,
59493321,True,secondary,False,28.994,"LINESTRING (36.7523579 35.131268, 36.7521901 35.1312466, 36.7520448 35.1312196)",,‫الدباغة‬‎,,,
"[204499251, 613834366]",False,residential,False,161.167,"LINESTRING (36.7523579 35.131268, 36.7524454 35.1314792, 36.752451 35.1317043, 36.7524688 35.1317976, 36.7524984 35.1318361, 36.7525225 35.1318665, 36.7525291 35.1318927, 36.7525229 35.1319197, 36.7522392 35.1320855, 36.7517275 35.1323321)",,الباشورة,,,
510871362,False,residential,True,17.672,"LINESTRING (36.750463 35.1341073, 36.7504596 35.1339484)",,,,,
310833191,True,secondary,False,31.452999999999996,"LINESTRING (36.750463 35.1341073, 36.7505812 35.1341651, 36.7507508 35.1342638)",,,,,
1022538989,True,residential,False,29.25,"LINESTRING (36.7507499 35.1309484, 36.7506241 35.1311905)",,‫ابن الرشد‬‎,,,
59493321,True,secondary,False,40.478,"LINESTRING (36.7507499 35.1309484, 36.7505577 35.1309224, 36.7503091 35.1308986)",,‫الدباغة‬‎,,,
112090581,False,residential,False,23.989,"LINESTRING (36.7496046 35.133854, 36.7495224 35.134059)",,‫ابن الرشد‬‎,,,
112090581,False,residential,True,72.609,"LINESTRING (36.7496046 35.133854, 36.7498326 35.1332282)",,‫ابن الرشد‬‎,,,
124112906,False,residential,False,41.027,"LINESTRING (36.7496046 35.133854, 36.7491567 35.1338097)",,,,,
112093642,False,secondary,True,48.336,"LINESTRING (36.7473395 35.1304617, 36.7474756 35.1300415)",,,,,
289550760,True,secondary,False,33.764,"LINESTRING (36.7473395 35.1304617, 36.7476944 35.1305509)",,‫نزلة الجزدان‬‎,,,
868465707,False,unclassified,False,54.113,"LINESTRING (36.7473395 35.1304617, 36.7473096 35.1306687, 36.7472999 35.1309468)",,Short Way,1,20,
289550760,True,secondary,False,64.60900000000001,"LINESTRING (36.744677 35.1309464, 36.7451229 35.130866, 36.7453596 35.130791)",,‫نزلة الجزدان‬‎,,,
62376792,True,secondary,False,117.055,"LINESTRING (36.7485485 35.1327028, 36.7485312 35.1337554)",,8 آذار,,,
112107146,True,residential,False,63.75,"LINESTRING (36.7485485 35.1327028, 36.7478772 35.1325376)",,,,,
112245157,False,residential,False,62.689,"LINESTRING (36.7485485 35.1327028, 36.7491651 35.1329549)",,,,,
112107146,True,residential,False,40.353,"LINESTRING (36.7478772 35.1325376, 36.7474489 35.1324427)",,,,,
