osmid,highway,oneway,reversed,length,junction,geometry,ref,name
200890445,secondary,False,False,100.521,,"LINESTRING (46.8228474 40.5074249, 46.823088 40.5083102)",,
288158568,unclassified,False,True,109.59,,"LINESTRING (46.8228474 40.5074249, 46.8226136 40.5064555)",,
200890445,secondary,False,True,100.521,,"LINESTRING (46.823088 40.5083102, 46.8228474 40.5074249)",,
278519977,secondary,True,False,14.219,,"LINESTRING (46.823088 40.5083102, 46.8231428 40.5084311)",,
278519979,secondary,True,False,20.133,,"LINESTRING (46.8230687 40.5085076, 46.822838 40.5085525)",,
278519974,secondary,True,False,15.617999999999999,roundabout,"LINESTRING (46.8230687 40.5085076, 46.8230381 40.5085054, 46.8230105 40.5084949, 46.8229899 40.5084775, 46.8229789 40.5084557, 46.8229791 40.5084322, 46.8229905 40.5084105)",,
278519977,secondary,True,False,13.868,,"LINESTRING (46.8229905 40.5084105, 46.823088 40.5083102)",,
278519974,secondary,True,False,16.644,roundabout,"LINESTRING (46.8229905 40.5084105, 46.8230093 40.5083946, 46.8230339 40.5083843, 46.8230617 40.5083809, 46.8230894 40.5083846, 46.8231139 40.5083951, 46.8231323 40.5084112, 46.8231428 40.5084311)",,
278519974,secondary,True,False,2.37,roundabout,"LINESTRING (46.8231428 40.5084311, 46.8231439 40.5084524)",,
278519981,secondary,True,False,19.901,,"LINESTRING (46.8231439 40.5084524, 46.8231979 40.5086266)",,
278519974,secondary,True,False,9.501999999999999,roundabout,"LINESTRING (46.8231439 40.5084524, 46.8231357 40.5084728, 46.8231191 40.50849, 46.8230959 40.5085021, 46.8230687 40.5085076)",,
278519977,secondary,True,False,20.385,,"LINESTRING (46.822838 40.5085525, 46.8229905 40.5084105)",,
278519976,secondary,False,False,264.479,,"LINESTRING (46.822838 40.5085525, 46.8208144 40.5085092, 46.8197107 40.5084912)",,
281902399,secondary,True,False,43.235,,"LINESTRING (46.8155648 40.5088696, 46.8150567 40.5089137)",,
278519976,secondary,False,True,188.772,,"LINESTRING (46.8155648 40.5088696, 46.8172704 40.5086078, 46.8177582 40.5085543)",,
278519981,secondary,True,False,17.158,,"LINESTRING (46.8231979 40.5086266, 46.8230687 40.5085076)",,
278519980,secondary,False,True,334.09799999999996,,"LINESTRING (46.8231979 40.5086266, 46.8235867 40.5099154, 46.8238979 40.5108698, 46.8241004 40.5115517)",,
278519989,secondary,True,False,18.095,,"LINESTRING (46.8149042 40.5087959, 46.8148779 40.5086344)",,
278519982,secondary,True,False,17.094,roundabout,"LINESTRING (46.8149042 40.5087959, 46.8149221 40.5087705, 46.8149521 40.5087492, 46.8149897 40.5087367, 46.8150307 40.5087345, 46.8150703 40.5087429)",,
278519982,secondary,True,False,3.462,roundabout,"LINESTRING (46.8150703 40.5087429, 46.8151039 40.5087607)",,
278519983,secondary,True,False,40.804,,"LINESTRING (46.8151039 40.5087607, 46.8155648 40.5088696)",,
278519982,secondary,True,False,20.825,roundabout,"LINESTRING (46.8151039 40.5087607, 46.8151278 40.5087861, 46.8151391 40.5088161, 46.8151366 40.5088473, 46.8151206 40.508876, 46.8150929 40.5088991, 46.8150567 40.5089137)",,
278519984,secondary,False,True,31.763,,"LINESTRING (46.814718 40.5089541, 46.8143635 40.5090487)",Y22-16,
281902398,secondary,True,False,23.606,,"LINESTRING (46.814718 40.5089541, 46.8149042 40.5087959)",Y22-16,
278519982,secondary,True,False,3.472,roundabout,"LINESTRING (46.8150567 40.5089137, 46.8150161 40.5089184)",,
278519986,secondary,True,False,25.513,,"LINESTRING (46.8150161 40.5089184, 46.814718 40.5089541)",Y22-16,
278519982,secondary,True,False,19.242,roundabout,"LINESTRING (46.8150161 40.5089184, 46.8149787 40.5089133, 46.8149453 40.5088996, 46.8149191 40.5088788, 46.8149026 40.5088529, 46.8148974 40.5088243, 46.8149042 40.5087959)",,
278519987,secondary,False,True,24.303,,"LINESTRING (46.8148779 40.5086344, 46.8147349 40.5084448)",,
281902400,secondary,True,False,20.252,,"LINESTRING (46.8148779 40.5086344, 46.8150703 40.5087429)",,
703197392,unclassified,False,True,23.439,,"LINESTRING (46.8235048 40.5039815, 46.8232627 40.5040842)",,
703197392,unclassified,False,False,23.439,,"LINESTRING (46.8232627 40.5040842, 46.8235048 40.5039815)",,
