osmid,highway,oneway,reversed,length,lanes,ref,name,geometry,junction,maxspeed
281342836,primary_link,False,False,12.157,,,,"LINESTRING (48.5918549 36.1195436, 48.5917202 36.1195543)",,
615193869,primary,True,False,24.06,2,47,بلوار شهید بهشتی (کمربندی),"LINESTRING (48.5918549 36.1195436, 48.5919169 36.1197541)",,
281342824,primary,True,False,49.199999999999996,,,خیابان شهرداری,"LINESTRING (48.5918549 36.1195436, 48.5918963 36.1195101, 48.5923848 36.1195306)",,
615193869,primary,True,False,10.7,2,47,بلوار شهید بهشتی (کمربندی),"LINESTRING (48.5917687 36.1192363, 48.5918085 36.119327)",,
302832243,primary_link,True,False,66.547,,,,"LINESTRING (48.5917687 36.1192363, 48.5918737 36.119359, 48.5919275 36.1193891, 48.5920518 36.1194396, 48.5922144 36.1194878, 48.5923848 36.1195306)",,
863216534,residential,False,True,34.286,,,,"LINESTRING (48.592096 36.120633, 48.5924279 36.1204807)",,
615193869,primary,True,False,200.655,2,47,بلوار شهید بهشتی (کمربندی),"LINESTRING (48.592096 36.120633, 48.5921181 36.121063, 48.5920916 36.1215716, 48.5920496 36.1219267, 48.5920209 36.1221105, 48.5919988 36.1221844, 48.591923 36.1224238)",,
281336165,secondary,True,False,11.607,,,خیابان امام,"LINESTRING (48.5889684 36.1202522, 48.5890246 36.1203462)",,
281336196,secondary,True,False,15.16,,,,"LINESTRING (48.5889684 36.1202522, 48.5888097 36.1202986)",,
281336196,secondary,True,False,40.558,,,,"LINESTRING (48.5893747 36.1200934, 48.5891 36.1202061, 48.5889684 36.1202522)",,
397738765,secondary,True,False,73.69000000000001,,,میدان امام حسین,"LINESTRING (48.5893747 36.1200934, 48.5892816 36.1201061, 48.5892005 36.1201165, 48.5891433 36.1201074, 48.5890741 36.1201021, 48.5890045 36.1200393, 48.5889766 36.1199897, 48.5889842 36.1199381, 48.5890114 36.119879, 48.5890693 36.1198164, 48.58912 36.119742)",roundabout,
