osmid,oneway,highway,junction,reversed,length,geometry,lanes
933226484,True,primary,roundabout,False,16.159,"LINESTRING (56.1501819 27.291791, 56.1502002 27.2918235, 56.1502059 27.2918595, 56.1501983 27.2918952, 56.1501784 27.2919269)",
26636256,False,secondary,,True,42.659,"LINESTRING (56.1539007 27.2940745, 56.1543288 27.294124)",
26636256,False,secondary,,False,124.27,"LINESTRING (56.1539007 27.2940745, 56.1536065 27.2940123, 56.152857 27.2938442, 56.1527822 27.2938359, 56.1526754 27.2938346)",
503096364,False,residential,,False,123.668,"LINESTRING (56.1539007 27.2940745, 56.1540204 27.2934708, 56.1541932 27.2930931, 56.1542231 27.2930056)",
503101810,False,residential,,False,32.771,"LINESTRING (56.1517128 27.2938753, 56.1516107 27.2941557)",
26636256,False,secondary,,False,134.079,"LINESTRING (56.1517128 27.2938753, 56.1511991 27.2938421, 56.1505523 27.2937591, 56.1503669 27.2937299)",
26636256,False,secondary,,True,95.447,"LINESTRING (56.1517128 27.2938753, 56.1519813 27.2938878, 56.1526095 27.2938338, 56.1526754 27.2938346)",
503096354,False,tertiary,,True,46.952,"LINESTRING (56.1517128 27.2938753, 56.1516736 27.2935226, 56.1516761 27.2934548)",
26636256,False,secondary,,False,16.224,"LINESTRING (56.1493017 27.2935608, 56.1491422 27.2935262)",
26636256,False,secondary,,True,106.924,"LINESTRING (56.1493017 27.2935608, 56.1497491 27.2936325, 56.1503669 27.2937299)",
42918123,True,primary,,False,165.754,"LINESTRING (56.1493017 27.2935608, 56.148967 27.2942656, 56.1488768 27.2945652, 56.1488175 27.2948692, 56.1488102 27.294976)",
852998137,False,secondary,,True,66.066,"LINESTRING (56.1514129 27.2892869, 56.1520141 27.2895468)",2
"[933226485, 824445414]",True,primary,,False,174.349,"LINESTRING (56.1514129 27.2892869, 56.1513918 27.2893275, 56.1510599 27.2899658, 56.1506831 27.2907144)",
503096405,True,secondary,,False,42.599,"LINESTRING (56.1563354 27.2907223, 56.1561999 27.2907339, 56.155912 27.2906769)",
1232226229,False,secondary,,True,67.862,"LINESTRING (56.1563354 27.2907223, 56.1564049 27.2907056, 56.1564496 27.2906349, 56.1566023 27.2901899)",2
