osmid,oneway,name,highway,reversed,length,maxspeed,geometry,bridge
247546615,True,بلوار انقلاب,primary,False,76.385,,"LINESTRING (53.2994533 36.6524144, 53.2989418 36.6518635)",
522676850,False,انقلاب ۹,residential,False,131.844,30,"LINESTRING (53.2994533 36.6524144, 53.2991087 36.6526496, 53.2989317 36.6528906, 53.2988003 36.6530412, 53.2986796 36.6531187, 53.2986045 36.6531876, 53.2985129 36.653311)",
768714108,True,بلوار انقلاب,primary,False,8.747,,"LINESTRING (53.2971475 36.6498644, 53.2970878 36.649802)",
768714109,False,,primary_link,False,13.921,,"LINESTRING (53.2971475 36.6498644, 53.2972875 36.6498091)",
1148415488,True,خیابان راه آهن,secondary,False,62.235,,"LINESTRING (53.2971475 36.6498644, 53.2967041 36.6502965)",
1083705258,True,انقلاب ۱۹,residential,False,36.374,30,"LINESTRING (53.2916881 36.6467505, 53.2916053 36.6468221, 53.2914108 36.6469903)",
141450731,True,بلوار انقلاب,primary,False,21.503,,"LINESTRING (53.3006579 36.6533235, 53.3008399 36.6534503)",
120499840,False,علمیه,secondary,False,214.219,,"LINESTRING (53.2946581 36.6486116, 53.2947219 36.6484998, 53.2947939 36.6481132, 53.294838 36.6475652, 53.2949643 36.6471255, 53.2951299 36.6467352)",
"[768714107, 141450733, 141450759]",True,بلوار انقلاب,primary,False,78.859,,"LINESTRING (53.2946581 36.6486116, 53.2947764 36.6486655, 53.2953804 36.648886, 53.2954594 36.6489096)",yes
120499840,False,علمیه,secondary,True,214.21900000000002,,"LINESTRING (53.2951299 36.6467352, 53.2949643 36.6471255, 53.294838 36.6475652, 53.2947939 36.6481132, 53.2947219 36.6484998, 53.2946581 36.6486116)",
238561474,False,خیابان راه آهن,secondary,False,13.076,,"LINESTRING (53.2919162 36.6550544, 53.2917894 36.6551134)",
756480694,True,بلوار آزادگان,secondary,False,81.775,,"LINESTRING (53.2919162 36.6550544, 53.2926587 36.6554857)",
238561474,False,خیابان راه آهن,secondary,True,149.90300000000002,,"LINESTRING (53.2919162 36.6550544, 53.2921671 36.6548942, 53.2925409 36.654576, 53.2930196 36.6540471)",
238561474,False,خیابان راه آهن,secondary,True,13.076,,"LINESTRING (53.2917894 36.6551134, 53.2919162 36.6550544)",
439999037,False,شهرداری ۵,tertiary,False,10.542,30,"LINESTRING (53.2994798 36.6489314, 53.2995764 36.6488768)",
686403570,False,خیابان شهرداری,tertiary,False,47.54900000000001,,"LINESTRING (53.2994798 36.6489314, 53.2993394 36.6489677, 53.2990122 36.6491312)",
686403570,False,خیابان شهرداری,tertiary,True,163.19600000000003,,"LINESTRING (53.2994798 36.6489314, 53.2995877 36.6490772, 53.2998434 36.6493368, 53.2999974 36.649495, 53.3000657 36.6495287, 53.300169 36.6495483, 53.300938 36.6495534)",
