osmid,oneway,name,highway,reversed,length,geometry,junction
402259444,True,بولوار یادگار امام,tertiary,False,61.437999999999995,"LINESTRING (50.4886943 33.0184078, 50.4886458 33.0185028, 50.4886194 33.0185719, 50.4885626 33.0189455)",
402259445,True,میدان شهدا,tertiary,False,17.204,"LINESTRING (50.4886943 33.0184078, 50.4886493 33.0184164, 50.4886034 33.0184123, 50.4885616 33.0183961, 50.4885283 33.0183693)",roundabout
402259445,True,میدان شهدا,tertiary,False,17.32,"LINESTRING (50.4885647 33.0181995, 50.4886073 33.0181841, 50.4886536 33.0181811, 50.4886986 33.018191, 50.4887372 33.0182126)",roundabout
402259448,True,بولوار یادگار امام,tertiary,False,232.611,"LINESTRING (50.4885647 33.0181995, 50.4885865 33.0181682, 50.4886066 33.0180881, 50.4887215 33.0172539, 50.488904 33.0161302)",
402259457,False,خیابان شهدای غربی,tertiary,False,85.853,"LINESTRING (50.4885084 33.0182591, 50.487692 33.017902)",
402259445,True,میدان شهدا,tertiary,False,8.571,"LINESTRING (50.4885084 33.0182591, 50.4885306 33.0182254, 50.4885647 33.0181995)",roundabout
402259445,True,میدان شهدا,tertiary,False,12.850999999999999,"LINESTRING (50.4885283 33.0183693, 50.4885071 33.0183351, 50.4885003 33.018297, 50.4885084 33.0182591)",roundabout
402259460,False,خیابان شهدای شرقی,residential,False,17.219,"LINESTRING (50.4887793 33.0183201, 50.4889494 33.0183804)",
402259445,True,میدان شهدا,tertiary,False,13.041999999999998,"LINESTRING (50.4887793 33.0183201, 50.4887633 33.0183568, 50.4887339 33.0183872, 50.4886943 33.0184078)",roundabout
402259445,True,میدان شهدا,tertiary,False,13.064,"LINESTRING (50.4887372 33.0182126, 50.4887655 33.0182437, 50.4887801 33.0182809, 50.4887793 33.0183201)",roundabout
402259449,False,بولوار یادگار امام,tertiary,False,15.243,"LINESTRING (50.4890898 33.0151439, 50.4891103 33.0150079)",
402259448,True,بولوار یادگار امام,tertiary,False,78.251,"LINESTRING (50.4890898 33.0151439, 50.4890933 33.015316, 50.489033 33.0158452)",
402259460,False,خیابان شهدای شرقی,residential,True,17.219,"LINESTRING (50.4889494 33.0183804, 50.4887793 33.0183201)",
402259460,False,خیابان شهدای شرقی,residential,False,71.999,"LINESTRING (50.4889494 33.0183804, 50.4893007 33.0184243, 50.4897166 33.0184501)",
544890582,False,,residential,False,201.483,"LINESTRING (50.4889494 33.0183804, 50.4892821 33.0169223, 50.4888934 33.0168909)",
402259460,False,خیابان شهدای شرقی,residential,False,31.949,"LINESTRING (50.4897166 33.0184501, 50.4900577 33.0184775)",
402259460,False,خیابان شهدای شرقی,residential,True,71.999,"LINESTRING (50.4897166 33.0184501, 50.4893007 33.0184243, 50.4889494 33.0183804)",
544890653,False,,residential,True,443.139,"LINESTRING (50.4897166 33.0184501, 50.4900263 33.0166995, 50.4901785 33.0163322, 50.4906067 33.0154079, 50.4904545 33.0153441, 50.4908573 33.0147397)",
402259460,False,خیابان شهدای شرقی,residential,True,13.365,"LINESTRING (50.4902004 33.0184889, 50.4900577 33.0184775)",
402259460,False,خیابان شهدای شرقی,residential,False,61.399,"LINESTRING (50.4902004 33.0184889, 50.4905053 33.0185193, 50.4906409 33.0185328, 50.4908525 33.0185644)",
544890710,False,کاظمی,residential,True,422.0199999999999,"LINESTRING (50.4902004 33.0184889, 50.4904397 33.0177605, 50.4908917 33.0169939, 50.4911926 33.0162492, 50.4915446 33.0155026, 50.4919646 33.0150224)",
402259460,False,خیابان شهدای شرقی,residential,True,25.779,"LINESTRING (50.4911247 33.0186051, 50.4908525 33.0185644)",
544890641,False,,residential,False,53.499,"LINESTRING (50.4911247 33.0186051, 50.4912573 33.018137)",
402259460,False,خیابان شهدای شرقی,residential,False,81.878,"LINESTRING (50.4911247 33.0186051, 50.4916207 33.0187033, 50.4919781 33.0187787)",
402259465,False,خیابان معلم,tertiary,True,139.237,"LINESTRING (50.4905667 33.020665, 50.4891732 33.0202147)",
402259462,True,میدان معلم,tertiary,False,14.083,"LINESTRING (50.4905667 33.020665, 50.4905828 33.0206357, 50.4906095 33.0206126, 50.4906426 33.0205985, 50.4906793 33.020594)",roundabout
402259462,True,میدان معلم,tertiary,False,15.957,"LINESTRING (50.4907633 33.0207536, 50.4907346 33.0207733, 50.4906985 33.0207845, 50.4906601 33.0207851, 50.4906236 33.020775, 50.4906088 33.0207654)",roundabout
402259462,True,میدان معلم,tertiary,False,13.844,"LINESTRING (50.4907733 33.0206375, 50.4907883 33.020666, 50.4907917 33.020697, 50.490783 33.0207273, 50.4907633 33.0207536)",roundabout
402259467,True,خیابان معلم,residential,False,90.13400000000001,"LINESTRING (50.4907733 33.0206375, 50.4908409 33.0206463, 50.4909437 33.0206444, 50.4916372 33.0206132, 50.4916862 33.0205976, 50.4917259 33.0205741)",
576029627,False,,residential,False,145.111,"LINESTRING (50.4906793 33.020594, 50.4906317 33.0192896)",
