osmid,highway,oneway,reversed,length,name,geometry,junction,bridge
201383964,residential,False,False,58.978,,"LINESTRING (49.8252809 30.695545, 49.8256025 30.6950924)",,
201383964,residential,False,True,7.714,,"LINESTRING (49.8252809 30.695545, 49.8252398 30.6956047)",,
201383983,tertiary,True,False,103.688,بلوار معلم,"LINESTRING (49.8252809 30.695545, 49.8255481 30.6956832, 49.8259482 30.6958901, 49.8262102 30.6960256)",,
201383964,residential,False,False,7.714,,"LINESTRING (49.8252398 30.6956047, 49.8252809 30.695545)",,
655681187,residential,False,True,31.291,,"LINESTRING (49.8252398 30.6956047, 49.8250661 30.6958432)",,
201383990,secondary,True,False,18.545,بلوار پرستار,"LINESTRING (49.8298321 30.6960388, 49.8298692 30.6958751)",,
550041687,residential,False,False,150.436,,"LINESTRING (49.8298321 30.6960388, 49.8297062 30.6959758, 49.8293832 30.6959493, 49.828907 30.6959654, 49.828287 30.6960437)",,
201383928,secondary,True,False,9.214,بلوار پرستار,"LINESTRING (49.8298052 30.6965785, 49.8297655 30.696654)",,
"[201383962, 201383933]",tertiary,True,False,276.715,"['بلوار شهدای گمنام', 'امام خمینی']","LINESTRING (49.8298052 30.6965785, 49.8304498 30.696873, 49.8305739 30.6969522, 49.8306635 30.6970522, 49.8311118 30.6975907, 49.8313884 30.697961, 49.8314357 30.69806, 49.8314701 30.6981707, 49.8315063 30.6982562, 49.8315668 30.6983432, 49.8316274 30.6984109)",,
201383928,secondary,True,False,115.189,بلوار پرستار,"LINESTRING (49.8297655 30.696654, 49.8296947 30.6967783, 49.8292813 30.6974716, 49.8292065 30.697571)",,
201383936,tertiary_link,False,False,7.705,,"LINESTRING (49.8283498 30.6971339, 49.8283083 30.6971933)",,
201383983,tertiary,True,False,81.2,بلوار معلم,"LINESTRING (49.8283498 30.6971339, 49.8289149 30.6974315, 49.8290745 30.6975146)",,
201383936,tertiary_link,False,True,7.705,,"LINESTRING (49.8283083 30.6971933, 49.8283498 30.6971339)",,
201383985,tertiary,True,False,35.695,بلوار معلم,"LINESTRING (49.8283083 30.6971933, 49.8279871 30.6970297)",,
