osmid,highway,oneway,reversed,length,geometry,name,junction,lanes,ref,maxspeed,tunnel
528188465,residential,False,False,46.614,"LINESTRING (58.683823 36.9430644, 58.683409 36.9433218)",,,,,,
948367732,residential,False,False,135.167,"LINESTRING (58.683823 36.9430644, 58.6831966 36.9421722, 58.6830917 36.9419989)",,,,,,
948367734,residential,False,False,173.39999999999998,"LINESTRING (58.683823 36.9430644, 58.6841315 36.9426249, 58.6846588 36.9422958, 58.6851099 36.94192)",,,,,,
528188492,residential,False,False,79.509,"LINESTRING (58.6808337 36.9399988, 58.680164 36.9404729)",,,,,,
528188492,residential,False,True,87.732,"LINESTRING (58.6808337 36.9399988, 58.6815727 36.9394757)",,,,,,
528188467,residential,False,True,167.982,"LINESTRING (58.6808337 36.9399988, 58.6813125 36.9404319, 58.6821117 36.9411116)",,,,,,
528188493,residential,False,False,67.906,"LINESTRING (58.6821117 36.9411116, 58.6815351 36.9415123)",,,,,,
528188493,residential,False,True,84.673,"LINESTRING (58.6821117 36.9411116, 58.6828306 36.9406119)",,,,,,
528188467,residential,False,False,167.982,"LINESTRING (58.6821117 36.9411116, 58.6813125 36.9404319, 58.6808337 36.9399988)",,,,,,
528188492,residential,False,False,92.364,"LINESTRING (58.6823457 36.9389205, 58.6815727 36.9394757)",,,,,,
528188468,residential,False,True,159.85899999999998,"LINESTRING (58.6823457 36.9389205, 58.6828092 36.9394157, 58.6834797 36.9400353)",,,,,,
528188470,residential,False,True,97.369,"LINESTRING (58.6753641 36.9436233, 58.6759213 36.9434524, 58.6763022 36.943195)",,,,,,
528188470,residential,False,False,35.962,"LINESTRING (58.679218 36.9412466, 58.6789073 36.9414538)",,,,,,
528188491,residential,False,False,28.606,"LINESTRING (58.679218 36.9412466, 58.6790362 36.9410343)",,,,,,
528188491,residential,False,True,150.276,"LINESTRING (58.679218 36.9412466, 58.6802467 36.9423192)",,,,,,
528188492,residential,False,True,120.59,"LINESTRING (58.679218 36.9412466, 58.6796675 36.9408243, 58.680164 36.9404729)",,,,,,
528188471,residential,False,True,77.414,"LINESTRING (58.6806607 36.9427981, 58.6801618 36.9433688)",,,,,,
528188484,unclassified,False,True,43.853,"LINESTRING (58.6806607 36.9427981, 58.6803605 36.9424851)",,,,,,
