osmid,oneway,name,highway,reversed,length,geometry,maxspeed,lanes,tunnel,ref,junction,bridge
60788428,True,خروجی تهران,trunk_link,False,266.324,"LINESTRING (51.0040486 35.7888632, 51.0039945 35.7890803, 51.0039913 35.7891576, 51.0039947 35.7892225, 51.0040062 35.7892873, 51.0040272 35.789347, 51.0040497 35.7893924, 51.0040897 35.7894436, 51.0041356 35.7894903, 51.0044247 35.7897123, 51.0045509 35.7898432, 51.0046964 35.790005, 51.0047762 35.7900852, 51.0048342 35.7901395, 51.0048916 35.7901899, 51.0049515 35.7902309, 51.0050425 35.7902795, 51.0051261 35.7903089, 51.0052232 35.7903296, 51.0058311 35.7903639)",,,,,,
1037470497,True,جاده ملارد,trunk,False,154.68099999999998,"LINESTRING (51.0040486 35.7888632, 51.0039106 35.7890465, 51.0037696 35.7892688, 51.0036961 35.7894893, 51.0036303 35.789713, 51.0036183 35.7897942, 51.0036104 35.7898786, 51.0036051 35.7899533, 51.0036151 35.7901798)",60,,,,,
9218999,True,جاده ملارد,trunk,False,64.688,"LINESTRING (51.0052855 35.7868547, 51.0055988 35.7863314)",60,2,,,,
60788432,True,,trunk_link,False,113.175,"LINESTRING (51.0052855 35.7868547, 51.0054553 35.7867132, 51.0055144 35.7866777, 51.0055805 35.7866503, 51.0056269 35.7866441, 51.0056689 35.7866491, 51.0057085 35.7866616, 51.0057521 35.7866849, 51.005797 35.7867223, 51.0058175 35.7867561, 51.0058273 35.7867855, 51.0058345 35.7868502, 51.0058143 35.7869233, 51.0057657 35.7869928, 51.0055904 35.7871486)",,,,,,
885078944,True,یاس,residential,False,23.589,"LINESTRING (51.0062375 35.785116, 51.0063254 35.7853158)",30,,,,,
"[306237170, 705842678, 705842679]",True,جاده ملارد,trunk,False,77.763,"LINESTRING (51.0062375 35.785116, 51.0061746 35.7854319, 51.0061445 35.7855835, 51.0061001 35.7858064)",60,,yes,,,
513084411,False,میرباقری,residential,True,67.158,"LINESTRING (51.0062405 35.7833443, 51.0054961 35.7833345)",30,,,,,
705842676,True,جاده ملارد,trunk,False,92.828,"LINESTRING (51.0062405 35.7833443, 51.0062315 35.7831687, 51.0061977 35.7825102)",60,2,,,,
466291377,True,آزادراه شهید فلاحی,motorway,False,181.989,"LINESTRING (50.9992637 35.7908377, 51.0012761 35.7907193)",100,3,,2,,
481171907,True,,trunk_link,False,332.334,"LINESTRING (50.9992637 35.7908377, 50.9993812 35.7908239, 51.0004175 35.7907017, 51.0005985 35.7906617, 51.0007729 35.7905921, 51.0009219 35.7905189, 51.0010274 35.7904556, 51.0011398 35.7903648, 51.0012392 35.7902638, 51.0014065 35.7900627, 51.0015583 35.7898856, 51.0017261 35.7897183, 51.0018466 35.7896142, 51.0019588 35.7895374, 51.0022764 35.7894007)",,,,,,
386752674,True,بلوارغربی,secondary,False,106.184,"LINESTRING (51.0029203 35.7853283, 51.0020672 35.7846703)",50,,,,,
421469504,True,میدان بنفشه,secondary,False,16.339,"LINESTRING (51.0029203 35.7853283, 51.0029827 35.7852706, 51.0030521 35.7852287)",30,,,,roundabout,
100291342,False,,residential,True,11.293,"LINESTRING (51.0012273 35.7838585, 51.0011379 35.7839296)",50,,,,,
386894575,True,بلوار بنفشه,secondary,False,81.621,"LINESTRING (51.0012273 35.7838585, 51.0018617 35.7843819)",50,,,,,
462952842,True,بلوار بنفشه,secondary,False,77.863,"LINESTRING (51.0019772 35.7845993, 51.0013715 35.7841004)",50,,,,,
465571665,True,,tertiary,False,10.108,"LINESTRING (51.0019772 35.7845993, 51.0020569 35.7845354)",50,,,,,
386894575,True,بلوار بنفشه,secondary,False,11.038,"LINESTRING (51.0020569 35.7845354, 51.0021439 35.7846052)",50,,,,,
462952841,True,فروردین ۱۲,tertiary,False,13.338000000000001,"LINESTRING (51.0000033 35.7863702, 50.9999761 35.7864215, 50.9999753 35.7864856)",40,,,,,
462952845,True,,tertiary_link,False,12.331,"LINESTRING (51.0000033 35.7863702, 50.9999692 35.786368, 50.999939 35.786355, 50.9999176 35.7863334, 50.9999085 35.7863067)",,,,,,
100291342,False,,residential,False,11.293,"LINESTRING (51.0011379 35.7839296, 51.0012273 35.7838585)",50,,,,,
462952842,True,بلوار بنفشه,secondary,False,48.369,"LINESTRING (51.0011379 35.7839296, 51.0007551 35.783625)",50,,,,,
460215518,False,,tertiary,True,10.367,"LINESTRING (50.9995037 35.7826583, 50.9996093 35.7826215)",,,,,,
317586047,False,مرداد,tertiary,False,142.026,"LINESTRING (50.9995037 35.7826583, 50.9993089 35.7828097, 50.9989184 35.7831287, 50.9983999 35.7835689)",30,,,,,
481169887,True,,secondary_link,False,23.059,"LINESTRING (50.9997929 35.7863403, 50.9999753 35.7864856)",,,,,,
100291315,True,فروردین ۱۲,tertiary,False,11.434000000000001,"LINESTRING (50.9997929 35.7863403, 50.9998492 35.7863374, 50.9999085 35.7863067)",40,,,,,
266284262,True,بلوار آخوندی -- ‫بلوار شورا,secondary,False,108.535,"LINESTRING (50.9981551 35.7852904, 50.9972894 35.7846125)",50,2,,,,
1037470497,True,جاده ملارد,trunk,False,16.961,"LINESTRING (51.0041424 35.788731, 51.0040486 35.7888632)",60,,,,,
480914851,True,,motorway_link,False,123.81700000000001,"LINESTRING (51.0012761 35.7907193, 51.0020714 35.7905917, 51.002627 35.7905229)",,2,,,,
705848735,True,آزادراه قزوین - کرج,motorway,False,581.779,"LINESTRING (51.0012761 35.7907193, 51.0057899 35.7904656, 51.0068318 35.7903991, 51.0077096 35.7903448)",120,3,,2,,
"[206947819, 206947821]",True,,trunk,False,208.29999999999998,"LINESTRING (51.0038349 35.7885668, 51.0039825 35.788478, 51.0041986 35.7883663, 51.0043474 35.7883063, 51.0045621 35.7882588, 51.0046843 35.7882498, 51.0048661 35.7882732, 51.0050092 35.7882956, 51.0051066 35.7883219, 51.0052431 35.7883728, 51.0053487 35.7884235, 51.0054296 35.7884701, 51.0055067 35.7885198, 51.0057084 35.7886495, 51.0058008 35.7887147, 51.005855 35.7887567)",,2,yes,,,
