osmid,ref,name,highway,junction,oneway,reversed,length,geometry,maxspeed,bridge
249740619,222,میدان ام الشهدا,trunk,roundabout,True,False,31.719,"LINESTRING (49.9483651 37.4146733, 49.9481858 37.4146807, 49.9480309 37.4146085)",,
249790581,,فلسطین جنوبی,secondary,,True,False,86.964,"LINESTRING (49.9483651 37.4146733, 49.948232 37.4148968, 49.948196 37.4151475, 49.9481706 37.4154293)",,
499266870,,فلسطین جنوبی,secondary,,False,True,57.122,"LINESTRING (49.9489801 37.4186537, 49.9488285 37.4181543)",,
343045116,,میدان کیاشهر,secondary,roundabout,True,False,14.424,"LINESTRING (49.9489801 37.4186537, 49.9490154 37.4186374, 49.9490551 37.4186299, 49.9490959 37.4186319, 49.9491341 37.4186433)",,
343045116,,میدان کیاشهر,secondary,roundabout,True,False,9.617,"LINESTRING (49.9489287 37.4187277, 49.9489374 37.4186997, 49.9489549 37.4186745, 49.9489801 37.4186537)",,
343045116,,میدان کیاشهر,secondary,roundabout,True,False,19.203,"LINESTRING (49.9491341 37.4186433, 49.9491684 37.4186645, 49.9491928 37.4186931, 49.9492049 37.4187263, 49.9492035 37.4187608, 49.9491887 37.4187933)",,
499266910,,سردارسلیمانی,secondary,,True,False,217.143,"LINESTRING (49.9491341 37.4186433, 49.9494037 37.4186058, 49.9500339 37.4184448, 49.950412 37.4183776, 49.9507981 37.4183341, 49.9512845 37.4183105, 49.9515428 37.4183147)",80,
499266881,,,tertiary_link,,True,False,39.326,"LINESTRING (49.9485201 37.4188683, 49.9489287 37.4187277)",,
251051399,,امام خمینی,tertiary,,False,False,71.447,"LINESTRING (49.9485201 37.4188683, 49.9479957 37.4189302, 49.9477322 37.4190027)",,
343045116,,میدان کیاشهر,secondary,roundabout,True,False,9.623,"LINESTRING (49.9491887 37.4187933, 49.9491672 37.4188165, 49.9491388 37.4188345, 49.9491055 37.4188461)",,
499266911,,امام خمینی,tertiary,,True,False,39.258,"LINESTRING (49.9489583 37.4188089, 49.9485201 37.4188683)",,
343045116,,میدان کیاشهر,secondary,roundabout,True,False,9.619,"LINESTRING (49.9489583 37.4188089, 49.9489395 37.4187842, 49.9489294 37.4187565, 49.9489287 37.4187277)",,
499266912,,فلسطین شمالی,secondary,,True,False,16.506,"LINESTRING (49.9491055 37.4188461, 49.9490778 37.4189929)",,
343045116,,میدان کیاشهر,secondary,roundabout,True,False,10.811,"LINESTRING (49.9491055 37.4188461, 49.9490651 37.4188504, 49.9490248 37.4188452, 49.9489881 37.418831)",,
121853703,,فلسطین شمالی,secondary,,False,True,9.132,"LINESTRING (49.9490489 37.4191045, 49.9490644 37.4191857)",,
1178519976,,,secondary_link,,True,False,30.882,"LINESTRING (49.9490489 37.4191045, 49.9489881 37.418831)",,
343045130,,امام خمینی دوم,residential,,False,False,16.672,"LINESTRING (49.947014 37.4191964, 49.9470479 37.4193439)",30,
251051399,,امام خمینی,tertiary,,False,False,124.241,"LINESTRING (49.947014 37.4191964, 49.9463542 37.4193583, 49.9460283 37.4194308, 49.9458204 37.4194617, 49.9456541 37.4194606)",,
251051399,,امام خمینی,tertiary,,False,True,26.718,"LINESTRING (49.947014 37.4191964, 49.9470591 37.4191881, 49.9473012 37.4191214)",,
