osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref,tunnel,bridge
524526753,False,یعقوبی,residential,30,True,166.036,"LINESTRING (51.0690769 35.7487445, 51.0699139 35.7484257, 51.0699605 35.7483877, 51.0699807 35.7483471, 51.0699943 35.7483123, 51.0700158 35.7482858, 51.0700605 35.7482599, 51.0707044 35.7481571)",,,,
523877490,False,پاسداران,residential,30,True,145.687,"LINESTRING (51.0650912 35.7505412, 51.0634889 35.7503811)",,,,
523877490,False,پاسداران,residential,30,False,147.52,"LINESTRING (51.0650912 35.7505412, 51.065439 35.750576, 51.0656977 35.7505939, 51.065846 35.7505875, 51.0659847 35.7505547, 51.0666671 35.7503405)",,,,
541102744,False,انقلاب,residential,30,True,136.851,"LINESTRING (51.0650912 35.7505412, 51.0650861 35.7504393, 51.0650808 35.7503653, 51.0650459 35.750128, 51.0649306 35.7495359, 51.0648955 35.7493216)",,,,
523877483,False,لطفی,residential,30,True,234.138,"LINESTRING (51.0648955 35.7493216, 51.0624482 35.7500208)",,,,
541102744,False,انقلاب,residential,30,True,59.782,"LINESTRING (51.0648955 35.7493216, 51.0648078 35.7487887)",,,,
523877483,False,لطفی,residential,30,False,115.35399999999998,"LINESTRING (51.0648955 35.7493216, 51.065161 35.7492457, 51.0661012 35.7489771)",,,,
541102744,False,انقلاب,residential,30,False,136.851,"LINESTRING (51.0648955 35.7493216, 51.0649306 35.7495359, 51.0650459 35.750128, 51.0650808 35.7503653, 51.0650861 35.7504393, 51.0650912 35.7505412)",,,,
523877480,False,میثاق,residential,30,False,245.134,"LINESTRING (51.0648078 35.7487887, 51.0622393 35.7495061)",,,,
541102744,False,انقلاب,residential,30,False,59.782,"LINESTRING (51.0648078 35.7487887, 51.0648955 35.7493216)",,,,
541102744,False,انقلاب,residential,30,True,112.00600000000001,"LINESTRING (51.0648078 35.7487887, 51.0647696 35.7485302, 51.0647294 35.7482581, 51.0647053 35.7479708, 51.0646918 35.7477862)",,,,
523877478,False,شاهد چهارم,residential,30,False,143.751,"LINESTRING (51.0651018 35.7482126, 51.0666111 35.7477993)",,,,
523877479,False,شاهد سوم,residential,30,False,148.871,"LINESTRING (51.0652253 35.7486623, 51.0668023 35.7482694)",,,,
683296139,False,شاهد دوم شرقی,residential,,True,112.689,"LINESTRING (51.0674816 35.7491175, 51.0662892 35.7494184)",,,,
683296140,False,شاهد اول شرقی,residential,,True,106.823,"LINESTRING (51.0676192 35.7495918, 51.06649 35.74988)",,,,
"[524526745, 524526751]",False,,residential,30,False,50.516,"LINESTRING (51.0664311 35.7549493, 51.0667732 35.7548886, 51.0668158 35.7548904, 51.066843 35.7549147, 51.0668838 35.7550119)",,,,
879193479,False,خیابان شهرداری,tertiary,40,False,12.601,"LINESTRING (51.0699352 35.7540559, 51.0698686 35.7539563)",,,,
879193479,False,خیابان شهرداری,tertiary,40,True,62.187,"LINESTRING (51.0699352 35.7540559, 51.070264 35.7545474)",,,,
"[782396962, 442709491, 472634493]",True,بلوار امیرکبیر,"['secondary', 'primary_link']",50,False,422.961,"LINESTRING (51.0692666 35.7524436, 51.0694004 35.7524146, 51.0696424 35.7523307, 51.070093 35.7521286, 51.0701726 35.7520672, 51.0702101 35.7520067, 51.0702406 35.7519411, 51.0702424 35.7518678, 51.0702337 35.7518155, 51.0702137 35.7517636, 51.0701941 35.7517048, 51.0700568 35.7513972, 51.0697886 35.7507728, 51.0697582 35.7506844, 51.0692561 35.7495528, 51.0691504 35.7492562)",,,yes,
840471808,True,کنارگذر لشگری,primary,60,False,33.891999999999996,"LINESTRING (51.0692666 35.7524436, 51.0694107 35.7523408, 51.0695719 35.7522693)",,,,
750633305,False,,residential,,True,88.424,"LINESTRING (51.0656061 35.7546465, 51.0661421 35.7553122)",,,,
524526745,False,,residential,30,False,52.708,"LINESTRING (51.0668838 35.7550119, 51.0670986 35.7554527)",,,,
750633306,False,,residential,,False,57.852,"LINESTRING (51.0668838 35.7550119, 51.0674944 35.7548533)",,,,
"[524526745, 524526751]",False,,residential,30,True,50.516000000000005,"LINESTRING (51.0668838 35.7550119, 51.066843 35.7549147, 51.0668158 35.7548904, 51.0667732 35.7548886, 51.0664311 35.7549493)",,,,
750633306,False,,residential,,True,57.852,"LINESTRING (51.0674944 35.7548533, 51.0668838 35.7550119)",,,,
491070442,False,ناصریه,tertiary,40,False,201.466,"LINESTRING (51.0657819 35.7518092, 51.0637727 35.7525991)",,,,
491070442,False,ناصریه,tertiary,40,True,124.836,"LINESTRING (51.0657819 35.7518092, 51.0670269 35.7513198)",,,,
779999413,False,,residential,,True,54.433,"LINESTRING (51.0657819 35.7518092, 51.0660695 35.7522395)",,,,
779999414,False,,residential,,True,70.57,"LINESTRING (51.0653395 35.7524671, 51.0660695 35.7522395)",,,,
779999413,False,,residential,,False,54.433,"LINESTRING (51.0660695 35.7522395, 51.0657819 35.7518092)",,,,
779999414,False,,residential,,False,70.57,"LINESTRING (51.0660695 35.7522395, 51.0653395 35.7524671)",,,,
779999414,False,,residential,,True,204.998,"LINESTRING (51.0660695 35.7522395, 51.0666034 35.7520667, 51.0674892 35.7517232, 51.0675094 35.7516959, 51.0675 35.7516637, 51.0670269 35.7513198)",,,,
491070442,False,ناصریه,tertiary,40,False,124.836,"LINESTRING (51.0670269 35.7513198, 51.0657819 35.7518092)",,,,
491070442,False,ناصریه,tertiary,40,True,165.358,"LINESTRING (51.0670269 35.7513198, 51.068676 35.7506715)",,,,
779999414,False,,residential,,False,204.998,"LINESTRING (51.0670269 35.7513198, 51.0675 35.7516637, 51.0675094 35.7516959, 51.0674892 35.7517232, 51.0666034 35.7520667, 51.0660695 35.7522395)",,,,
1258438672,False,,residential,,False,40.576,"LINESTRING (51.0712763 35.7535488, 51.0714228 35.7538938)",,,,
320364635,False,حقیقی,residential,30,True,134.87,"LINESTRING (51.0712763 35.7535488, 51.0711795 35.7535761, 51.0698686 35.7539563)",,,,
1148430148,False,,residential,,True,21.63,"LINESTRING (51.0639247 35.7519043, 51.0636857 35.7519191)",,,,
523877491,False,گلبهار,residential,30,False,76.019,"LINESTRING (51.0636857 35.7519191, 51.0637727 35.7525991)",,,,
523877491,False,گلبهار,residential,30,True,171.938,"LINESTRING (51.0636857 35.7519191, 51.0634889 35.7503811)",,,,
1148430148,False,,residential,,False,21.63,"LINESTRING (51.0636857 35.7519191, 51.0639247 35.7519043)",,,,
1258438672,False,,residential,,True,40.576,"LINESTRING (51.0714228 35.7538938, 51.0712763 35.7535488)",,,,
530893734,True,کنارگذر لشگری,primary,50,False,141.238,"LINESTRING (51.064941 35.754866, 51.0635637 35.7554694)",,,,
1268741025,True,,tertiary_link,,False,42.39,"LINESTRING (51.0653013 35.7551001, 51.065073 35.7549101, 51.064941 35.754866)",,,,
