osmid,oneway,name,highway,reversed,length,ref,junction,geometry,maxspeed
23053970,True,بلوار امام رضا,secondary,False,95.223,,,"LINESTRING (55.7165335 29.3937098, 55.7171525 29.3930446)",
375121371,True,,trunk,False,151.013,71;88,roundabout,"LINESTRING (55.7165335 29.3937098, 55.716735 29.3935801, 55.716955 29.3934774, 55.7179534 29.3931707)",
177127134,True,بلوار امامزاده علی,trunk,False,66.204,88,,"LINESTRING (55.7250294 29.3915917, 55.7243743 29.3917611)",
177127138,True,,trunk_link,False,218.744,,,"LINESTRING (55.7235084 29.3916313, 55.72509 29.391264, 55.7251582 29.3912728, 55.7252213 29.3913014, 55.7252592 29.3913388, 55.7252744 29.3913784, 55.7252668 29.3914422, 55.7252137 29.3915126, 55.7250294 29.3915917)",
452260516,True,بلوار امامزاده علی,trunk,False,240.09699999999998,71;88,,"LINESTRING (55.7243743 29.3917611, 55.7224688 29.3922531, 55.7219982 29.3923746)",
375121326,True,میدان ابوالفضل,tertiary,False,26.534,,roundabout,"LINESTRING (55.7197302 29.3852408, 55.7197478 29.3852223, 55.7197702 29.3852083, 55.719796 29.3851997, 55.7198235 29.3851971, 55.7198508 29.3852007, 55.719978 29.3852422)",
375121326,True,میدان ابوالفضل,tertiary,False,33.262,,roundabout,"LINESTRING (55.719978 29.3852422, 55.7200452 29.3852859, 55.7202448 29.3853928, 55.7202604 29.38541)",
375121349,False,,residential,True,87.802,,,"LINESTRING (55.7215259 29.385383, 55.7209053 29.3859584)",30
852560515,False,,residential,False,18.232,,,"LINESTRING (55.7215259 29.385383, 55.7213911 29.3852686)",
375121326,True,میدان ابوالفضل,tertiary,False,19.541,,roundabout,"LINESTRING (55.7202604 29.38541, 55.7202706 29.3854301, 55.7202747 29.3854518, 55.7202726 29.3854736, 55.7202643 29.3854944, 55.7202503 29.3855126, 55.7202315 29.3855273, 55.7202092 29.3855375, 55.7201846 29.3855425)",
375121438,True,بلوار امام خمینی,tertiary,False,64.644,,,"LINESTRING (55.7202604 29.38541, 55.7204739 29.3855815, 55.7207418 29.3858124)",
