osmid,oneway,ref,highway,reversed,length,name,geometry,maxspeed
199699529,True,17,primary,False,17.559,,"LINESTRING (46.3062612 33.8274242, 46.3061848 33.8275688)",
369833203,False,17,primary,True,59.122,بلوار امام خمینی,"LINESTRING (46.3062612 33.8274242, 46.3067639 33.8270951)",
369833199,True,17,primary,False,61.143,بلوار امام خمینی,"LINESTRING (46.3115527 33.8237774, 46.3110455 33.8241307)",
484597460,False,,residential,False,65.467,شهید رجایی,"LINESTRING (46.3115527 33.8237774, 46.3120236 33.8242174)",
424149806,False,,residential,True,74.715,۲۲بهمن,"LINESTRING (46.3049544 33.8244024, 46.3043687 33.8248658)",
540744265,False,,residential,False,52.951,,"LINESTRING (46.3049544 33.8244024, 46.3053382 33.8247561)",
424149815,False,,residential,False,73.444,شهید باهنر,"LINESTRING (46.3095411 33.8251698, 46.3100737 33.8256602)",
369833199,True,17,primary,False,57.42099999999999,بلوار امام خمینی,"LINESTRING (46.3095411 33.8251698, 46.3091647 33.8254263, 46.3090303 33.8254347)",
484597460,False,,residential,False,41.161,شهید رجایی,"LINESTRING (46.3133811 33.8254744, 46.3136679 33.8257577)",
484597460,False,,residential,True,44.481,شهید رجایی,"LINESTRING (46.3133811 33.8254744, 46.3130543 33.8251806)",
424149802,False,,tertiary,True,83.879,شهید چمران,"LINESTRING (46.3133811 33.8254744, 46.3127514 33.8259348, 46.3127008 33.825974)",
1075264193,False,,tertiary,False,49.87,شهید تندگویان,"LINESTRING (46.3133811 33.8254744, 46.3137713 33.8252276, 46.3138076 33.8251997)",
424149802,False,,tertiary,False,54.04,شهید چمران,"LINESTRING (46.3114664 33.8269307, 46.3118942 33.8265992)",
424149802,False,,tertiary,True,54.059,شهید چمران,"LINESTRING (46.3114664 33.8269307, 46.3110565 33.8272777)",
424149815,False,,residential,False,60.013,شهید باهنر,"LINESTRING (46.3114664 33.8269307, 46.3118889 33.8273407)",
424149815,False,,residential,True,69.035,شهید باهنر,"LINESTRING (46.3114664 33.8269307, 46.3109587 33.8264751)",
424149804,True,,tertiary,False,9.41,میدان امام,"LINESTRING (46.3061152 33.827507, 46.3061848 33.8275688)",
538778190,True,17,primary,False,16.329,,"LINESTRING (46.3061152 33.827507, 46.3062612 33.8274242)",
424149820,False,,tertiary,False,31.352,شهدا,"LINESTRING (46.3059287 33.8276289, 46.305719 33.8274072)",
