osmid,oneway,ref,name,highway,reversed,length,maxspeed,geometry,lanes,junction,bridge
432763571,True,65,بلوار امام خمینی,primary,False,18.982,,"LINESTRING (51.0809103 35.482014, 51.0807341 35.4819215)",,,
432763572,True,,بلوار آزادگان,secondary,False,25.505,50,"LINESTRING (51.0809103 35.482014, 51.080712 35.4821769)",,,
489047815,False,,شهید یادمان,residential,True,79.11,30,"LINESTRING (51.0785434 35.4842515, 51.0791705 35.4847469)",,,
263998357,True,,بلوار محسن الویری,tertiary,False,50.867999999999995,40,"LINESTRING (51.0826344 35.4796081, 51.0825393 35.479563, 51.0821402 35.4793907)",,,
555488008,True,,میدان معلم,secondary,False,8.978000000000002,30,"LINESTRING (51.0826344 35.4796081, 51.082668 35.4795784, 51.0827104 35.4795575)",2,roundabout,
555488008,True,,میدان معلم,secondary,False,10.588000000000001,30,"LINESTRING (51.0829551 35.4796757, 51.082951 35.4797232, 51.0829281 35.479767)",2,roundabout,
28758477,True,,,secondary_link,False,32.939,,"LINESTRING (51.0815111 35.4815037, 51.0813909 35.4815107, 51.0813051 35.4814408, 51.0812945 35.4813419)",,,
28758492,True,,مصلی,secondary,False,66.712,50,"LINESTRING (51.0815111 35.4815037, 51.081239 35.4818423, 51.0812345 35.4819346, 51.0812704 35.4820333)",,,
704302290,True,65,بلوار امام خمینی,primary,False,20.348,,"LINESTRING (51.0812704 35.4820333, 51.0814564 35.482136)",,,
264868319,True,,مصلی,secondary,False,46.098,50,"LINESTRING (51.0812945 35.4813419, 51.0815768 35.4809969)",,,
704302290,True,65,بلوار امام خمینی,primary,False,12.416,,"LINESTRING (51.0826333 35.4826937, 51.0827605 35.4827354)",,,
"[263991754, 1249982175]",True,,بلوار ملکی,secondary,False,40.007000000000005,50,"LINESTRING (51.0826333 35.4826937, 51.0828744 35.4825314, 51.0829742 35.4824648)",2,,
264868319,True,,مصلی,secondary,False,62.44,50,"LINESTRING (51.0808931 35.4817985, 51.0812945 35.4813419)",,,
"[264868320, 704302290]",True,65,بلوار امام خمینی,primary,False,42.998000000000005,,"LINESTRING (51.0808931 35.4817985, 51.081045 35.481893, 51.0812704 35.4820333)",,,
460514472,False,,انقلاب ۶,residential,False,73.164,30,"LINESTRING (51.0771527 35.4797445, 51.0766056 35.4802287)",,,
704302291,True,65,بلوار امام خمینی,primary,False,114.781,,"LINESTRING (51.0771527 35.4797445, 51.0761192 35.4791468)",,,
264866893,False,,امام محمد تقی,tertiary,False,39.414,30,"LINESTRING (51.0747237 35.4779829, 51.0749672 35.4776891)",,,
