osmid,highway,oneway,reversed,length,name,junction,geometry
568741066,secondary,False,True,40.26,,,"LINESTRING (54.2470199 29.0194299, 54.2466203 29.0193351)"
568741081,secondary,True,False,3.242,میدان امام خمینی,roundabout,"LINESTRING (54.2470199 29.0194299, 54.2470385 29.0194057)"
568741066,secondary,False,True,38.8,,,"LINESTRING (54.243204 29.0196284, 54.2428391 29.0197696)"
568741066,secondary,False,False,118.18299999999999,,,"LINESTRING (54.243204 29.0196284, 54.2432829 29.0195972, 54.2435352 29.0195114, 54.2437332 29.0194325, 54.2443719 29.0193899)"
568744829,residential,False,False,94.97500000000001,,,"LINESTRING (54.243204 29.0196284, 54.2431197 29.0193873, 54.243076 29.0192855, 54.2430289 29.0192127, 54.2428574 29.0190392, 54.2427192 29.0189054)"
568741071,tertiary,False,False,12.606,خیابان امام حسین,,"LINESTRING (54.2442251 29.0222838, 54.2441379 29.0223677)"
568741067,tertiary,False,True,141.251,,,"LINESTRING (54.2442251 29.0222838, 54.2450049 29.0230004, 54.2452591 29.0231725)"
568741071,tertiary,False,True,158.101,خیابان امام حسین,,"LINESTRING (54.2442251 29.0222838, 54.2450709 29.0214917, 54.2453335 29.0212435)"
568741067,tertiary,False,False,14.359,,,"LINESTRING (54.2461241 29.023811, 54.2460156 29.0237234)"
568741067,tertiary,False,True,28.368,,,"LINESTRING (54.2461241 29.023811, 54.2462318 29.0240481)"
568743214,residential,False,True,46.598,,,"LINESTRING (54.2461241 29.023811, 54.2461583 29.023393)"
568741075,tertiary,False,False,12.784,,,"LINESTRING (54.2480026 29.0194338, 54.2481112 29.0194986)"
568741077,residential,False,True,63.118,,,"LINESTRING (54.2480026 29.0194338, 54.2485403 29.0191158)"
568741075,tertiary,False,True,49.617,,,"LINESTRING (54.2480026 29.0194338, 54.247678 29.0193276, 54.2475742 29.0192169)"
568741067,tertiary,False,False,28.368,,,"LINESTRING (54.2462318 29.0240481, 54.2461241 29.023811)"
568741067,tertiary,False,True,85.809,,,"LINESTRING (54.2462318 29.0240481, 54.2469177 29.0235625)"
568743222,residential,False,False,167.212,,,"LINESTRING (54.2462318 29.0240481, 54.2448734 29.0249703)"
568743237,tertiary,False,False,58.447,,,"LINESTRING (54.2462318 29.0240481, 54.2462818 29.0243021, 54.2463267 29.0245671)"
568741071,tertiary,False,False,138.326,خیابان امام حسین,,"LINESTRING (54.2471005 29.0195451, 54.2469977 29.0197048, 54.2463863 29.020248, 54.2461545 29.0204672)"
568741081,secondary,True,False,17.326,میدان امام خمینی,roundabout,"LINESTRING (54.2471005 29.0195451, 54.2470453 29.0195259, 54.2470143 29.0194816, 54.2470199 29.0194299)"
568741065,tertiary,False,True,48.958,,,"LINESTRING (54.2502103 29.0210792, 54.2505431 29.0207488)"
568741067,tertiary,False,False,122.026,,,"LINESTRING (54.2502103 29.0210792, 54.2499189 29.0211461, 54.2494433 29.0215706, 54.2492349 29.0217263)"
568741075,tertiary,False,True,58.61,,,"LINESTRING (54.2502103 29.0210792, 54.2498785 29.0208794, 54.2497309 29.0207615)"
568741081,secondary,True,False,17.0,میدان امام خمینی,roundabout,"LINESTRING (54.2470385 29.0194057, 54.2470901 29.0193821, 54.2471478 29.0193895, 54.2471893 29.0194253)"
568744811,residential,False,True,53.111,,,"LINESTRING (54.2470385 29.0194057, 54.2471043 29.0192177, 54.2468477 29.0190485)"
568741066,secondary,False,False,53.211,,,"LINESTRING (54.2423269 29.0199381, 54.2428391 29.0197696)"
568741068,secondary,False,True,44.727000000000004,بلوار بسیج,,"LINESTRING (54.2471893 29.0194253, 54.2473422 29.0193824, 54.2475742 29.0192169)"
568741081,secondary,True,False,18.836000000000002,میدان امام خمینی,roundabout,"LINESTRING (54.2471893 29.0194253, 54.2471974 29.0194813, 54.2471623 29.0195287, 54.2471005 29.0195451)"
568741075,tertiary,False,False,40.94,,,"LINESTRING (54.2488673 29.020169, 54.2492276 29.0203595)"
568743225,residential,False,False,96.197,,,"LINESTRING (54.2488673 29.020169, 54.2481527 29.0207673)"
568741075,tertiary,False,True,57.98,,,"LINESTRING (54.2488673 29.020169, 54.2485592 29.0199112, 54.2484487 29.0197984)"
568741075,tertiary,False,False,42.405,,,"LINESTRING (54.2492276 29.0203595, 54.2495496 29.0206167)"
568741075,tertiary,False,True,40.94,,,"LINESTRING (54.2492276 29.0203595, 54.2488673 29.020169)"
568743214,residential,False,False,106.324,,,"LINESTRING (54.2492276 29.0203595, 54.2485403 29.0211032)"
568741068,secondary,False,False,44.727000000000004,بلوار بسیج,,"LINESTRING (54.2475742 29.0192169, 54.2473422 29.0193824, 54.2471893 29.0194253)"
