osmid,oneway,name,highway,junction,reversed,length,geometry,bridge,maxspeed
95411266,True,ميدان امام خمینی,secondary,roundabout,False,32.778,"LINESTRING (57.5103003 37.076368, 57.5103284 37.0764225, 57.5103353 37.0764812, 57.5103205 37.076539, 57.5102852 37.0765908, 57.5102325 37.0766321)",,
829371025,True,امام رضا,secondary,,False,92.592,"LINESTRING (57.5103003 37.076368, 57.5106462 37.0761898, 57.5109218 37.0760478, 57.5110407 37.0759865, 57.5111793 37.0759191)",,
95411445,True,بلوار فرومندی,tertiary,,False,90.275,"LINESTRING (57.5122951 37.0712614, 57.5117829 37.0719629)",,
442964625,False,فرومندی ۱۸,residential,,True,66.467,"LINESTRING (57.5122951 37.0712614, 57.5128926 37.071622)",,
95411377,True,امام خمینی,secondary,,False,54.358,"LINESTRING (57.5088625 37.0750412, 57.5089796 37.0751791, 57.5090807 37.0752981, 57.5092082 37.0754448)",,
829371025,True,امام رضا,secondary,,False,14.055,"LINESTRING (57.5124021 37.0753238, 57.5125362 37.0752565)",,
488123471,False,امام رضا ۱۰,residential,,False,106.367,"LINESTRING (57.5124021 37.0753238, 57.5125301 37.0753963, 57.5126696 37.0754562, 57.5134807 37.0757358)",,
"[95411368, 95411214]",False,معلم,secondary,,True,85.008,"LINESTRING (57.508855 37.0770594, 57.5091024 37.076942, 57.5096787 37.0766688)",yes,20
95411298,False,معلم,secondary,,False,56.579,"LINESTRING (57.508855 37.0770594, 57.5083371 37.0773049, 57.5083067 37.0773193)",,20
488124420,True,شهید قزی,residential,,False,304.11400000000003,"LINESTRING (57.508855 37.0770594, 57.509766 37.0776212, 57.5098939 37.0777437, 57.5100901 37.0780979, 57.5102007 37.0784628, 57.5101738 37.0786908, 57.5101336 37.0789475, 57.5100195 37.0793437)",,
95411368,False,معلم,secondary,,False,20.067,"LINESTRING (57.5098704 37.076573, 57.5096787 37.0766688)",,20
95411266,True,ميدان امام خمینی,secondary,roundabout,False,32.702,"LINESTRING (57.5098704 37.076573, 57.5098423 37.0765187, 57.5098352 37.0764601, 57.5098498 37.0764025, 57.5098849 37.0763507, 57.5099373 37.0763093)",,
95411377,True,امام خمینی,secondary,,False,32.997,"LINESTRING (57.5067919 37.0725333, 57.5068862 37.0727051, 57.5069406 37.0728053)",,
488123390,False,امام خمینی ۳۳,residential,,False,87.11399999999999,"LINESTRING (57.5067919 37.0725333, 57.5069327 37.0724798, 57.507453 37.0722166, 57.5076166 37.0721117)",,
211335739,False,,secondary_link,,True,10.416,"LINESTRING (57.5041814 37.0737285, 57.504281 37.0736789)",,
1208487662,False,طالقانی جنوبی,tertiary,,False,80.287,"LINESTRING (57.5102325 37.0766321, 57.5108138 37.0771855)",,20
