osmid,highway,oneway,reversed,length,geometry,junction,ref
926802597,residential,False,False,24.479,"LINESTRING (45.9399512 35.9396329, 45.9397792 35.9394624)",,
926802597,residential,False,True,53.315,"LINESTRING (45.9399512 35.9396329, 45.9403259 35.9400042)",,
"[926802610, 1095803052]",residential,False,False,152.163,"LINESTRING (45.9399512 35.9396329, 45.939339 35.9400339, 45.939921 35.9405926)",,
926802589,residential,False,True,41.076,"LINESTRING (45.9342702 35.9400043, 45.9346768 35.9398367)",,
926802587,residential,False,False,38.803,"LINESTRING (45.9346096 35.939492, 45.9346768 35.9398367)",,
926802601,residential,False,False,153.387,"LINESTRING (45.9346096 35.939492, 45.9350511 35.9393403, 45.9357658 35.9388337, 45.9360001 35.9387183)",,
926802601,residential,False,True,187.11100000000002,"LINESTRING (45.9346096 35.939492, 45.9344476 35.9383039, 45.9345899 35.9378303)",,
926802587,residential,False,True,55.559,"LINESTRING (45.9347718 35.9403304, 45.9346768 35.9398367)",,
926802604,residential,False,False,145.175,"LINESTRING (45.9347718 35.9403304, 45.9363614 35.9401108)",,
926802587,residential,False,False,168.78700000000003,"LINESTRING (45.9347718 35.9403304, 45.934969 35.9413399, 45.9347755 35.9414466, 45.9344029 35.9414999)",,
926802591,residential,False,False,13.327,"LINESTRING (45.9363442 35.9379148, 45.9362267 35.9379877)",,
926802591,residential,False,True,55.844,"LINESTRING (45.9363442 35.9379148, 45.9366079 35.9377511, 45.9367419 35.9375447)",,
926802603,residential,False,False,87.388,"LINESTRING (45.9363442 35.9379148, 45.9361187 35.9373859, 45.936159 35.9371619)",,
926802603,residential,False,True,91.747,"LINESTRING (45.9363442 35.9379148, 45.9367 35.9382166, 45.9369539 35.9385689)",,
926802591,residential,False,False,51.356,"LINESTRING (45.9362267 35.9379877, 45.9356742 35.9381026)",,
926802591,residential,False,True,13.327,"LINESTRING (45.9362267 35.9379877, 45.9363442 35.9379148)",,
926802613,residential,False,True,72.413,"LINESTRING (45.9362267 35.9379877, 45.9366197 35.9385559)",,
926802613,residential,False,False,139.65,"LINESTRING (45.9362267 35.9379877, 45.935728 35.9375531, 45.9353595 35.9376791, 45.9350543 35.9374473)",,
926802598,residential,False,False,89.481,"LINESTRING (45.9352386 35.935702, 45.9347019 35.9363793)",,
926802587,residential,False,True,168.787,"LINESTRING (45.9344029 35.9414999, 45.9347755 35.9414466, 45.934969 35.9413399, 45.9347718 35.9403304)",,
926802594,residential,True,False,8.768,"LINESTRING (45.9347923 35.9376815, 45.9347668 35.9377576)",roundabout,
926802600,residential,False,False,35.136,"LINESTRING (45.9347923 35.9376815, 45.9350543 35.9374473)",,
926802592,residential,False,True,66.449,"LINESTRING (45.936159 35.9371619, 45.9368366 35.9373988)",,
926802603,residential,False,False,38.575,"LINESTRING (45.936159 35.9371619, 45.9362207 35.9368186)",,
926802592,residential,False,False,104.745,"LINESTRING (45.936159 35.9371619, 45.9356962 35.9372419, 45.9350543 35.9374473)",,
926802603,residential,False,True,87.388,"LINESTRING (45.936159 35.9371619, 45.9361187 35.9373859, 45.9363442 35.9379148)",,
926802609,residential,False,True,20.734,"LINESTRING (45.939921 35.9405926, 45.9397206 35.9406845)",,
"[926802610, 1095803052]",residential,False,True,152.163,"LINESTRING (45.939921 35.9405926, 45.939339 35.9400339, 45.9399512 35.9396329)",,
926802591,residential,False,True,18.327,"LINESTRING (45.9367419 35.9375447, 45.9368366 35.9373988)",,
926802591,residential,False,False,55.844,"LINESTRING (45.9367419 35.9375447, 45.9366079 35.9377511, 45.9363442 35.9379148)",,
926802593,residential,False,True,180.42499999999998,"LINESTRING (45.9367419 35.9375447, 45.9369351 35.9378305, 45.9372877 35.93817, 45.9373861 35.9386561, 45.9369539 35.9385689)",,
