osmid,oneway,name,highway,reversed,length,junction,geometry,lanes,ref,maxspeed
305780887,True,شهید سلیمانی,tertiary,False,65.256,,"LINESTRING (54.9865619 37.0089895, 54.9861218 37.0094595)",,,
305780889,True,میدان حکیم میرفندرسکی,trunk,False,38.167,roundabout,"LINESTRING (54.985585 37.0092368, 54.9857202 37.0092383, 54.985839 37.0092667, 54.9859362 37.0093114, 54.9859897 37.0093302)",,,
305780874,True,شهید سلیمانی,tertiary,False,63.377,,"LINESTRING (54.9859897 37.0093302, 54.9861849 37.009214, 54.9865619 37.0089895)",,,
305780889,True,میدان حکیم میرفندرسکی,trunk,False,18.591,roundabout,"LINESTRING (54.9859897 37.0093302, 54.9860848 37.0094157, 54.9861218 37.0094595)",,,
938041888,True,میدان حکیم میرفندرسکی,trunk,False,24.285,roundabout,"LINESTRING (54.9853832 37.0093742, 54.9854624 37.0092852, 54.985585 37.0092368)",,,
938045090,True,آزادشهر - علی آباد - گرگان,trunk,False,98.149,,"LINESTRING (54.9853832 37.0093742, 54.9851999 37.0091154, 54.9847234 37.0086706)",2,22,60
305780889,True,میدان حکیم میرفندرسکی,trunk,False,44.678,roundabout,"LINESTRING (54.9861218 37.0094595, 54.9861903 37.0095494, 54.9862303 37.0096331, 54.9862466 37.0097313, 54.9862272 37.0098381)",,,
938041888,True,میدان حکیم میرفندرسکی,trunk,False,50.655,roundabout,"LINESTRING (54.9855256 37.0097966, 54.9854645 37.0097356, 54.9854201 37.0096629, 54.9853802 37.0095792, 54.9853638 37.009481, 54.9853832 37.0093742)",,,
305780889,True,میدان حکیم میرفندرسکی,trunk,False,24.285,roundabout,"LINESTRING (54.9862272 37.0098381, 54.986148 37.0099271, 54.9860254 37.0099755)",,,
936313400,True,آزادشهر - علی آباد - گرگان,trunk,False,100.725,,"LINESTRING (54.9862272 37.0098381, 54.9864047 37.0100844, 54.9864417 37.0101189, 54.9869115 37.0105563)",,22,60
305780879,True,,tertiary,False,52.408,,"LINESTRING (54.9856742 37.0099008, 54.9851913 37.0101718)",,,
938041888,True,میدان حکیم میرفندرسکی,trunk,False,17.667,roundabout,"LINESTRING (54.9856742 37.0099008, 54.9855913 37.0098543, 54.9855256 37.0097966)",,,
938041888,True,میدان حکیم میرفندرسکی,trunk,False,32.982,roundabout,"LINESTRING (54.9860254 37.0099755, 54.9858902 37.009974, 54.9857714 37.0099456, 54.9856742 37.0099008)",,,
305780854,False,سعدی,tertiary,False,23.679,,"LINESTRING (54.9851913 37.0101718, 54.9850322 37.0103427)",,,
936301835,True,,tertiary,False,12.188,,"LINESTRING (54.9851913 37.0101718, 54.9852709 37.0100825)",,,
305780854,False,سعدی,tertiary,True,55.382,,"LINESTRING (54.9838069 37.0116465, 54.9841865 37.0112513)",,,
940424030,False,بیست و دو بهمن,residential,True,42.406,,"LINESTRING (54.9838069 37.0116465, 54.9839541 37.0120093)",,,
936710034,False,بیست و دو بهمن ۳,residential,True,81.25,,"LINESTRING (54.9838069 37.0116465, 54.9835201 37.0117539, 54.9832228 37.0117623, 54.982922 37.0117652)",,,
"[936306714, 940424030]",False,"['استاد شهریار', 'بیست و دو بهمن']",residential,"[False, True]",59.676,,"LINESTRING (54.9838069 37.0116465, 54.983583 37.0113248, 54.9835425 37.0111593)",,,
305780860,False,خیابان هفده شهریور,tertiary,False,237.657,,"LINESTRING (54.9890345 37.0125372, 54.9894951 37.0122197, 54.9896564 37.0120691, 54.9897525 37.0118863, 54.9902311 37.0106909)",,,
936313400,True,آزادشهر - علی آباد - گرگان,trunk,False,96.785,,"LINESTRING (54.9890345 37.0125372, 54.9891626 37.0126567, 54.9897434 37.0131984)",,22,60
938041889,False,ولیعصر,residential,False,132.402,,"LINESTRING (54.9866574 37.0104807, 54.9863335 37.0110775, 54.986093 37.0115825)",,,
1033777670,True,آزادشهر - علی‌ آباد - گرگان,trunk,False,79.89,,"LINESTRING (54.9866574 37.0104807, 54.9863494 37.0101858, 54.9863107 37.0101487, 54.9860254 37.0099755)",,22,60
397823319,False,ولیعصر,residential,False,13.834,,"LINESTRING (54.9855261 37.0140803, 54.9855773 37.0141978)",,,
