osmid,name,highway,oneway,reversed,length,junction,geometry
133412018,امام خمینی,tertiary,False,False,4.098,,"LINESTRING (49.9039998 36.2913046, 49.9040061 36.2913411)"
133412018,امام خمینی,tertiary,False,True,38.758,,"LINESTRING (49.9039998 36.2913046, 49.9039264 36.2909611)"
134420254,ایثار دوم,residential,False,True,6.069,,"LINESTRING (49.9039998 36.2913046, 49.9039506 36.2913421)"
133412018,امام خمینی,tertiary,False,False,82.299,,"LINESTRING (49.9040712 36.2917181, 49.9042086 36.2924499)"
133412018,امام خمینی,tertiary,False,True,42.325,,"LINESTRING (49.9040712 36.2917181, 49.9040061 36.2913411)"
134420253,ایثار سوم,residential,False,True,61.278,,"LINESTRING (49.9040712 36.2917181, 49.9035514 36.2920761)"
134420248,امام حسین,residential,False,False,46.301,,"LINESTRING (49.895233 36.2918068, 49.8957495 36.2918153)"
1104858963,بوستان سیزدهم,residential,False,False,116.043,,"LINESTRING (49.895233 36.2918068, 49.8954127 36.2907733)"
134420248,امام حسین,residential,False,False,44.802,,"LINESTRING (49.8957495 36.2918153, 49.8962399 36.2918934)"
134420248,امام حسین,residential,False,True,46.301,,"LINESTRING (49.8957495 36.2918153, 49.895233 36.2918068)"
134420269,بوستان دوازدهم,residential,False,False,124.348,,"LINESTRING (49.8957495 36.2918153, 49.8960074 36.2907165)"
134420248,امام حسین,residential,False,False,44.561,,"LINESTRING (49.8962399 36.2918934, 49.8967334 36.2919422)"
134420248,امام حسین,residential,False,True,44.802,,"LINESTRING (49.8962399 36.2918934, 49.8957495 36.2918153)"
134420275,بوستان یازدهم,residential,False,False,139.196,,"LINESTRING (49.8962399 36.2918934, 49.8965543 36.2906675)"
134420248,امام حسین,residential,False,False,45.847,,"LINESTRING (49.8967334 36.2919422, 49.8972416 36.2919893)"
134420248,امام حسین,residential,False,True,44.561,,"LINESTRING (49.8967334 36.2919422, 49.8962399 36.2918934)"
134420266,بوستان دهم,residential,False,False,153.078,,"LINESTRING (49.8967334 36.2919422, 49.8971654 36.2906103)"
134420248,امام حسین,residential,False,False,47.171,,"LINESTRING (49.8972416 36.2919893, 49.8977567 36.2920764)"
134420248,امام حسین,residential,False,True,45.847,,"LINESTRING (49.8972416 36.2919893, 49.8967334 36.2919422)"
134420262,بوستان نهم,residential,False,False,161.421,,"LINESTRING (49.8972416 36.2919893, 49.8976928 36.2905839)"
134420248,امام حسین,residential,False,False,41.901,,"LINESTRING (49.8977567 36.2920764, 49.8982201 36.2921263)"
134420248,امام حسین,residential,False,True,47.171,,"LINESTRING (49.8977567 36.2920764, 49.8972416 36.2919893)"
134420283,بوستان هشتم,residential,False,False,176.009,,"LINESTRING (49.8977567 36.2920764, 49.8981996 36.2905343)"
134420298,,residential,False,True,59.5,,"LINESTRING (49.9017164 36.2922482, 49.902239 36.2919182)"
732946032,شهید بابایی,residential,False,False,44.942,,"LINESTRING (49.9017164 36.2922482, 49.9014914 36.2926094)"
842205573,شهید بابایی,residential,False,True,30.888,,"LINESTRING (49.9017164 36.2922482, 49.9017624 36.2919729)"
134420248,امام حسین,residential,False,False,43.455,,"LINESTRING (49.8992032 36.2922681, 49.8996878 36.2922808)"
134420248,امام حسین,residential,False,True,45.455,,"LINESTRING (49.8992032 36.2922681, 49.8987027 36.292202)"
134420285,بوستان ششم,residential,False,False,180.609,,"LINESTRING (49.8992032 36.2922681, 49.8997919 36.2907147)"
732946022,گلستان ششم,residential,False,False,243.515,,"LINESTRING (49.8992032 36.2922681, 49.8983526 36.294348)"
134420248,امام حسین,residential,False,False,40.236,,"LINESTRING (49.8996878 36.2922808, 49.9001287 36.292349)"
134420248,امام حسین,residential,False,True,43.455,,"LINESTRING (49.8996878 36.2922808, 49.8992032 36.2922681)"
134420271,بوستان پنجم,residential,False,False,188.747,,"LINESTRING (49.8996878 36.2922808, 49.9003198 36.2906616)"
732946021,گلستان پنجم,residential,False,False,239.568,,"LINESTRING (49.8996878 36.2922808, 49.8987927 36.2943109)"
134420248,امام حسین,residential,False,False,25.366,,"LINESTRING (49.9001287 36.292349, 49.9004001 36.2924137)"
134420248,امام حسین,residential,False,True,40.236,,"LINESTRING (49.9001287 36.292349, 49.8996878 36.2922808)"
134420264,بوستان چهارم,residential,False,False,207.344,,"LINESTRING (49.9001287 36.292349, 49.9008695 36.2905825)"
732946020,گلستان چهارم,residential,False,False,228.738,,"LINESTRING (49.9001287 36.292349, 49.8992355 36.294276)"
134420248,امام حسین,residential,False,False,24.884,,"LINESTRING (49.9004001 36.2924137, 49.9006719 36.2924594)"
134420248,امام حسین,residential,False,True,25.366,,"LINESTRING (49.9004001 36.2924137, 49.9001287 36.292349)"
134420258,گلستان سوم,residential,False,True,215.848,,"LINESTRING (49.9004001 36.2924137, 49.8995723 36.2942366)"
842205546,بوستان سوم,residential,False,False,222.996,,"LINESTRING (49.9004001 36.2924137, 49.9012342 36.2905243)"
134420248,امام حسین,residential,False,False,30.633,,"LINESTRING (49.9006719 36.2924594, 49.9009975 36.2925432)"
134420248,امام حسین,residential,False,True,24.884,,"LINESTRING (49.9006719 36.2924594, 49.9004001 36.2924137)"
134420280,بوستان دوم,residential,False,False,67.752,,"LINESTRING (49.9006719 36.2924594, 49.9009126 36.2918818)"
732946019,گلستان دوم,residential,False,False,208.2,,"LINESTRING (49.9006719 36.2924594, 49.8998573 36.2942129)"
133347039,سردار شهید سلیمانی,tertiary,False,False,49.16,,"LINESTRING (49.9021687 36.2928259, 49.9016452 36.2926939)"
133347039,سردار شهید سلیمانی,tertiary,False,True,37.669,,"LINESTRING (49.9021687 36.2928259, 49.9025593 36.292951)"
134420254,ایثار دوم,residential,False,False,229.623,,"LINESTRING (49.9021687 36.2928259, 49.9039506 36.2913421)"
133347039,سردار شهید سلیمانی,tertiary,False,False,37.669,,"LINESTRING (49.9025593 36.292951, 49.9021687 36.2928259)"
133347039,سردار شهید سلیمانی,tertiary,False,True,29.278,,"LINESTRING (49.9025593 36.292951, 49.9028629 36.2930482)"
134420253,ایثار سوم,residential,False,False,60.4,,"LINESTRING (49.9025593 36.292951, 49.9030052 36.2925437)"
1004678738,بابایی,tertiary,False,False,22.259,,"LINESTRING (49.9006193 36.2941687, 49.9005096 36.2943483)"
1004678738,بابایی,tertiary,False,True,179.01799999999997,,"LINESTRING (49.9006193 36.2941687, 49.9006897 36.2940785, 49.901347 36.2928249, 49.9014443 36.292706)"
134420247,دکتر حسابی,tertiary,True,False,25.292,,"LINESTRING (49.8998573 36.2942129, 49.9001378 36.2941879)"
732946019,گلستان دوم,residential,False,True,208.2,,"LINESTRING (49.8998573 36.2942129, 49.9006719 36.2924594)"
134420247,دکتر حسابی,tertiary,True,False,25.678,,"LINESTRING (49.8995723 36.2942366, 49.8998573 36.2942129)"
134420258,گلستان سوم,residential,False,False,215.848,,"LINESTRING (49.8995723 36.2942366, 49.9004001 36.2924137)"
134420296,بلوار دکتر حسابی,tertiary,True,False,17.602,,"LINESTRING (49.9005096 36.2943483, 49.9003149 36.2943275)"
1004678738,بابایی,tertiary,False,True,22.259,,"LINESTRING (49.9005096 36.2943483, 49.9006193 36.2941687)"
134420247,دکتر حسابی,tertiary,True,False,30.501,,"LINESTRING (49.8992355 36.294276, 49.8995723 36.2942366)"
732946020,گلستان چهارم,residential,False,True,228.738,,"LINESTRING (49.8992355 36.294276, 49.9001287 36.292349)"
134420247,دکتر حسابی,tertiary,True,False,39.874,,"LINESTRING (49.8987927 36.2943109, 49.8992355 36.294276)"
732946021,گلستان پنجم,residential,False,True,239.568,,"LINESTRING (49.8987927 36.2943109, 49.8996878 36.2922808)"
134420247,دکتر حسابی,tertiary,True,False,39.658,,"LINESTRING (49.8983526 36.294348, 49.8987927 36.2943109)"
732946022,گلستان ششم,residential,False,True,243.515,,"LINESTRING (49.8983526 36.294348, 49.8992032 36.2922681)"
134420240,,residential,False,True,44.775,,"LINESTRING (49.9020049 36.29049, 49.9015064 36.2905164)"
732946031,شهید بابایی,residential,False,False,46.727,,"LINESTRING (49.9020049 36.29049, 49.9019148 36.2909039)"
134420240,,residential,False,False,105.729,,"LINESTRING (49.9020049 36.29049, 49.9023736 36.2905161, 49.9031775 36.2904391)"
134420248,امام حسین,residential,False,False,44.064,,"LINESTRING (49.8982201 36.2921263, 49.8987027 36.292202)"
