osmid,lanes,highway,oneway,reversed,length,name,maxspeed,geometry,bridge,junction
325011140,2,secondary,False,False,18.521,,,"LINESTRING (47.7421839 39.0436849, 47.7421423 39.0435215)",,
325011163,2,secondary,True,False,98.53999999999999,خیابان سپهبد شهید حاج قاسم سلیمانی,45,"LINESTRING (47.7421839 39.0436849, 47.7423663 39.0441705, 47.7424835 39.0445398)",,
"[445739312, 445739310]",2,secondary,False,True,108.024,,,"LINESTRING (47.741884 39.042571, 47.7420366 39.0431124, 47.7421423 39.0435215)",yes,
899753772,2,secondary,True,False,112.73100000000001,خیابان سپهبد شهید حاج قاسم سلیمانی,45,"LINESTRING (47.741884 39.042571, 47.7417512 39.0421862, 47.7415992 39.0415822)",,
567921913,,tertiary,True,False,34.077,خیابان جانبازان,,"LINESTRING (47.7468635 39.0414068, 47.7468769 39.0414954, 47.7467908 39.0417021)",,
325011130,,secondary,True,False,17.801000000000002,میدان نماز,,"LINESTRING (47.7440363 39.045842, 47.7440341 39.045802, 47.7440489 39.0457637, 47.7440791 39.0457312, 47.7441213 39.0457083)",,roundabout
325011135,2,secondary,True,False,312.45899999999995,خیابان سپهبد شهید حاج قاسم سلیمانی,45,"LINESTRING (47.7440363 39.045842, 47.7439116 39.0457665, 47.743789 39.045731, 47.743674 39.045702, 47.743511 39.045657, 47.743347 39.045599, 47.74317 39.045521, 47.743009 39.045413, 47.742872 39.045286, 47.742708 39.045125, 47.742564 39.04495, 47.7423793 39.0446486, 47.742203 39.044128, 47.7421839 39.0436849)",,
325011130,,secondary,True,False,7.734,میدان نماز,,"LINESTRING (47.7440788 39.0459024, 47.7440519 39.0458746, 47.7440363 39.045842)",,roundabout
325011130,,secondary,True,False,12.974,میدان نماز,,"LINESTRING (47.7443305 39.0457698, 47.7443425 39.0458075, 47.7443383 39.0458463, 47.7443184 39.045882)",,roundabout
325011180,2,secondary,True,False,164.387,خیابان سپهبد شهید حاج قاسم سلیمانی,45,"LINESTRING (47.7443305 39.0457698, 47.7445662 39.045788, 47.7446655 39.0457868, 47.7458559 39.0457412, 47.746231 39.0457275)",,
325011130,,secondary,True,False,8.550999999999998,میدان نماز,,"LINESTRING (47.7442658 39.0457129, 47.7443041 39.0457373, 47.7443305 39.0457698)",,roundabout
445739300,,residential,False,False,142.825,امام خمینی,,"LINESTRING (47.7442658 39.0457129, 47.7447091 39.0450064, 47.7449771 39.0445534)",,
325011130,,secondary,True,False,10.437000000000001,میدان نماز,,"LINESTRING (47.744188 39.0459374, 47.7441481 39.0459333, 47.7441108 39.0459214, 47.7440788 39.0459024)",,roundabout
992179396,,tertiary,True,False,140.29500000000002,,,"LINESTRING (47.744188 39.0459374, 47.7436817 39.0465368, 47.7433078 39.0469978)",,
325011130,,secondary,True,False,13.32,میدان نماز,,"LINESTRING (47.7443184 39.045882, 47.7442838 39.0459115, 47.7442387 39.0459307, 47.744188 39.0459374)",,roundabout
325011130,,secondary,True,False,12.94,میدان نماز,,"LINESTRING (47.7441213 39.0457083, 47.7441693 39.0456975, 47.7442192 39.045699, 47.7442658 39.0457129)",,roundabout
325011163,2,secondary,True,False,202.328,خیابان سپهبد شهید حاج قاسم سلیمانی,45,"LINESTRING (47.7424835 39.0445398, 47.742578 39.0447396, 47.7427555 39.0449862, 47.7428971 39.0451456, 47.743117 39.0453467, 47.7433873 39.0454832, 47.7437309 39.0456072, 47.7439491 39.0456843, 47.7441213 39.0457083)",,
445739302,,residential,False,False,151.664,,,"LINESTRING (47.7424835 39.0445398, 47.7435353 39.0445288, 47.744239 39.0445066)",,
899753772,2,secondary,True,False,74.111,خیابان سپهبد شهید حاج قاسم سلیمانی,45,"LINESTRING (47.7415992 39.0415822, 47.7414345 39.0409281)",,
992179394,,tertiary,True,False,15.304,,,"LINESTRING (47.7414785 39.0492025, 47.7415118 39.049193, 47.7415472 39.0491919, 47.7415813 39.0491993, 47.7416108 39.0492146, 47.7416328 39.0492362)",,roundabout
992179395,,tertiary,True,False,239.744,,,"LINESTRING (47.7414785 39.0492025, 47.7417612 39.0488593, 47.742328 39.0480628, 47.7424491 39.0478927, 47.7429005 39.0473522)",,
445739264,,residential,False,False,92.18,خیابان معلم,,"LINESTRING (47.7416314 39.0493242, 47.7424431 39.0495528, 47.742554 39.0495877, 47.7426379 39.0495808)",,
992179394,,tertiary,True,False,5.101,,,"LINESTRING (47.7416314 39.0493242, 47.7416131 39.0493422, 47.7415895 39.049356)",,roundabout
445739264,,residential,False,False,32.481,خیابان معلم,,"LINESTRING (47.7426379 39.0495808, 47.7429207 39.0493882)",,
445739264,,residential,False,True,92.18,خیابان معلم,,"LINESTRING (47.7426379 39.0495808, 47.742554 39.0495877, 47.7424431 39.0495528, 47.7416314 39.0493242)",,
445739264,,residential,False,False,24.977,خیابان معلم,,"LINESTRING (47.7439866 39.0486565, 47.7441875 39.0484949)",,
445739264,,residential,False,True,37.869,خیابان معلم,,"LINESTRING (47.7439866 39.0486565, 47.7436582 39.0488822)",,
445739307,,residential,False,True,157.969,,,"LINESTRING (47.7439866 39.0486565, 47.7427032 39.048592, 47.7422 39.0484331)",,
445739264,,residential,False,False,49.903,خیابان معلم,,"LINESTRING (47.7452355 39.047725, 47.7457192 39.0474873, 47.7457238 39.047485)",,
445739264,,residential,False,True,109.91,خیابان معلم,,"LINESTRING (47.7452355 39.047725, 47.7449887 39.0478783, 47.7446826 39.0480968, 47.7443068 39.048399)",,
445739306,,residential,False,True,92.81099999999999,,,"LINESTRING (47.7452355 39.047725, 47.7451474 39.0476688, 47.7444324 39.0475074, 47.7442329 39.0474428)",,
445739276,,secondary,True,False,6.924,میدان شهید مرحمت بالازاده,,"LINESTRING (47.7469479 39.0458045, 47.7469162 39.0458235, 47.7468781 39.0458333)",,roundabout
445739276,,secondary,True,False,16.743000000000002,میدان شهید مرحمت بالازاده,,"LINESTRING (47.7469356 39.0456698, 47.7469613 39.0456924, 47.7469762 39.0457202, 47.746979 39.0457502, 47.7469692 39.0457793, 47.7469479 39.0458045)",,roundabout
445739276,,secondary,True,False,8.159,میدان شهید مرحمت بالازاده,,"LINESTRING (47.7467787 39.0456753, 47.7467908 39.045666, 47.7468256 39.0456528, 47.746864 39.0456489)",,roundabout
445739267,2,secondary,True,False,123.83000000000001,خیابان سپهبد شهید حاج قاسم سلیمانی,45,"LINESTRING (47.7468004 39.045822, 47.7465518 39.0458229, 47.7453677 39.0458642)",,
445739276,,secondary,True,False,19.080000000000002,میدان شهید مرحمت بالازاده,,"LINESTRING (47.7468004 39.045822, 47.7467695 39.0458022, 47.7467488 39.0457755, 47.7467406 39.045745, 47.7467459 39.0457141, 47.7467633 39.0456872, 47.7467787 39.0456753)",,roundabout
445739264,,residential,False,True,86.851,خیابان معلم,,"LINESTRING (47.7468781 39.0458333, 47.7469902 39.0459543, 47.7467805 39.0464675, 47.7467336 39.0465537)",,
445739276,,secondary,True,False,6.925000000000001,میدان شهید مرحمت بالازاده,,"LINESTRING (47.7468781 39.0458333, 47.746838 39.0458328, 47.7468004 39.045822)",,roundabout
445739276,,secondary,True,False,6.694,میدان شهید مرحمت بالازاده,,"LINESTRING (47.746864 39.0456489, 47.746902 39.0456548, 47.7469356 39.0456698)",,roundabout
445739280,,tertiary,False,False,50.206,خیابان جانبازان,,"LINESTRING (47.746864 39.0456489, 47.7469168 39.045438, 47.7469589 39.0452036)",,
445739280,,tertiary,False,True,149.62099999999998,خیابان جانبازان,,"LINESTRING (47.746433 39.0424902, 47.746397 39.0426159, 47.7465948 39.0431698, 47.7468298 39.0437853)",,
445739284,,tertiary,True,False,54.358000000000004,خیابان جانبازان,,"LINESTRING (47.746433 39.0424902, 47.7464148 39.042428, 47.7465705 39.0420205)",,
445739287,,tertiary_link,False,False,7.22,,,"LINESTRING (47.7466509 39.0420383, 47.7465705 39.0420205)",,
567921913,,tertiary,True,False,54.03,خیابان جانبازان,,"LINESTRING (47.7466509 39.0420383, 47.7464839 39.0424393, 47.746433 39.0424902)",,
445739287,,tertiary_link,False,True,7.22,,,"LINESTRING (47.7465705 39.0420205, 47.7466509 39.0420383)",,
445739284,,tertiary,True,False,74.294,خیابان جانبازان,,"LINESTRING (47.7465705 39.0420205, 47.7467896 39.0414474, 47.7468635 39.0414068)",,
445739303,,residential,False,False,59.792,,,"LINESTRING (47.7465705 39.0420205, 47.7461759 39.0420616, 47.7459057 39.042152)",,
445739300,,residential,False,True,86.656,امام خمینی,,"LINESTRING (47.7459057 39.042152, 47.7459103 39.0424761, 47.7458179 39.0429256)",,
445739303,,residential,False,False,79.22500000000001,,,"LINESTRING (47.7459057 39.042152, 47.7457561 39.042152, 47.7450245 39.0419712)",,
445739303,,residential,False,True,59.792,,,"LINESTRING (47.7459057 39.042152, 47.7461759 39.0420616, 47.7465705 39.0420205)",,
445739302,,residential,False,True,63.955,,,"LINESTRING (47.7449771 39.0445534, 47.744239 39.0445066)",,
445739300,,residential,False,False,195.681,امام خمینی,,"LINESTRING (47.7449771 39.0445534, 47.7452112 39.0441655, 47.7456453 39.0434188, 47.7457916 39.0430543, 47.7458179 39.0429256)",,
445739300,,residential,False,True,142.825,امام خمینی,,"LINESTRING (47.7449771 39.0445534, 47.7447091 39.0450064, 47.7442658 39.0457129)",,
445739302,,residential,False,False,138.777,,,"LINESTRING (47.7449771 39.0445534, 47.7451533 39.0445733, 47.7453071 39.0445087, 47.7463572 39.0439763)",,
445739280,,tertiary,False,True,11.077,خیابان جانبازان,,"LINESTRING (47.7468298 39.0437853, 47.7468663 39.0438808)",,
445739280,,tertiary,False,False,149.62099999999998,خیابان جانبازان,,"LINESTRING (47.7468298 39.0437853, 47.7465948 39.0431698, 47.746397 39.0426159, 47.746433 39.0424902)",,
445739302,,residential,False,True,46.039,,,"LINESTRING (47.7468298 39.0437853, 47.7464087 39.0439502, 47.7463572 39.0439763)",,
445739303,,residential,False,False,207.527,,,"LINESTRING (47.7450245 39.0419712, 47.744879 39.0419389, 47.7445506 39.0418098, 47.7438273 39.0414191, 47.7434865 39.0412835, 47.7428796 39.0413804)",,
445739303,,residential,False,True,79.22500000000001,,,"LINESTRING (47.7450245 39.0419712, 47.7457561 39.042152, 47.7459057 39.042152)",,
445739303,,residential,False,True,207.52700000000002,,,"LINESTRING (47.7428796 39.0413804, 47.7434865 39.0412835, 47.7438273 39.0414191, 47.7445506 39.0418098, 47.744879 39.0419389, 47.7450245 39.0419712)",,
445739306,,residential,False,False,93.972,,,"LINESTRING (47.7433078 39.0469978, 47.7442329 39.0474428)",,
992179396,,tertiary,True,False,186.16500000000002,,,"LINESTRING (47.7433078 39.0469978, 47.7430612 39.0473019, 47.7425948 39.0478724, 47.7424301 39.0481069, 47.742315 39.0482708, 47.7422 39.0484331)",,
445739306,,residential,False,True,93.972,,,"LINESTRING (47.7442329 39.0474428, 47.7433078 39.0469978)",,
578143594,,residential,False,True,51.09,,,"LINESTRING (47.7442329 39.0474428, 47.7445751 39.047068)",,
