osmid,name,highway,maxspeed,oneway,reversed,length,geometry,junction
460913375,,residential,30,False,False,162.896,"LINESTRING (51.5276453 32.5510035, 51.5277158 32.5510438, 51.5278552 32.5511933, 51.5280453 32.551487, 51.528115 32.5514683, 51.5282512 32.5514096, 51.5283304 32.5514282, 51.5284602 32.5513935, 51.5286946 32.5513081, 51.5287992 32.5512467, 51.5289671 32.5511506)",
460913374,شهید آیت الله صدوقی,residential,30,False,False,23.625,"LINESTRING (51.5289671 32.5511506, 51.5290612 32.5513477)",
460913374,شهید آیت الله صدوقی,residential,30,False,True,159.799,"LINESTRING (51.5289671 32.5511506, 51.5289195 32.550993, 51.5286132 32.5506046, 51.528441 32.5503539, 51.5282114 32.550024, 51.5281209 32.5499115)",
460913375,,residential,30,False,True,162.896,"LINESTRING (51.5289671 32.5511506, 51.5287992 32.5512467, 51.5286946 32.5513081, 51.5284602 32.5513935, 51.5283304 32.5514282, 51.5282512 32.5514096, 51.528115 32.5514683, 51.5280453 32.551487, 51.5278552 32.5511933, 51.5277158 32.5510438, 51.5276453 32.5510035)",
529410222,,residential,30,False,False,167.716,"LINESTRING (51.5362195 32.5434336, 51.5357739 32.5437335, 51.5355673 32.5437741, 51.5352782 32.5439656, 51.5351077 32.5440788, 51.5347761 32.5442991)",
460915263,,residential,30,False,False,37.149,"LINESTRING (51.5341212 32.543535, 51.5342069 32.5436604, 51.5343543 32.5438033)",
460915263,,residential,30,False,True,70.825,"LINESTRING (51.5341212 32.543535, 51.5340877 32.5435631, 51.5338627 32.5436604, 51.5336454 32.5437398, 51.5335486 32.5437606, 51.5334347 32.5437324)",
1126008999,,residential,30,False,True,21.166,"LINESTRING (51.5341212 32.543535, 51.534161 32.5434977, 51.5342925 32.5434119)",
460915263,,residential,30,False,False,68.27600000000001,"LINESTRING (51.5343543 32.5438033, 51.5345532 32.5439916, 51.5346127 32.5440479, 51.5347761 32.5442991)",
460915263,,residential,30,False,True,37.149,"LINESTRING (51.5343543 32.5438033, 51.5342069 32.5436604, 51.5341212 32.543535)",
460915263,,residential,30,False,False,161.317,"LINESTRING (51.5347761 32.5442991, 51.5349127 32.5444677, 51.5347858 32.5445812, 51.5347627 32.5446201, 51.5346511 32.5446963, 51.5343396 32.5448925, 51.534155 32.5450238, 51.5339935 32.5451664, 51.5338121 32.5452914)",
460915263,,residential,30,False,True,68.27600000000001,"LINESTRING (51.5347761 32.5442991, 51.5346127 32.5440479, 51.5345532 32.5439916, 51.5343543 32.5438033)",
529410222,,residential,30,False,True,167.716,"LINESTRING (51.5347761 32.5442991, 51.5351077 32.5440788, 51.5352782 32.5439656, 51.5355673 32.5437741, 51.5357739 32.5437335, 51.5362195 32.5434336)",
460915264,,residential,30,False,True,80.395,"LINESTRING (51.5347336 32.5448947, 51.5344929 32.5451164, 51.5341724 32.5454412)",
460915265,,residential,30,False,False,126.546,"LINESTRING (51.5332566 32.544906, 51.5333272 32.5447772, 51.5334507 32.5446063, 51.5335838 32.5444675, 51.533777 32.5443847, 51.5339639 32.5442726, 51.5341888 32.544123)",
529241556,بوستان,residential,30,False,False,48.461,"LINESTRING (51.5332566 32.544906, 51.5334616 32.5449751, 51.5335237 32.5450176, 51.5336442 32.5451, 51.5336805 32.5451414)",
529241556,بوستان,residential,30,False,True,15.361999999999998,"LINESTRING (51.5332566 32.544906, 51.5332148 32.5448919, 51.5330984 32.5448716)",
460915265,,residential,30,False,True,126.546,"LINESTRING (51.5341888 32.544123, 51.5339639 32.5442726, 51.533777 32.5443847, 51.5335838 32.5444675, 51.5334507 32.5446063, 51.5333272 32.5447772, 51.5332566 32.544906)",
460915266,,residential,30,False,False,135.472,"LINESTRING (51.5330984 32.5448716, 51.5330548 32.5450202, 51.5328996 32.5451965, 51.5327317 32.5453353, 51.5326271 32.5453754, 51.5325891 32.5453593, 51.5324783 32.5454501, 51.5324054 32.5454875, 51.5323135 32.5454475, 51.5322375 32.5454982, 51.5321235 32.545605)",
529241556,بوستان,residential,30,False,False,15.361999999999998,"LINESTRING (51.5330984 32.5448716, 51.5332148 32.5448919, 51.5332566 32.544906)",
529241556,بوستان,residential,30,False,True,56.287,"LINESTRING (51.5330984 32.5448716, 51.53281 32.5448212, 51.5325089 32.5447754)",
460915266,,residential,30,False,True,135.47200000000004,"LINESTRING (51.5321235 32.545605, 51.5322375 32.5454982, 51.5323135 32.5454475, 51.5324054 32.5454875, 51.5324783 32.5454501, 51.5325891 32.5453593, 51.5326271 32.5453754, 51.5327317 32.5453353, 51.5328996 32.5451965, 51.5330548 32.5450202, 51.5330984 32.5448716)",
529241557,,residential,30,False,False,39.92,"LINESTRING (51.5321235 32.545605, 51.5319651 32.5454795, 51.5317913 32.5453824)",
