osmid,oneway,lanes,name,highway,reversed,length,maxspeed,geometry,junction,bridge,ref
119890243,True,2,جمهوری,primary,False,70.303,,"LINESTRING (50.8800441 36.8157891, 50.8807089 36.8154478)",,,
753834619,True,2,انقلاب,primary,False,7.707,80,"LINESTRING (50.8799368 36.815924, 50.8798851 36.8158684)",,,
119890287,True,2,جمهوری,primary,False,125.59,,"LINESTRING (50.8799368 36.815924, 50.8798059 36.815999, 50.8796902 36.8160804, 50.8794567 36.8163024, 50.8789953 36.8167587)",,,
123779066,True,,امام خمینی,primary,False,67.864,,"LINESTRING (50.8768974 36.8188662, 50.8773579 36.8183798)",,,
123778961,True,2,میدان امام خمینی,primary,False,9.251000000000001,,"LINESTRING (50.8768974 36.8188662, 50.8769437 36.8188851, 50.8769807 36.8189143)",roundabout,,
123778961,True,2,میدان امام خمینی,primary,False,13.193,,"LINESTRING (50.8769311 36.8191124, 50.8768999 36.8191236, 50.8768436 36.819131, 50.8767875 36.8191231)",roundabout,,
123778961,True,2,میدان امام خمینی,primary,False,25.174,,"LINESTRING (50.8769807 36.8189143, 50.877005 36.8189512, 50.8770141 36.8189921, 50.8770073 36.8190334, 50.8769852 36.8190711, 50.8769311 36.8191124)",roundabout,,
123778961,True,2,میدان امام خمینی,primary,False,18.518,,"LINESTRING (50.8767022 36.8190691, 50.8766809 36.8190311, 50.876675 36.8189897, 50.8766851 36.8189489, 50.8767101 36.8189124)",roundabout,,
123778961,True,2,میدان امام خمینی,primary,False,9.809999999999999,,"LINESTRING (50.8767875 36.8191231, 50.8767393 36.8191017, 50.8767022 36.8190691)",roundabout,,
620651751,True,2,امام خمینی,primary,False,117.242,,"LINESTRING (50.8759022 36.8199067, 50.8760651 36.8197375, 50.8765966 36.8191799, 50.8767022 36.8190691)",,,
739514426,True,,خیابان علامه تنکابنی,residential,False,277.57399999999996,30,"LINESTRING (50.8732501 36.8175752, 50.873579 36.8178403, 50.8742908 36.8184794, 50.8744155 36.8185903, 50.8752002 36.8192884, 50.8753503 36.8194198)",,,
128342146,True,,طلوعی,residential,False,37.424,30,"LINESTRING (50.8753503 36.8194198, 50.8750318 36.8196395)",,,
739514426,True,,خیابان علامه تنکابنی,residential,False,73.108,30,"LINESTRING (50.8753503 36.8194198, 50.8755594 36.8196043, 50.8759022 36.8199067)",,,
128357591,True,,,residential,False,55.895,30,"LINESTRING (50.8761451 36.8170055, 50.8757547 36.8173992)",,,
128357599,False,2,شهید رزاقی,tertiary,False,305.89099999999996,30,"LINESTRING (50.8761451 36.8170055, 50.8755426 36.8166866, 50.8747704 36.8162841, 50.8747085 36.8162257, 50.8745247 36.8159391, 50.8744075 36.8156184, 50.874366 36.8155649, 50.873757 36.8151516)",,,
130141883,False,2,,tertiary,False,26.884,30,"LINESTRING (50.8761451 36.8170055, 50.8762817 36.816912, 50.8763474 36.8169119, 50.8764016 36.8169249)",,,
123779066,True,,امام خمینی,primary,False,48.56,,"LINESTRING (50.8773579 36.8183798, 50.8776914 36.8180342)",,,
128438566,True,2,خیابان طالقانی,primary,False,136.82,,"LINESTRING (50.8751978 36.8179545, 50.8745551 36.8175246, 50.874019 36.8171649)",,,
128357596,True,,,residential,False,74.412,30,"LINESTRING (50.8733338 36.8157287, 50.873757 36.8151516)",,,
379452792,False,,,residential,False,24.971,30,"LINESTRING (50.8733338 36.8157287, 50.8730916 36.8156154)",,,
128357599,False,2,شهید رزاقی,tertiary,False,53.548,30,"LINESTRING (50.873757 36.8151516, 50.87328 36.8148582)",,,
128357599,False,2,شهید رزاقی,tertiary,True,305.89099999999996,30,"LINESTRING (50.873757 36.8151516, 50.874366 36.8155649, 50.8744075 36.8156184, 50.8745247 36.8159391, 50.8747085 36.8162257, 50.8747704 36.8162841, 50.8755426 36.8166866, 50.8761451 36.8170055)",,,
128357601,True,,انقلاب,residential,False,82.257,30,"LINESTRING (50.874019 36.8171649, 50.8732501 36.8175752)",,,
128438566,True,2,خیابان طالقانی,primary,False,30.174,,"LINESTRING (50.874019 36.8171649, 50.8737543 36.8169954)",,,
128357596,True,,,residential,False,123.999,30,"LINESTRING (50.8732832 36.8166865, 50.8736021 36.8161667, 50.8736396 36.816025, 50.8735804 36.8159151, 50.8733338 36.8157287)",,,
128357590,True,,شهید بخشی,residential,False,78.545,30,"LINESTRING (50.8766395 36.8179548, 50.8760924 36.818509)",,,
128357595,True,,امیرکبیر,residential,False,36.497,30,"LINESTRING (50.8766395 36.8179548, 50.8769705 36.8181485)",,,
128812480,False,,آلاله,residential,False,25.648,30,"LINESTRING (50.8823644 36.8122003, 50.8824021 36.8121073, 50.8824163 36.8119749)",,,
231375095,False,,شهید تلاتری,tertiary,False,198.84199999999998,30,"LINESTRING (50.8823644 36.8122003, 50.8819036 36.8115985, 50.881797 36.8114949, 50.8813541 36.8112837, 50.8808186 36.810963)",,,
231375095,False,,شهید تلاتری,tertiary,True,41.218,30,"LINESTRING (50.8823644 36.8122003, 50.8824196 36.8123887, 50.8824856 36.8125578)",,,
123778937,True,2,جمهوری,primary,False,98.208,,"LINESTRING (50.8817468 36.8150079, 50.8808156 36.8154815)",,,
128375365,False,,زندی,residential,True,162.404,30,"LINESTRING (50.8817468 36.8150079, 50.883039 36.8160389)",,,
128375369,False,2,میرزای شیرازی,secondary,False,83.923,,"LINESTRING (50.882511 36.8172956, 50.8831132 36.8169727, 50.8832943 36.8168756)",,,
128375369,False,2,میرزای شیرازی,secondary,True,113.302,,"LINESTRING (50.882511 36.8172956, 50.8821702 36.8174959, 50.8816928 36.8176274, 50.8815965 36.8176314, 50.8814478 36.8176086, 50.8813505 36.8176065)",,,
231375002,False,,,residential,True,62.554,30,"LINESTRING (50.882511 36.8172956, 50.8821961 36.8170452, 50.8823755 36.8168958)",,,
231375097,False,,,residential,True,77.775,30,"LINESTRING (50.882511 36.8172956, 50.8827541 36.8175555, 50.8829979 36.8176593, 50.8831609 36.8177405)",,,
128375377,False,,ناصر پورتقی,residential,True,90.267,30,"LINESTRING (50.8756622 36.8132193, 50.876073 36.8135925, 50.8762739 36.8138626)",,,
377716414,False,,شهید فلاح,residential,False,109.311,30,"LINESTRING (50.8756622 36.8132193, 50.8758093 36.8128157, 50.8759195 36.8126777, 50.8760632 36.8125894, 50.8763414 36.8124677)",,,
528697221,False,,عینی,residential,True,17.314,30,"LINESTRING (50.8756622 36.8132193, 50.8755957 36.8132669, 50.8754953 36.8132923)",,,
128375362,True,2,بلوار هشتم شهریور,tertiary,False,97.686,,"LINESTRING (50.8808374 36.8179992, 50.8816119 36.8184901, 50.8817184 36.8185106)",,,
128375369,False,2,میرزای شیرازی,secondary,False,63.495999999999995,,"LINESTRING (50.8808374 36.8179992, 50.8811458 36.8177261, 50.8813505 36.8176065)",,,
128375377,False,,ناصر پورتقی,residential,False,95.277,30,"LINESTRING (50.878118 36.816372, 50.8774199 36.8157225)",,,
618829111,False,,نسیم,residential,False,64.741,,"LINESTRING (50.878118 36.816372, 50.8783513 36.816142, 50.8783379 36.8160604, 50.8781823 36.8158993)",,,
784214160,False,1,,residential,True,64.458,20,"LINESTRING (50.878118 36.816372, 50.8781159 36.8164419, 50.8781729 36.8165247, 50.8785577 36.8168031)",,,
128375376,True,1,ناصر پورتقی,residential,False,4.746,30,"LINESTRING (50.8789571 36.8167921, 50.8789154 36.8167655)",,,
