osmid,name,highway,oneway,reversed,length,ref,geometry,junction,maxspeed
175277329,خیابان ابن سینا,tertiary,False,False,49.475,,"LINESTRING (45.9746537 37.9384878, 45.9747305 37.938047)",,
319372731,امام خمینی,trunk,True,False,142.028,16;21,"LINESTRING (45.9746537 37.9384878, 45.9759621 37.9385912, 45.9762667 37.9385913)",,
319384891,امام خمینی,trunk,True,False,52.271,16;21,"LINESTRING (45.9799513 37.9388958, 45.9805438 37.938947)",,
319384893,خاقانی,tertiary,False,False,184.209,,"LINESTRING (45.9799513 37.9388958, 45.9798223 37.9372423)",,
899725081,,tertiary,False,False,12.013,,"LINESTRING (45.9799513 37.9388958, 45.9799422 37.9390036)",,
319465577,میدان شهرداری,trunk,True,False,29.5,16;21,"LINESTRING (45.9848523 37.9393576, 45.9849059 37.9394063, 45.9849193 37.9394697, 45.9848737 37.939529, 45.9847986 37.9395607)",roundabout,
319465577,میدان شهرداری,trunk,True,False,8.712,16;21,"LINESTRING (45.9847986 37.9395607, 45.9846994 37.9395649)",roundabout,
319384890,امام خمینی,trunk,True,False,44.94,16;21,"LINESTRING (45.9799422 37.9390036, 45.9794334 37.9389554)",,
319388793,خیابان شهید بهشتی,tertiary,True,False,75.743,,"LINESTRING (45.9799422 37.9390036, 45.9797484 37.9396674)",,
899725081,,tertiary,False,True,12.013,,"LINESTRING (45.9799422 37.9390036, 45.9799513 37.9388958)",,
319384885,میدان صائب تبریزی,trunk,True,False,14.958,16;21,"LINESTRING (45.9764868 37.9387568, 45.9764042 37.9387849, 45.9763236 37.9387844)",roundabout,
319384885,میدان صائب تبریزی,trunk,True,False,6.805,16;21,"LINESTRING (45.9763236 37.9387844, 45.9762536 37.938758)",roundabout,
175277289,خیابان صائب شمالی,tertiary,False,True,123.762,,"LINESTRING (45.9763236 37.9387844, 45.9760707 37.9393232, 45.9757926 37.939815)",,
175277309,هفده شهریور,tertiary,False,False,74.331,,"LINESTRING (45.9846994 37.9395649, 45.9845047 37.9402155)",,
319465577,میدان شهرداری,trunk,True,False,8.562,16;21,"LINESTRING (45.9846994 37.9395649, 45.9846082 37.9395374)",roundabout,
175277329,خیابان ابن سینا,tertiary,False,True,33.734,,"LINESTRING (45.9752602 37.9350076, 45.9752132 37.9353087)",,
175277329,خیابان ابن سینا,tertiary,False,False,106.865,,"LINESTRING (45.9749924 37.9365441, 45.9751584 37.935592)",,
175277329,خیابان ابن سینا,tertiary,False,True,23.166,,"LINESTRING (45.9749924 37.9365441, 45.9749565 37.9367505)",,
