osmid,name,highway,oneway,reversed,length,maxspeed,junction,geometry
69709818,امیرقلی,tertiary,False,True,91.477,,,"LINESTRING (45.97632 37.7607268, 45.9773566 37.7607989)"
993401600,,primary,True,False,31.067,,,"LINESTRING (45.97632 37.7607268, 45.9763788 37.7604513)"
176783751,تازا خیابان,secondary,False,True,83.531,,,"LINESTRING (45.9767103 37.7588076, 45.9757656 37.758727)"
254389134,خیابان امام,primary,True,False,124.593,50,,"LINESTRING (45.9767103 37.7588076, 45.9769489 37.7577031)"
254468274,میدان امام حسین,tertiary_link,True,False,13.8,,roundabout,"LINESTRING (45.9840448 37.7570121, 45.984021 37.7570639, 45.983967 37.7571181)"
254389466,,secondary,True,False,67.006,,,"LINESTRING (45.9758383 37.7546422, 45.9755556 37.7549017, 45.9754544 37.7549992, 45.9753679 37.7550448, 45.9753039 37.7550558)"
983875444,,secondary,False,True,60.372,,,"LINESTRING (45.9758383 37.7546422, 45.976247 37.7543422, 45.9762962 37.7542479)"
369586687,رضایی,secondary,False,False,14.536,,,"LINESTRING (45.9745528 37.7551145, 45.9744159 37.7551878)"
369586687,رضایی,secondary,False,True,3.978,,,"LINESTRING (45.9745528 37.7551145, 45.9745934 37.7550987)"
582002861,کوی سپیده,residential,False,False,88.582,,,"LINESTRING (45.9745528 37.7551145, 45.9744519 37.7550045, 45.9743433 37.754943, 45.9741227 37.7548571, 45.9737662 37.754632)"
69709818,امیرقلی,tertiary,False,False,116.254,,,"LINESTRING (45.9824839 37.7610577, 45.9811679 37.7609545)"
436729272,,tertiary,True,False,18.299,,,"LINESTRING (45.9824839 37.7610577, 45.9824889 37.7610225, 45.982519 37.7609512, 45.9825543 37.760905)"
983875441,,secondary,True,False,11.928,,,"LINESTRING (45.975093 37.7550848, 45.9750767 37.7550514, 45.9750778 37.7550157, 45.9750961 37.754983)"
983875443,,secondary,True,False,43.952000000000005,,,"LINESTRING (45.975093 37.7550848, 45.9748348 37.7550936, 45.9747084 37.7550971, 45.9745934 37.7550987)"
254360557,میدان ساعت,primary,True,False,40.352000000000004,,roundabout,"LINESTRING (45.9775976 37.755875, 45.9775622 37.755942, 45.977503 37.7559975, 45.9774256 37.7560364, 45.9773369 37.7560552, 45.9772452 37.7560522)"
