osmid,name,highway,junction,oneway,reversed,length,geometry,lanes,bridge,maxspeed
196924502,میدان امام خمینی,primary,roundabout,True,False,47.918,"LINESTRING (48.3736349 34.1856234, 48.3735777 34.1856952, 48.3734982 34.1857508, 48.3734031 34.1857859, 48.3732997 34.1857974, 48.3731965 34.1857843)",,,
196924595,پیروزی,secondary,,True,False,95.173,"LINESTRING (48.3731965 34.1857843, 48.3728808 34.1865994)",2,,
196924502,میدان امام خمینی,primary,roundabout,True,False,14.940000000000001,"LINESTRING (48.3731965 34.1857843, 48.3731218 34.1857578, 48.3730561 34.1857184)",,,
196924502,میدان امام خمینی,primary,roundabout,True,False,22.378,"LINESTRING (48.3730561 34.1857184, 48.3730024 34.1856681, 48.3729634 34.1856092, 48.3729411 34.1855448)",,,
196924502,میدان امام خمینی,primary,roundabout,True,False,25.116999999999997,"LINESTRING (48.3729411 34.1855448, 48.372937 34.1854696, 48.3729554 34.1853957, 48.3729951 34.1853281)",,,
196924503,بلوار کمربندی,secondary,,True,False,59.028999999999996,"LINESTRING (48.3729411 34.1855448, 48.3727545 34.1854833, 48.3723174 34.1854357)",,,
196924502,میدان امام خمینی,primary,roundabout,True,False,27.362000000000002,"LINESTRING (48.3729951 34.1853281, 48.3730599 34.185266, 48.3731425 34.1852205, 48.3732366 34.1851949)",,,
196924502,میدان امام خمینی,primary,roundabout,True,False,33.667,"LINESTRING (48.3732366 34.1851949, 48.3733339 34.1851896, 48.3734138 34.1852041, 48.3735022 34.1852407, 48.3735709 34.185286)",,,
196924502,میدان امام خمینی,primary,roundabout,True,False,19.741,"LINESTRING (48.3735709 34.185286, 48.373632 34.1853589, 48.3736651 34.1854434)",,,
196924502,میدان امام خمینی,primary,roundabout,True,False,20.444000000000003,"LINESTRING (48.3736651 34.1854434, 48.3736667 34.1855353, 48.3736349 34.1856234)",,,
196924507,بلوار بهشتی,secondary,,True,False,144.294,"LINESTRING (48.3736651 34.1854434, 48.3738085 34.1854861, 48.3752127 34.1856389)",2,,
671045274,رسالت,tertiary,,False,False,133.373,"LINESTRING (48.3766314 34.1859096, 48.3764432 34.1870989)",2,,
671045275,,secondary_link,,False,False,12.801,"LINESTRING (48.3766314 34.1859096, 48.3766499 34.1857955)",,,
196924506,بلوار بهشتی,secondary,,True,False,277.87100000000004,"LINESTRING (48.3766314 34.1859096, 48.3737766 34.185608, 48.3736349 34.1856234)",,,
196924507,بلوار بهشتی,secondary,,True,False,15.216,"LINESTRING (48.3766499 34.1857955, 48.3768143 34.1858107)",2,,
671045275,,secondary_link,,False,True,12.801,"LINESTRING (48.3766499 34.1857955, 48.3766314 34.1859096)",,,
1260638408,رسالت,tertiary,,False,True,23.419,"LINESTRING (48.3760964 34.1892903, 48.376134 34.189082)",2,,
1260638409,رسالت,tertiary,,False,False,7.569,"LINESTRING (48.3760964 34.1892903, 48.3760463 34.1893443)",2,,
712244324,,secondary_link,,False,False,10.565,"LINESTRING (48.3741805 34.1914786, 48.3742478 34.1914016)",,,
551951830,بلوار شهید حیدری,secondary,,True,False,85.227,"LINESTRING (48.3741805 34.1914786, 48.3739154 34.1911178, 48.3737013 34.1908226)",2,,
196924564,فاطمیه,tertiary,,True,False,26.115,"LINESTRING (48.3730443 34.1927783, 48.3732107 34.192588)",,,
490435113,خیابان شریعتی,tertiary,,True,False,42.527,"LINESTRING (48.3730443 34.1927783, 48.3731776 34.1929154, 48.3732083 34.1929465, 48.3733356 34.1930753)",,,
1137172085,خیابان شریعتی,tertiary,,False,True,109.03399999999999,"LINESTRING (48.3730443 34.1927783, 48.3724258 34.1923769, 48.3721044 34.1921809)",,,
460215757,خیابان پیروزی,secondary,,False,True,9.861,"LINESTRING (48.3714964 34.1893045, 48.3715483 34.1892269)",,,
460215759,معلم,secondary,,True,False,102.624,"LINESTRING (48.3714964 34.1893045, 48.3711415 34.1891724, 48.3708902 34.1890838, 48.3704731 34.1889368)",,,
460215760,پیروزی,secondary,,True,False,95.237,"LINESTRING (48.3714964 34.1893045, 48.3714219 34.1894159, 48.3711968 34.1897039, 48.3709432 34.1900282)",2,,
460215761,خیابان آزادگان,secondary,,True,False,11.526,"LINESTRING (48.3704731 34.1889368, 48.3705176 34.1888399)",,,
460215757,خیابان پیروزی,secondary,,False,False,9.861,"LINESTRING (48.3715483 34.1892269, 48.3714964 34.1893045)",,,
460215758,بلوار شهید حیدری,secondary,,True,False,25.07,"LINESTRING (48.3715483 34.1892269, 48.3717967 34.1893197)",2,,
1023888573,خیابان شریعتی,tertiary,,True,False,17.918,"LINESTRING (48.3706534 34.1907484, 48.3708086 34.1908458)",,,
