osmid,oneway,lanes,name,highway,junction,reversed,length,geometry,maxspeed
776148872,True,2,خیابان آیت الله کاشانی,secondary,yes,False,26.749000000000002,"LINESTRING (51.4424333 33.9869404, 51.4426142 33.9870282, 51.4426837 33.9870619)",
778467243,True,,,secondary_link,,False,33.098,"LINESTRING (51.4424333 33.9869404, 51.4424957 33.9869503, 51.4425749 33.9869458, 51.4426406 33.9869369, 51.4427835 33.9869005)",
447887376,False,2,خیابان غزنوی,tertiary,,False,58.706,"LINESTRING (51.4398208 33.9868394, 51.4401333 33.9863794)",
447887376,False,2,خیابان غزنوی,tertiary,,True,103.776,"LINESTRING (51.4398208 33.9868394, 51.4390009 33.9874788)",
339088882,False,,شهدای دانش آموز,residential,,True,136.47,"LINESTRING (51.4398208 33.9868394, 51.4409176 33.9874391, 51.4410491 33.9873546)",30
259541477,True,,خیابان سپاه,residential,,False,127.413,"LINESTRING (51.4388008 33.9876262, 51.4400176 33.9881694)",30
339131037,False,,کوچه پناهنده,residential,,False,18.462,"LINESTRING (51.4388008 33.9876262, 51.4386532 33.987514)",30
447887376,False,2,خیابان غزنوی,tertiary,,False,24.678,"LINESTRING (51.4388008 33.9876262, 51.4390009 33.9874788)",
447887376,False,2,خیابان غزنوی,tertiary,,True,57.212,"LINESTRING (51.4388008 33.9876262, 51.4383224 33.9879539)",
259553999,False,2,خیابان بهشتی,secondary,,True,29.792,"LINESTRING (51.4408683 33.9900988, 51.4410411 33.9898724)",
525217619,False,2,خیابان بهشتی,secondary,,False,30.515,"LINESTRING (51.4408683 33.9900988, 51.4407553 33.9901744, 51.4406024 33.9902619)",
259554000,False,2,خیابان جانبازان,tertiary,,False,64.38,"LINESTRING (51.4388542 33.9910551, 51.4388143 33.9909989, 51.4384842 33.9905641)",
297817835,False,2,شاهد,tertiary,,True,80.343,"LINESTRING (51.4388542 33.9910551, 51.4388793 33.9911053, 51.4391257 33.9917415)",50
525217619,False,2,خیابان بهشتی,secondary,,False,69.34100000000001,"LINESTRING (51.4388542 33.9910551, 51.4387879 33.991084, 51.4381972 33.9913586)",
525217619,False,2,خیابان بهشتی,secondary,,True,29.554000000000002,"LINESTRING (51.4388542 33.9910551, 51.4389091 33.9910326, 51.4391398 33.9909344)",
297778026,False,,شهید عبدالباقی,tertiary,,True,55.456,"LINESTRING (51.4477751 33.991652, 51.4479684 33.9914628, 51.4481426 33.9912578)",30
339084444,False,,شریعت۴,residential,,False,38.638999999999996,"LINESTRING (51.4477751 33.991652, 51.4476936 33.9915768, 51.4474976 33.9913916)",30
297778025,False,,خیابان شریعتی,tertiary,,True,69.649,"LINESTRING (51.4455033 33.991344, 51.4460444 33.9909069)",
339083619,False,,شریعت ۸,tertiary,,True,54.187,"LINESTRING (51.4455033 33.991344, 51.4459618 33.9916489)",30
297778025,False,,خیابان شریعتی,tertiary,,False,47.519,"LINESTRING (51.4455033 33.991344, 51.4453194 33.9915009, 51.4451355 33.9916432)",
339306610,False,,,residential,,False,32.165,"LINESTRING (51.4448988 33.9853915, 51.4450527 33.9851319)",30
427982037,False,,پنجه شاه ۴۳,residential,,False,32.062,"LINESTRING (51.4448988 33.9853915, 51.4445944 33.9852521)",30
