osmid,name,highway,oneway,reversed,length,geometry,maxspeed,junction,bridge
115878137,خیابان طالقانی,tertiary,False,True,43.505,"LINESTRING (57.9643661 35.2584414, 57.9643017 35.2588291)",,,
115878137,خیابان طالقانی,tertiary,False,False,72.144,"LINESTRING (57.9643661 35.2584414, 57.9643816 35.2579378, 57.9643861 35.2577928)",,,
115878243,,tertiary_link,False,False,10.252,"LINESTRING (57.9702325 35.2625895, 57.9703454 35.2625881)",,,
327409124,پانزده خرداد,tertiary,False,True,105.587,"LINESTRING (57.9702325 35.2625895, 57.9690696 35.2625985)",,,
54730460,بلوار مطهری,secondary,True,False,129.096,"LINESTRING (57.9702325 35.2625895, 57.9702515 35.2620278, 57.9702627 35.2614288)",,,
115877946,امام حسین,residential,False,True,28.301,"LINESTRING (57.9673962 35.2580266, 57.9670883 35.2580662)",30,,
115878017,باهنر,residential,False,False,47.225,"LINESTRING (57.9673962 35.2580266, 57.9674414 35.2584497)",,,
115877946,امام حسین,residential,False,False,269.549,"LINESTRING (57.9673962 35.2580266, 57.9684404 35.2578914, 57.9703304 35.2576583)",30,,
115878017,باهنر,residential,False,True,94.821,"LINESTRING (57.9673962 35.2580266, 57.9673219 35.2575741, 57.9671824 35.2573266, 57.9671172 35.2572149)",,,
115878054,مومنی,residential,False,True,50.784,"LINESTRING (57.9660292 35.2640599, 57.9665796 35.2639785)",30,,
327409138,خیابان ولیعصر,secondary,False,False,32.227,"LINESTRING (57.9660292 35.2640599, 57.9660246 35.2637701)",,,
327409138,خیابان ولیعصر,secondary,False,True,9.485,"LINESTRING (57.9660292 35.2640599, 57.9660292 35.2641452)",,,
115878137,خیابان طالقانی,tertiary,False,False,72.012,"LINESTRING (57.9643861 35.2577928, 57.9643804 35.2571452)",,,
115878137,خیابان طالقانی,tertiary,False,True,72.144,"LINESTRING (57.9643861 35.2577928, 57.9643816 35.2579378, 57.9643661 35.2584414)",,,
327409124,پانزده خرداد,tertiary,False,False,105.587,"LINESTRING (57.9690696 35.2625985, 57.9702325 35.2625895)",,,
1091201172,,residential,False,True,51.429,"LINESTRING (57.9690696 35.2625985, 57.9691636 35.2630546)",,,
115878017,باهنر,residential,False,True,183.806,"LINESTRING (57.9690696 35.2625985, 57.9689143 35.2620033, 57.9689035 35.261975, 57.9687667 35.2615655, 57.9687211 35.2614122, 57.9687264 35.261226, 57.9687085 35.2609801)",,,
327409124,پانزده خرداد,tertiary,False,True,190.895,"LINESTRING (57.9690696 35.2625985, 57.9686075 35.2626118, 57.9682898 35.2626256, 57.9669678 35.2626258)",,,
115878169,15 خرداد 10,residential,False,False,47.231,"LINESTRING (57.9720548 35.2642327, 57.9718886 35.2638302)",,,
327536464,بلوار شهید فهمیده,secondary,True,False,74.806,"LINESTRING (57.9720548 35.2642327, 57.9728781 35.2642592)",,,
878068215,خیابان رجایی,tertiary,False,True,23.481,"LINESTRING (57.9695333 35.2641554, 57.9697898 35.2641824)",30,,
115878208,خیابان رجایی,tertiary,False,True,249.129,"LINESTRING (57.9695333 35.2641554, 57.9686487 35.2642487, 57.9679112 35.2644174, 57.9668943 35.264729)",30,,
327536456,,tertiary_link,True,False,68.553,"LINESTRING (57.9695333 35.2641554, 57.9696661 35.2641214, 57.9697292 35.264094, 57.9698043 35.2640743, 57.969878 35.2640568, 57.9699746 35.2640371, 57.9700698 35.2640032, 57.9701277 35.2639734, 57.9702266 35.2639225)",,,
115878206,بهداری,residential,False,False,90.284,"LINESTRING (57.9650096 35.2589489, 57.9656903 35.258811, 57.9659804 35.2587773)",30,,
115878206,بهداری,residential,False,True,66.545,"LINESTRING (57.9650096 35.2589489, 57.9647806 35.2589566, 57.9643017 35.2588291)",30,,
