osmid,oneway,name,highway,reversed,length,geometry,maxspeed,junction,lanes,bridge,width
201886415,True,آیت اله خامنه ای,secondary,False,158.659,"LINESTRING (51.4200631 32.4799924, 51.4196598 32.4797859, 51.4194382 32.4797468, 51.4192012 32.4797641, 51.4190492 32.4798141, 51.4189307 32.4798706, 51.4188277 32.4799532, 51.4187032 32.4800769, 51.4186223 32.4801535)",,,,,
229825523,True,میدان غدیر,secondary,False,32.842,"LINESTRING (51.4170563 32.4819586, 51.4169439 32.4820743, 51.4168343 32.482187)",30,roundabout,,,
303140636,True,آزادی,secondary,False,164.54500000000002,"LINESTRING (51.4170563 32.4819586, 51.4170963 32.4820893, 51.418134 32.482786, 51.4183743 32.482886)",50,,2,,
229825523,True,میدان غدیر,secondary,False,63.400999999999996,"LINESTRING (51.4165788 32.4824165, 51.4164919 32.4824588, 51.4164008 32.482473, 51.4163301 32.4824599, 51.4162579 32.482419, 51.4162313 32.4823627, 51.4162495 32.4822945, 51.4163103 32.4821616)",30,roundabout,,,
443009002,True,آیت اله خامنه ای,secondary,False,477.274,"LINESTRING (51.4165788 32.4824165, 51.4162256 32.4827285, 51.4162176 32.4827357, 51.4159267 32.482998, 51.4154862 32.4834696, 51.4154725 32.4834844, 51.4154405 32.4835189, 51.41418 32.4848779, 51.4139996 32.4850908, 51.4138254 32.4853183, 51.4137317 32.4854407, 51.4134844 32.485811)",50,,,,
229825521,True,میدان سردار شهید سلیمانی,secondary,False,65.373,"LINESTRING (51.4128936 32.4864648, 51.4127404 32.4864892, 51.4126508 32.4864922, 51.4125744 32.486481, 51.4125083 32.4864414, 51.4124511 32.486385, 51.4124241 32.4863132, 51.4124082 32.4862167)",30,roundabout,,,
229825521,True,میدان سردار شهید سلیمانی,secondary,False,25.982999999999997,"LINESTRING (51.4124082 32.4862167, 51.4124615 32.4861164, 51.4125208 32.4860032)",30,roundabout,,,
443009001,True,آیت اله خامنه ای,secondary,False,32.708,"LINESTRING (51.4131113 32.485499, 51.4133846 32.4853163)",50,,,,
229825521,True,میدان سردار شهید سلیمانی,secondary,False,66.368,"LINESTRING (51.4131113 32.485499, 51.4132334 32.4854774, 51.413328 32.4854791, 51.4134044 32.4855024, 51.4134564 32.4855365, 51.4134984 32.4855907, 51.4135118 32.4856629, 51.4134844 32.485811)",30,roundabout,,,
229825523,True,میدان غدیر,secondary,False,21.917,"LINESTRING (51.4163103 32.4821616, 51.4163504 32.4821067, 51.4164329 32.4819938)",30,roundabout,,,
229825525,True,,secondary_link,False,46.088,"LINESTRING (51.4184159 32.4799731, 51.4184998 32.4799328, 51.418569 32.4799285, 51.4186349 32.4799527, 51.4186666 32.479994, 51.4186611 32.4800481, 51.4186223 32.4801535)",20,,,,
