osmid,highway,oneway,reversed,length,name,geometry,ref,bridge
742073927,residential,False,True,36.962,,"LINESTRING (52.0995087 28.8532807, 52.0994076 28.8536011)",,
688106414,tertiary,False,False,186.557,خیابان شهید باقری نژاد,"LINESTRING (52.0995087 28.8532807, 52.0991731 28.8532197, 52.0988135 28.8532121, 52.0986353 28.8532219, 52.0984442 28.8532504, 52.0980617 28.8533628, 52.0976566 28.8535069)",,
225174592,residential,False,True,8.035,کوی آزادگان,"LINESTRING (52.0899304 28.8549635, 52.0900035 28.854997)",,
225174612,tertiary,True,False,182.128,مددکار,"LINESTRING (52.0899304 28.8549635, 52.0902112 28.8544815, 52.0902796 28.8543797, 52.0903818 28.8542693, 52.0904947 28.8541472, 52.0908031 28.8539418, 52.0910069 28.853829, 52.0911539 28.8538221)",,
225174592,residential,False,False,155.705,کوی آزادگان,"LINESTRING (52.0941581 28.8549858, 52.0933499 28.856194)",,
894137447,tertiary,False,False,43.141,ثبت احوال,"LINESTRING (52.0941581 28.8549858, 52.0945504 28.855166)",,
894137447,tertiary,False,True,14.02,ثبت احوال,"LINESTRING (52.0941581 28.8549858, 52.0940269 28.8549339)",,
176961208,residential,False,False,8.651,شهید نکویی,"LINESTRING (52.0990543 28.856499, 52.099094 28.8564294)",,
176961208,residential,False,True,96.031,شهید نکویی,"LINESTRING (52.0990543 28.856499, 52.0986902 28.8573016)",,
809633088,residential,False,True,63.459,,"LINESTRING (52.0990543 28.856499, 52.0996399 28.8567493)",,
761673382,residential,False,False,23.415,,"LINESTRING (52.0911539 28.8538221, 52.0911803 28.8536128)",,
894137447,tertiary,False,False,116.713,ثبت احوال,"LINESTRING (52.0911539 28.8538221, 52.0917731 28.8539497, 52.0922634 28.8541908)",,
894138575,tertiary,True,False,116.75500000000001,مددکار,"LINESTRING (52.0911539 28.8538221, 52.0910431 28.8538807, 52.0905577 28.854179, 52.0903458 28.8543999, 52.0902815 28.8545157)",,
225174538,tertiary,False,False,100.934,خیابان پاسداران,"LINESTRING (52.0945504 28.855166, 52.0949809 28.8543403)",,
225174538,tertiary,False,True,36.024,خیابان پاسداران,"LINESTRING (52.0945504 28.855166, 52.094397 28.8554608)",,
894137447,tertiary,False,True,43.141,ثبت احوال,"LINESTRING (52.0945504 28.855166, 52.0941581 28.8549858)",,
67833294,primary,True,False,13.193,بلوار معلم,"LINESTRING (52.0997222 28.8509306, 52.0996394 28.8510245)",94,
225174540,primary_link,False,True,10.547,,"LINESTRING (52.0981223 28.8526861, 52.0982059 28.8527464)",,
314576832,primary,True,False,5.974,بلوار معلم,"LINESTRING (52.0981223 28.8526861, 52.098157 28.8526418)",94,
225174540,primary_link,False,False,10.547,,"LINESTRING (52.0982059 28.8527464, 52.0981223 28.8526861)",,
"[474210412, 67833294, 314576831]",primary,True,False,100.603,"['بلوار انقلاب', 'بلوار معلم']","LINESTRING (52.0982059 28.8527464, 52.0980011 28.8529801, 52.0978993 28.8530979, 52.097843 28.8531721, 52.0977744 28.8532703, 52.0976903 28.8534322, 52.0976566 28.8535069)",94,yes
314576832,primary,True,False,44.707,بلوار معلم,"LINESTRING (52.0978557 28.8530134, 52.0981223 28.8526861)",94,
