osmid,oneway,highway,reversed,length,name,geometry,maxspeed,junction,lanes,bridge,ref
425708589,True,tertiary,False,46.806,,"LINESTRING (46.1088058 37.1457545, 46.1085679 37.1461303)",,,,,
425708590,False,tertiary,False,85.325,,"LINESTRING (46.1088058 37.1457545, 46.10933 37.1451109)",,,,,
189294258,False,residential,False,59.083,امید یک,"LINESTRING (46.1088058 37.1457545, 46.1090497 37.1458585, 46.1094153 37.1459667)",,,,,
69887959,False,residential,True,103.409,هدایت,"LINESTRING (46.1047679 37.1409113, 46.1036397 37.141148)",30,,,,
189294313,False,secondary,True,75.118,امام خمینی,"LINESTRING (46.1047679 37.1409113, 46.1045871 37.1402513)",,,,,
459043295,True,secondary,False,400.829,کوی میثم,"LINESTRING (46.1047679 37.1409113, 46.1092173 37.140268)",30,,,,
135440702,False,tertiary,False,212.286,جانبازان,"LINESTRING (46.1045871 37.1402513, 46.1069372 37.1398837)",,,,,
189294313,False,secondary,False,75.118,امام خمینی,"LINESTRING (46.1045871 37.1402513, 46.1047679 37.1409113)",,,,,
189294313,False,secondary,True,33.35,امام خمینی,"LINESTRING (46.1045871 37.1402513, 46.1045056 37.1399585)",,,,,
69887959,False,residential,False,36.114,هدایت,"LINESTRING (46.1003907 37.1391734, 46.1007063 37.1393788)",30,,,,
69887959,False,residential,True,12.119,هدایت,"LINESTRING (46.1003907 37.1391734, 46.1003072 37.1390871)",30,,,,
806445149,False,residential,False,14.148,آفاق نه,"LINESTRING (46.1003907 37.1391734, 46.1002819 37.1392665)",,,,,
69887959,False,residential,True,15.103,هدایت,"LINESTRING (46.1008349 37.1394679, 46.1007063 37.1393788)",30,,,,
69887959,False,residential,False,44.912,هدایت,"LINESTRING (46.1008349 37.1394679, 46.1010871 37.1396352, 46.1012495 37.1396944)",30,,,,
749690780,False,residential,True,87.689,آفاق هشت,"LINESTRING (46.1008349 37.1394679, 46.1006674 37.1395323, 46.1001309 37.1397385, 46.0999821 37.139854)",,,,,
135440702,False,tertiary,True,57.812,جانبازان,"LINESTRING (46.1075774 37.1397844, 46.1069372 37.1398837)",,,,,
1216293291,True,tertiary,False,28.39,,"LINESTRING (46.1075774 37.1397844, 46.1076568 37.1397329, 46.1077745 37.1395867)",,,,,
69887959,False,residential,False,4.57,هدایت,"LINESTRING (46.1012495 37.1396944, 46.1012835 37.1397253)",30,,,,
69887959,False,residential,True,44.912,هدایت,"LINESTRING (46.1012495 37.1396944, 46.1010871 37.1396352, 46.1008349 37.1394679)",30,,,,
432128600,False,residential,True,73.636,آفاق چهار,"LINESTRING (46.1012495 37.1396944, 46.1011353 37.1398881, 46.1010683 37.1399774, 46.1010092 37.1400506, 46.1008885 37.140289)",30,,,,
135440702,False,tertiary,False,57.812,جانبازان,"LINESTRING (46.1069372 37.1398837, 46.1075774 37.1397844)",,,,,
135440702,False,tertiary,True,212.286,جانبازان,"LINESTRING (46.1069372 37.1398837, 46.1045871 37.1402513)",,,,,
149570369,False,residential,False,26.696,بهار,"LINESTRING (46.1069372 37.1398837, 46.1068715 37.1396494)",30,,,,
69887959,False,residential,False,35.111,هدایت,"LINESTRING (46.1016785 37.1398571, 46.1020314 37.1400005)",30,,,,
69887959,False,residential,True,40.051,هدایت,"LINESTRING (46.1016785 37.1398571, 46.1013862 37.1398184, 46.1012835 37.1397253)",30,,,,
806445160,False,residential,False,77.419,نیلوفر شش,"LINESTRING (46.1016785 37.1398571, 46.1021165 37.1397261, 46.102484 37.1395893)",,,,,
69887959,False,residential,True,35.111,هدایت,"LINESTRING (46.1020314 37.1400005, 46.1016785 37.1398571)",30,,,,
806445159,False,residential,False,23.476,نیلوفرپنج,"LINESTRING (46.1020314 37.1400005, 46.1022667 37.1399036)",,,,,
69887959,False,residential,False,21.558,هدایت,"LINESTRING (46.1020314 37.1400005, 46.1021718 37.1400789, 46.1022276 37.1401149)",30,,,,
69887959,False,residential,False,33.743,هدایت,"LINESTRING (46.1022276 37.1401149, 46.1025228 37.1403065)",30,,,,
806445158,False,residential,False,18.429,نیلوفر چهار,"LINESTRING (46.1022276 37.1401149, 46.1023418 37.1399764)",,,,,
69887959,False,residential,True,21.558,هدایت,"LINESTRING (46.1022276 37.1401149, 46.1021718 37.1400789, 46.1020314 37.1400005)",30,,,,
432168325,True,secondary,False,123.558,بلوار کشاورز,"LINESTRING (46.1092173 37.140268, 46.1091059 37.1401497, 46.1089886 37.1400351, 46.1088587 37.1399174, 46.1087305 37.1398444, 46.1085969 37.1397851, 46.1083807 37.1397374, 46.1082119 37.1397228, 46.1080905 37.1397175)",,,,,
432168325,True,secondary,False,31.13,بلوار کشاورز,"LINESTRING (46.1093831 37.1405148, 46.1092173 37.140268)",,,,,
1116931705,True,secondary,False,26.6,میدان لاله,"LINESTRING (46.1093831 37.1405148, 46.1094694 37.1404554, 46.1095533 37.1404234, 46.1096449 37.1404103)",,circular,,,
1116931705,True,secondary,False,10.153,میدان لاله,"LINESTRING (46.1100002 37.1406423, 46.1099991 37.1407336)",,circular,,,
806555633,False,tertiary,True,71.879,استقلال,"LINESTRING (46.1093836 37.1408513, 46.1092705 37.1409883, 46.1091007 37.1412241, 46.1089449 37.1413941)",,,,,
1116931705,True,secondary,False,39.863,میدان لاله,"LINESTRING (46.1093836 37.1408513, 46.1093298 37.1407682, 46.109314 37.1406755, 46.1093381 37.140584, 46.1093831 37.1405148)",,circular,,,
1116931705,True,secondary,False,20.103,میدان لاله,"LINESTRING (46.109569 37.1409511, 46.1094659 37.1409135, 46.1093836 37.1408513)",,circular,,,
69887959,False,residential,False,103.409,هدایت,"LINESTRING (46.1036397 37.141148, 46.1047679 37.1409113)",30,,,,
69887959,False,residential,True,29.989,هدایت,"LINESTRING (46.1036397 37.141148, 46.1033882 37.1409676)",30,,,,
432128598,False,residential,False,82.652,قیزیلچیلار,"LINESTRING (46.1036397 37.141148, 46.1038405 37.1414863, 46.1038147 37.1415925, 46.1037315 37.1418448)",30,,2,,
829900955,False,residential,False,59.856,,"LINESTRING (46.1089449 37.1413941, 46.1095113 37.1416872)",,,,,
806555633,False,tertiary,False,71.879,استقلال,"LINESTRING (46.1089449 37.1413941, 46.1091007 37.1412241, 46.1092705 37.1409883, 46.1093836 37.1408513)",,,,,
806555633,False,tertiary,True,37.897000000000006,استقلال,"LINESTRING (46.1089449 37.1413941, 46.1087852 37.141512, 46.1086121 37.1416066)",,,,,
425708590,False,tertiary,True,94.502,,"LINESTRING (46.1102972 37.1414376, 46.1103559 37.1416239, 46.1103798 37.1416996, 46.1104694 37.1420123, 46.1105261 37.1422673)",,,,,
803324232,True,tertiary,False,86.53399999999999,,"LINESTRING (46.1102972 37.1414376, 46.1100948 37.1412199, 46.1098977 37.1410621, 46.109569 37.1409511)",,,,,
806555633,False,tertiary,True,27.688,استقلال,"LINESTRING (46.1086121 37.1416066, 46.1083328 37.1417181)",,,,,
829900954,False,residential,True,80.292,,"LINESTRING (46.1086121 37.1416066, 46.1083928 37.140906)",,,,,
806555633,False,tertiary,False,37.897000000000006,استقلال,"LINESTRING (46.1086121 37.1416066, 46.1087852 37.141512, 46.1089449 37.1413941)",,,,,
1216293674,False,tertiary,False,16.572,استقلال,"LINESTRING (46.1081569 37.1417686, 46.1083328 37.1417181)",,,,,
1216293674,False,tertiary,True,14.154,استقلال,"LINESTRING (46.1081569 37.1417686, 46.1080059 37.14181)",,,,,
"[807165665, 806555634]",False,residential,True,158.95,"['تاملی', 'آب']","LINESTRING (46.1081569 37.1417686, 46.1079115 37.141061, 46.1070658 37.1412313)",,,,,
806555634,False,residential,False,89.393,آب,"LINESTRING (46.1073075 37.1420118, 46.1070658 37.1412313)",,,,,
582621759,False,residential,True,50.239000000000004,مدرس,"LINESTRING (46.1073075 37.1420118, 46.1073965 37.1423025, 46.1074629 37.1424456)",,,,,
1216293674,False,tertiary,False,65.887,استقلال,"LINESTRING (46.1073075 37.1420118, 46.1076693 37.1419184, 46.1080059 37.14181)",,,,,
