osmid,name,highway,junction,oneway,reversed,length,geometry,maxspeed,ref,lanes,bridge
427110302,کوچه الهی,residential,,False,True,78.73,"LINESTRING (45.7230095 36.7617746, 45.7230417 36.7620076, 45.7230367 36.7620364, 45.7230256 36.7620586, 45.7229658 36.7621471, 45.7229016 36.762288, 45.7228897 36.7623149, 45.7228687 36.7623476, 45.7228166 36.7624112, 45.7228017 36.7624372)",30,,,
767684562,,residential,,False,True,142.924,"LINESTRING (45.7230095 36.7617746, 45.7223591 36.7618743, 45.7221954 36.7618676, 45.7221487 36.7617678, 45.722137 36.761721, 45.7220163 36.7617054, 45.7219766 36.7613355)",,,,
418050618,باغ سیسه,tertiary,,False,False,80.267,"LINESTRING (45.7256123 36.7688075, 45.725425 36.7684049, 45.725319 36.7681253)",,,,
418050618,باغ سیسه,tertiary,,False,True,98.936,"LINESTRING (45.7256123 36.7688075, 45.7257033 36.769003, 45.7260618 36.7696206)",,,,
427112322,,residential,,False,False,136.742,"LINESTRING (45.7256123 36.7688075, 45.725765 36.7687217, 45.7261937 36.7686219, 45.7263332 36.7688295, 45.7266373 36.7687975, 45.7269015 36.7686817)",30,,,
427112322,,residential,,False,True,58.859,"LINESTRING (45.7256123 36.7688075, 45.7254111 36.7689013, 45.7253314 36.7689772, 45.7250889 36.7691243)",30,,,
427112322,,residential,,False,True,136.742,"LINESTRING (45.7269015 36.7686817, 45.7266373 36.7687975, 45.7263332 36.7688295, 45.7261937 36.7686219, 45.725765 36.7687217, 45.7256123 36.7688075)",30,,,
400131383,,residential,,False,False,20.642,"LINESTRING (45.717938 36.7667491, 45.7179916 36.7665685)",30,,,
400131383,,residential,,False,True,18.418,"LINESTRING (45.717938 36.7667491, 45.7178603 36.7669026)",30,,,
427495846,اول,residential,,False,False,174.025,"LINESTRING (45.717938 36.7667491, 45.7198132 36.7671882)",30,,,
400131384,خیابان بهیار,residential,,False,True,47.511,"LINESTRING (45.7198132 36.7671882, 45.7199708 36.76678)",30,,,
427495846,اول,residential,,False,True,174.025,"LINESTRING (45.7198132 36.7671882, 45.717938 36.7667491)",30,,,
400131384,خیابان بهیار,residential,,False,False,104.622,"LINESTRING (45.7198132 36.7671882, 45.719647 36.7676652, 45.7195069 36.7680965)",30,,,
400131374,,residential,,False,False,13.094,"LINESTRING (45.7173479 36.768702, 45.7173074 36.7688152)",30,,,
400131374,,residential,,False,True,205.261,"LINESTRING (45.7173479 36.768702, 45.7175157 36.7681828, 45.7176554 36.7676706, 45.7177735 36.7672303, 45.7178603 36.7669026)",30,,,
427495847,حمزه اقای منگور,residential,,True,False,168.131,"LINESTRING (45.7173479 36.768702, 45.717787 36.768848, 45.7191035 36.7692572)",30,,,
301652513,بلوار خضر عمری,primary,,True,False,14.865,"LINESTRING (45.7163202 36.7683933, 45.7163142 36.7685269)",,11,,
427495847,حمزه اقای منگور,residential,,True,False,97.765,"LINESTRING (45.7163202 36.7683933, 45.7173479 36.768702)",30,,,
400131385,خیابان بلوری,residential,,False,False,20.315,"LINESTRING (45.7199606 36.768183, 45.7198994 36.768359)",30,,,
400131385,خیابان بلوری,residential,,False,True,142.909,"LINESTRING (45.7199606 36.768183, 45.720391 36.7669449)",30,,,
427495848,,residential,,False,True,41.542,"LINESTRING (45.7199606 36.768183, 45.7195069 36.7680965)",30,,,
400131385,خیابان بلوری,residential,,False,True,20.315,"LINESTRING (45.7198994 36.768359, 45.7199606 36.768183)",30,,,
427495849,,residential,,False,False,72.869,"LINESTRING (45.7198994 36.768359, 45.7207139 36.7684202)",30,,,
400131385,خیابان بلوری,residential,,False,False,110.838,"LINESTRING (45.7198994 36.768359, 45.7196793 36.7689179, 45.7195497 36.7693153)",30,,,
427495849,,residential,,False,True,72.869,"LINESTRING (45.7207139 36.7684202, 45.7198994 36.768359)",30,,,
400131386,خیابان بهار,residential,,False,False,110.814,"LINESTRING (45.7207139 36.7684202, 45.7204034 36.7689504, 45.7202429 36.7693407)",30,,,
400131386,خیابان بهار,residential,,False,True,140.402,"LINESTRING (45.7207139 36.7684202, 45.7207477 36.7683411, 45.7208496 36.7680873, 45.721043 36.7671881)",30,,,
427112322,,residential,,False,False,58.858999999999995,"LINESTRING (45.7250889 36.7691243, 45.7253314 36.7689772, 45.7254111 36.7689013, 45.7256123 36.7688075)",30,,,
427112322,,residential,,False,True,33.589,"LINESTRING (45.7250889 36.7691243, 45.7249825 36.7691888, 45.7247731 36.7692886)",30,,,
366469196,طالقانی شرقی,tertiary,,True,False,97.97200000000001,"LINESTRING (45.7248473 36.7653095, 45.7253117 36.7653353, 45.7259449 36.7653656)",,,,
798536450,حاجی احمد,residential,,False,False,58.732,"LINESTRING (45.7248473 36.7653095, 45.7248536 36.7650878, 45.7247704 36.7647887)",,,,
447885464,,primary,,True,False,31.148,"LINESTRING (45.7225801 36.7677832, 45.7222885 36.7676286)",,,,
301655569,جمهوری اسلامی,tertiary,,True,False,54.232,"LINESTRING (45.7217454 36.7637553, 45.7217318 36.7632677)",40,,,
438509181,,residential,,False,False,198.287,"LINESTRING (45.7217454 36.7637553, 45.7216685 36.7637553, 45.7210224 36.7637668, 45.7210368 36.7641822, 45.720888 36.7641745, 45.7208735 36.7642783, 45.7201726 36.764336)",30,,,
438509181,,residential,,False,True,198.287,"LINESTRING (45.7201726 36.764336, 45.7208735 36.7642783, 45.720888 36.7641745, 45.7210368 36.7641822, 45.7210224 36.7637668, 45.7216685 36.7637553, 45.7217454 36.7637553)",30,,,
422821002,داودی,residential,,False,False,109.37100000000001,"LINESTRING (45.7177171 36.7626369, 45.7177443 36.7630063, 45.7177873 36.7632818, 45.7178487 36.7634588, 45.7179011 36.7636051)",30,,,
422821002,داودی,residential,,False,True,48.885999999999996,"LINESTRING (45.7177171 36.7626369, 45.7177074 36.7625046, 45.7177757 36.7622024)",30,,,
438509182,,residential,,False,False,101.48599999999999,"LINESTRING (45.7177171 36.7626369, 45.7179784 36.7626744, 45.7181224 36.7626744, 45.7181896 36.7626628, 45.718076 36.7621411)",30,,,
452541648,صلاح الدین ایوبی غریی,tertiary,,True,False,27.606,"LINESTRING (45.718076 36.7621411, 45.7177757 36.7622024)",30,,,
438509182,,residential,,False,True,101.48599999999999,"LINESTRING (45.718076 36.7621411, 45.7181896 36.7626628, 45.7181224 36.7626744, 45.7179784 36.7626744, 45.7177171 36.7626369)",30,,,
422600991,خیابان امام شافعی,tertiary,,True,False,40.584,"LINESTRING (45.7241538 36.7661302, 45.7242237 36.7663132, 45.7243154 36.7664705)",50,,,
438509183,,residential,,False,False,52.967999999999996,"LINESTRING (45.7241538 36.7661302, 45.7236253 36.7662631, 45.7235876 36.7662754)",30,,,
438509183,,residential,,False,True,50.714999999999996,"LINESTRING (45.7241538 36.7661302, 45.7242904 36.7661368, 45.724684 36.7659932)",30,,,
427100349,,residential,,False,True,15.078,"LINESTRING (45.7234261 36.7663258, 45.7232806 36.7662565)",30,,,
438509183,,residential,,False,True,15.439,"LINESTRING (45.7234261 36.7663258, 45.7235876 36.7662754)",30,,,
427100349,,residential,,False,False,59.819,"LINESTRING (45.7234261 36.7663258, 45.7235301 36.7664187, 45.7236088 36.7664884, 45.7238468 36.7667444)",30,,,
438509183,,residential,,False,False,15.439,"LINESTRING (45.7235876 36.7662754, 45.7234261 36.7663258)",30,,,
438509183,,residential,,False,True,52.967999999999996,"LINESTRING (45.7235876 36.7662754, 45.7236253 36.7662631, 45.7241538 36.7661302)",30,,,
438509184,,residential,,False,False,53.428999999999995,"LINESTRING (45.7235876 36.7662754, 45.7235389 36.7662402, 45.7235034 36.7662175, 45.7234682 36.7661503, 45.7234575 36.7660386, 45.7234492 36.7660175, 45.7234235 36.7660036, 45.7234012 36.7659956, 45.7233055 36.7659679, 45.7232377 36.7659459)",30,,,
438509184,,residential,,False,True,53.429,"LINESTRING (45.7232377 36.7659459, 45.7233055 36.7659679, 45.7234012 36.7659956, 45.7234235 36.7660036, 45.7234492 36.7660175, 45.7234575 36.7660386, 45.7234682 36.7661503, 45.7235034 36.7662175, 45.7235389 36.7662402, 45.7235876 36.7662754)",30,,,
447885461,,secondary_link,,True,False,74.735,"LINESTRING (45.7218573 36.7678936, 45.7217749 36.7677523, 45.7216812 36.767613, 45.7215547 36.7674597, 45.7214183 36.7673241)",,,,
447885463,بلوار بسیج,primary,,True,False,47.119,"LINESTRING (45.7218573 36.7678936, 45.7218509 36.767617, 45.7219057 36.7674766)",,,,
447885460,اتحاد,residential,,False,False,148.845,"LINESTRING (45.7219131 36.7692982, 45.7202429 36.7693407)",,,,
